material_id,plant,supplier_id,valid_from,valid_to,fixed_vendor_flag,quota_percent,source_status
M500007,PHX1,S100027,2025-08-12,2027-01-01,N,52,VALID
M500007,KCH1,S100034,2024-08-25,2028-09-20,Y,68,VALID
M500007,KCH1,S100008,2024-10-20,2028-01-18,N,70,VALID
M500007,KCH1,S100036,2024-04-25,2026-10-30,N,10,VALID
M500007,MTY1,S100040,2024-09-01,2028-04-02,N,20,VALID
M500007,MTY1,S100044,2025-06-14,2027-10-29,N,11,VALID
M500007,MTY1,S100019,2025-11-03,2027-07-09,N,23,VALID
M500007,MTY1,S100047,2024-05-12,2027-09-29,N,46,VALID
M500008,AUS1,S100026,2024-03-28,2027-09-07,N,56,VALID
M500008,AUS1,S100015,2024-10-24,2027-09-16,N,44,VALID
M500008,DAL1,S100050,2025-07-01,2028-09-12,Y,100,VALID
M500008,KCH1,S100022,2024-06-03,2028-08-08,Y,39,VALID
M500008,KCH1,S100047,2025-04-25,2027-04-27,N,64,VALID
M500008,KCH1,S100009,2024-08-28,2027-05-16,N,10,VALID
M500008,MTY1,S100010,2025-11-13,2028-08-23,N,15,VALID
M500008,MTY1,S100007,2024-06-06,2027-03-17,N,85,VALID
M500009,AUS1,S100009,2025-03-24,2027-04-14,Y,51,VALID
M500009,AUS1,S100026,2024-06-01,2028-10-13,N,49,VALID
M500009,MTY1,S100033,2024-08-29,2026-09-03,Y,56,VALID
M500009,MTY1,S100027,2025-03-12,2028-10-31,N,16,VALID
M500009,MTY1,S100050,2026-02-04,2027-05-03,N,69,VALID
M500009,MTY1,S100036,2025-05-23,2028-09-10,N,10,VALID
M500009,PHX1,S100040,2024-03-23,2027-04-01,N,100,VALID
M500010,KCH1,S100039,2024-08-28,2028-06-10,N,65,VALID
M500010,KCH1,S100005,2024-08-24,2027-12-27,N,35,VALID
M500010,KCH1,S100008,2025-08-02,2027-02-16,N,10,VALID
M500010,DAL1,S100005,2025-05-12,2027-08-04,N,38,VALID
M500010,DAL1,S100016,2024-09-03,2028-02-25,N,62,VALID
M500011,PHX1,S100016,2024-11-29,2028-11-12,N,37,VALID
M500011,PHX1,S100032,2026-01-30,2026-10-08,N,59,VALID
M500011,PHX1,S100026,2025-02-13,2027-09-29,N,10,VALID
M500011,AUS1,S100044,2025-03-26,2028-09-27,Y,14,VALID
M500011,AUS1,S100030,2025-12-26,2027-11-09,N,86,VALID
M500011,MTY1,S100041,2024-04-29,2027-01-19,N,45,BLOCKED
M500011,MTY1,S100032,2025-04-12,2028-03-15,N,25,VALID
M500011,MTY1,S100028,2025-06-19,2027-12-27,N,29,VALID
M500011,MTY1,S100049,2024-12-27,2026-10-12,N,10,VALID
M500012,MTY1,S100007,2024-04-05,2027-09-09,N,100,VALID
M500012,KCH1,S100019,2025-05-01,2028-04-04,Y,100,VALID
M500012,AUS1,S100026,2024-07-11,2028-05-25,N,48,VALID
M500012,AUS1,S100049,2024-08-01,2028-06-13,N,52,VALID
M500013,PHX1,S100010,2025-01-20,2028-06-08,N,47,VALID
M500013,PHX1,S100035,2024-09-23,2027-07-09,N,11,VALID
M500013,PHX1,S100024,2025-10-30,2027-03-03,N,42,VALID
M500013,KCH1,S100027,2024-05-21,2028-08-11,Y,100,VALID
M500013,MTY1,S100049,2025-08-23,2028-10-01,Y,38,VALID
M500013,MTY1,S100027,2025-07-07,2027-07-25,N,48,VALID
M500013,MTY1,S100002,2024-09-03,2027-01-14,N,67,VALID
M500013,MTY1,S100042,2025-03-02,2027-10-17,N,10,VALID
M500014,DAL1,S100022,2024-06-23,2028-10-15,N,35,VALID
M500014,DAL1,S100002,2024-08-03,2027-09-21,N,60,VALID
M500014,DAL1,S100036,2025-07-11,2026-09-10,N,69,VALID
M500014,DAL1,S100010,2025-08-07,2028-02-18,N,10,VALID
M500014,KCH1,S100026,2024-06-26,2028-10-25,N,25,VALID
M500014,KCH1,S100035,2025-07-03,2026-08-27,N,40,VALID
M500014,KCH1,S100010,2025-01-13,2027-09-28,N,35,VALID
M500015,PHX1,S100005,2025-08-04,2028-05-13,N,52,VALID
M500015,PHX1,S100006,2025-12-22,2028-05-13,N,48,VALID
M500015,AUS1,S100048,2025-03-25,2026-10-20,N,100,VALID
M500015,DAL1,S100042,2025-02-05,2027-04-08,N,13,VALID
M500015,DAL1,S100027,2025-05-05,2027-09-30,N,48,VALID
M500015,DAL1,S100041,2024-12-23,2028-07-13,N,58,BLOCKED
M500015,DAL1,S100010,2025-11-15,2028-09-27,N,10,VALID
M500015,KCH1,S100037,2024-06-11,2026-11-02,N,69,VALID
M500015,KCH1,S100045,2025-12-11,2027-03-13,N,31,VALID
M500016,PHX1,S100023,2025-03-01,2027-10-10,Y,22,VALID
M500016,PHX1,S100046,2025-09-02,2028-07-20,N,64,VALID
M500016,PHX1,S100011,2025-10-25,2027-04-07,N,14,VALID
M500016,MTY1,S100032,2025-10-16,2027-03-08,Y,34,VALID
M500016,MTY1,S100035,2024-06-21,2026-10-15,N,26,VALID
M500016,MTY1,S100037,2025-01-08,2027-06-23,N,19,VALID
M500016,MTY1,S100023,2025-05-02,2026-10-19,N,21,VALID
M500016,AUS1,S100031,2024-10-31,2028-09-22,N,67,VALID
M500016,AUS1,S100035,2025-09-05,2028-06-10,N,63,VALID
M500016,AUS1,S100007,2024-05-15,2027-03-12,N,16,VALID
M500016,AUS1,S100010,2024-08-07,2027-08-09,N,10,VALID
M500016,DAL1,S100049,2025-06-25,2028-02-29,Y,65,VALID
M500016,DAL1,S100028,2024-12-26,2026-09-24,N,35,VALID
M500016,KCH1,S100026,2025-12-17,2027-10-12,N,40,VALID
M500016,KCH1,S100044,2026-02-02,2027-09-03,N,65,VALID
M500016,KCH1,S100008,2025-07-03,2028-05-31,N,21,VALID
M500016,KCH1,S100030,2024-03-24,2028-07-01,N,10,VALID
M500017,KCH1,S100044,2025-05-22,2027-10-14,N,100,VALID
M500017,DAL1,S100021,2024-11-07,2028-10-07,N,35,VALID
M500017,DAL1,S100037,2024-12-04,2028-05-25,N,65,VALID
M500017,AUS1,S100003,2026-01-14,2028-05-06,N,61,VALID
M500017,AUS1,S100022,2025-06-06,2028-01-27,N,39,VALID
M500017,PHX1,S100042,2025-11-23,2027-06-12,N,100,VALID
M500018,DAL1,S100023,2025-08-18,2027-04-23,N,100,VALID
M500018,KCH1,S100002,2025-05-12,2027-09-19,N,38,VALID
M500018,KCH1,S100040,2024-06-02,2028-02-21,N,62,VALID
M500018,PHX1,S100033,2025-10-08,2027-07-19,N,63,VALID
M500018,PHX1,S100032,2024-03-22,2028-02-13,N,30,VALID
M500018,PHX1,S100046,2025-12-26,2028-08-07,N,33,VALID
M500018,PHX1,S100010,2025-01-23,2028-09-09,N,10,VALID
M500019,PHX1,S100044,2025-10-13,2027-02-13,N,100,VALID
M500019,KCH1,S100017,2024-11-03,2028-04-24,N,35,VALID
M500019,KCH1,S100012,2025-06-10,2028-06-05,N,50,VALID
M500019,KCH1,S100034,2025-01-13,2027-04-10,N,15,VALID
M500019,AUS1,S100011,2025-03-19,2027-03-05,N,53,VALID
M500019,AUS1,S100017,2025-08-30,2028-04-06,N,34,VALID
M500019,AUS1,S100006,2024-08-24,2028-05-09,N,31,VALID
M500019,AUS1,S100044,2024-07-24,2028-08-22,N,10,VALID
M500019,DAL1,S100025,2024-06-03,2027-07-20,N,11,VALID
M500019,DAL1,S100036,2025-04-10,2028-05-30,N,22,VALID
M500019,DAL1,S100021,2025-12-03,2026-12-19,N,67,VALID
M500020,AUS1,S100038,2026-01-10,2026-11-22,N,60,VALID
M500020,AUS1,S100016,2025-10-30,2027-07-26,N,39,VALID
M500020,AUS1,S100018,2024-05-24,2027-04-02,N,10,VALID
M500020,MTY1,S100029,2025-05-21,2027-01-26,N,49,BLOCKED
M500020,MTY1,S100021,2025-02-20,2027-02-23,N,59,VALID
M500020,MTY1,S100003,2024-10-21,2028-03-22,N,43,VALID
M500020,MTY1,S100002,2025-05-15,2027-08-30,N,10,VALID
M500020,DAL1,S100026,2025-03-16,2028-03-18,N,69,VALID
M500020,DAL1,S100011,2024-11-14,2028-02-28,N,36,VALID
M500020,DAL1,S100009,2025-03-09,2028-01-30,N,10,VALID
M500020,PHX1,S100047,2025-03-30,2028-11-09,N,33,VALID
M500020,PHX1,S100038,2025-10-19,2026-11-18,N,49,VALID
M500020,PHX1,S100028,2026-02-11,2026-10-05,N,18,VALID
M500021,MTY1,S100005,2024-04-30,2026-12-22,N,18,VALID
M500021,MTY1,S100016,2024-10-13,2026-09-29,N,82,VALID
M500021,PHX1,S100044,2025-04-13,2027-06-13,N,28,VALID
M500021,PHX1,S100007,2024-10-03,2027-01-20,N,72,VALID
M500021,KCH1,S100041,2024-12-21,2027-01-26,N,51,BLOCKED
M500021,KCH1,S100029,2025-07-18,2026-11-05,N,28,BLOCKED
M500021,KCH1,S100047,2025-10-04,2027-03-08,N,57,VALID
M500021,KCH1,S100019,2024-05-17,2027-07-04,N,10,VALID
M500021,DAL1,S100027,2025-09-07,2027-03-22,N,41,VALID
M500021,DAL1,S100017,2024-12-31,2028-02-08,N,59,VALID
M500022,MTY1,S100031,2025-02-11,2028-03-23,N,26,VALID
M500022,MTY1,S100030,2025-09-25,2028-05-20,N,30,VALID
M500022,MTY1,S100021,2024-04-15,2028-03-15,N,44,VALID
M500022,KCH1,S100046,2024-04-28,2027-12-19,Y,17,VALID
M500022,KCH1,S100029,2024-07-19,2028-06-27,N,83,BLOCKED
M500022,AUS1,S100010,2024-05-29,2027-04-02,N,46,VALID
M500022,AUS1,S100037,2024-04-15,2028-04-16,N,54,VALID
M500022,PHX1,S100016,2024-04-20,2027-09-02,N,30,VALID
M500022,PHX1,S100011,2024-07-28,2027-07-07,N,70,VALID
M500023,AUS1,S100015,2026-01-28,2028-04-01,N,25,VALID
M500023,AUS1,S100011,2024-11-17,2028-05-05,N,21,VALID
M500023,AUS1,S100026,2025-12-08,2027-02-07,N,38,VALID
M500023,AUS1,S100019,2024-08-27,2028-01-17,N,16,VALID
M500023,DAL1,S100009,2024-03-28,2028-10-04,N,11,VALID
M500023,DAL1,S100010,2025-08-09,2027-02-19,N,89,VALID
M500023,KCH1,S100034,2024-03-19,2027-03-29,N,32,VALID
M500023,KCH1,S100033,2025-06-20,2028-06-08,N,21,VALID
M500023,KCH1,S100037,2025-05-09,2027-07-01,N,11,VALID
M500023,KCH1,S100029,2024-07-10,2027-07-20,N,36,BLOCKED
M500024,PHX1,S100002,2025-09-18,2028-06-14,N,100,VALID
M500024,MTY1,S100020,2025-07-29,2027-12-28,N,100,VALID
M500025,AUS1,S100037,2024-12-19,2027-12-20,Y,100,VALID
M500025,PHX1,S100026,2025-09-16,2028-09-13,Y,50,VALID
M500025,PHX1,S100004,2024-10-28,2028-10-04,N,50,VALID
M500025,DAL1,S100008,2025-01-22,2027-10-12,Y,100,VALID
M500025,MTY1,S100047,2024-08-25,2028-10-12,N,52,VALID
M500025,MTY1,S100022,2025-04-23,2028-04-02,N,48,VALID
M500026,DAL1,S100043,2025-08-18,2027-12-05,N,100,VALID
M500026,AUS1,S100012,2026-01-25,2028-11-11,N,28,VALID
M500026,AUS1,S100007,2024-04-08,2027-07-26,N,46,VALID
M500026,AUS1,S100006,2026-01-31,2028-04-22,N,26,VALID
M500027,AUS1,S100048,2024-04-18,2026-08-27,N,100,VALID
M500027,MTY1,S100050,2024-09-27,2026-09-12,N,47,VALID
M500027,MTY1,S100045,2025-08-06,2027-11-03,N,53,VALID
M500027,DAL1,S100049,2026-01-21,2027-05-18,N,64,VALID
M500027,DAL1,S100009,2025-12-24,2027-11-01,N,69,VALID
M500027,DAL1,S100014,2024-07-27,2028-01-14,N,10,VALID
M500028,DAL1,S100047,2024-12-22,2027-04-16,Y,11,VALID
M500028,DAL1,S100006,2025-09-08,2028-07-26,N,26,VALID
M500028,DAL1,S100028,2025-12-19,2026-12-31,N,25,VALID
M500028,DAL1,S100038,2024-05-03,2027-12-01,N,38,VALID
M500028,MTY1,S100029,2025-02-26,2027-09-10,N,59,BLOCKED
M500028,MTY1,S100038,2025-06-05,2027-12-11,N,18,VALID
M500028,MTY1,S100044,2025-10-19,2028-11-05,N,23,VALID
M500028,KCH1,S100007,2025-05-11,2028-10-15,N,35,VALID
M500028,KCH1,S100029,2026-02-04,2028-02-06,N,65,BLOCKED
M500028,PHX1,S100010,2024-06-21,2026-09-26,N,100,VALID
M500029,KCH1,S100013,2024-09-15,2026-10-08,N,100,BLOCKED
M500029,DAL1,S100004,2025-04-29,2027-08-30,N,100,VALID
M500029,MTY1,S100046,2025-07-31,2026-09-20,Y,100,VALID
M500030,PHX1,S100028,2026-01-18,2027-03-23,Y,41,VALID
M500030,PHX1,S100046,2025-09-10,2027-11-19,N,35,VALID
M500030,PHX1,S100039,2025-02-21,2028-04-16,N,15,VALID
M500030,PHX1,S100017,2026-01-16,2026-10-23,N,10,VALID
M500030,DAL1,S100041,2025-12-10,2026-12-23,Y,58,BLOCKED
M500030,DAL1,S100038,2026-01-28,2028-09-30,N,12,VALID
M500030,DAL1,S100002,2025-12-10,2028-08-27,N,30,VALID
M500030,AUS1,S100021,2025-06-07,2028-07-09,N,100,VALID
M500030,KCH1,S100038,2025-04-19,2028-06-18,N,100,VALID
M500030,MTY1,S100041,2024-10-31,2028-04-21,N,22,BLOCKED
M500030,MTY1,S100015,2025-04-24,2026-12-08,N,57,VALID
M500030,MTY1,S100042,2025-04-30,2026-10-15,N,41,VALID
M500030,MTY1,S100005,2025-08-23,2028-10-14,N,10,VALID
M500031,PHX1,S100038,2024-11-18,2026-09-10,Y,49,VALID
M500031,PHX1,S100037,2024-10-27,2026-10-17,N,23,VALID
M500031,PHX1,S100008,2025-11-18,2027-10-20,N,28,VALID
M500031,MTY1,S100035,2025-11-24,2027-04-23,N,100,VALID
M500031,DAL1,S100010,2024-08-16,2028-01-23,N,11,VALID
M500031,DAL1,S100008,2025-01-05,2027-05-19,N,44,VALID
M500031,DAL1,S100006,2025-02-18,2028-02-11,N,70,VALID
M500031,DAL1,S100029,2024-09-16,2027-09-12,N,10,BLOCKED
M500031,AUS1,S100017,2024-08-13,2026-10-12,N,100,VALID
M500032,MTY1,S100037,2025-11-16,2028-10-16,N,35,VALID
M500032,MTY1,S100006,2025-09-01,2028-05-01,N,27,VALID
M500032,MTY1,S100020,2025-01-12,2028-04-09,N,56,VALID
M500032,MTY1,S100039,2025-05-20,2026-10-09,N,10,VALID
M500032,PHX1,S100038,2024-12-11,2026-12-19,N,100,VALID
M500032,DAL1,S100032,2024-07-31,2028-03-19,Y,53,VALID
M500032,DAL1,S100019,2024-04-14,2028-07-12,N,47,VALID
M500032,AUS1,S100045,2025-01-21,2028-03-07,Y,34,VALID
M500032,AUS1,S100041,2024-09-12,2027-07-11,N,38,BLOCKED
M500032,AUS1,S100019,2025-11-05,2027-09-25,N,31,VALID
M500032,AUS1,S100040,2024-05-13,2027-10-16,N,10,VALID
M500032,KCH1,S100018,2024-08-21,2028-08-08,N,35,VALID
M500032,KCH1,S100035,2025-01-09,2027-12-30,N,65,VALID
M500033,KCH1,S100028,2026-01-26,2028-05-25,N,100,VALID
M500033,MTY1,S100023,2024-06-13,2028-06-11,N,58,VALID
M500033,MTY1,S100043,2024-10-19,2028-08-31,N,42,VALID
M500033,AUS1,S100017,2025-03-26,2028-03-17,N,100,VALID
M500033,PHX1,S100018,2025-09-22,2027-05-21,Y,41,VALID
M500033,PHX1,S100049,2025-04-27,2027-06-02,N,54,VALID
M500033,PHX1,S100020,2024-10-24,2028-10-07,N,10,VALID
M500034,PHX1,S100045,2024-08-15,2028-04-03,N,48,VALID
M500034,PHX1,S100017,2024-11-02,2028-03-12,N,52,VALID
M500034,KCH1,S100034,2025-08-12,2027-10-03,N,49,VALID
M500034,KCH1,S100007,2025-06-08,2028-08-10,N,61,VALID
M500034,KCH1,S100015,2024-09-17,2027-09-20,N,29,VALID
M500034,KCH1,S100021,2024-06-25,2027-05-20,N,10,VALID
M500034,DAL1,S100047,2025-08-17,2026-10-24,N,53,VALID
M500034,DAL1,S100039,2025-02-23,2026-12-20,N,47,VALID
M500034,AUS1,S100014,2024-04-25,2027-01-01,Y,36,VALID
M500034,AUS1,S100027,2024-10-08,2026-09-02,N,34,VALID
M500034,AUS1,S100021,2025-10-01,2027-06-27,N,29,VALID
M500034,AUS1,S100016,2025-04-23,2027-09-15,N,10,VALID
M500034,MTY1,S100028,2024-11-28,2027-05-21,Y,30,VALID
M500034,MTY1,S100032,2024-08-16,2026-09-24,N,31,VALID
M500034,MTY1,S100027,2024-09-17,2028-05-10,N,22,VALID
M500034,MTY1,S100004,2024-12-30,2027-09-20,N,17,VALID
M500035,KCH1,S100004,2025-03-12,2028-05-05,N,50,VALID
M500035,KCH1,S100007,2025-08-10,2026-12-25,N,64,VALID
M500035,KCH1,S100026,2024-10-16,2028-08-05,N,10,VALID
M500035,DAL1,S100025,2026-01-20,2026-12-10,Y,100,VALID
M500035,PHX1,S100035,2025-12-18,2026-09-01,N,34,VALID
M500035,PHX1,S100034,2024-10-13,2028-08-23,N,35,VALID
M500035,PHX1,S100041,2025-08-24,2028-04-08,N,31,BLOCKED
M500035,MTY1,S100029,2025-05-24,2027-02-10,N,36,BLOCKED
M500035,MTY1,S100009,2025-07-24,2028-02-18,N,13,VALID
M500035,MTY1,S100046,2024-12-04,2027-08-15,N,51,VALID
M500036,MTY1,S100036,2025-05-22,2028-02-03,Y,33,VALID
M500036,MTY1,S100023,2025-06-03,2027-08-31,N,30,VALID
M500036,MTY1,S100041,2024-04-20,2027-09-06,N,29,BLOCKED
M500036,MTY1,S100011,2025-12-01,2026-12-18,N,10,VALID
M500036,PHX1,S100044,2024-11-26,2028-10-26,N,38,VALID
M500036,PHX1,S100040,2025-08-28,2026-09-26,N,41,VALID
M500036,PHX1,S100047,2025-08-28,2026-11-08,N,53,VALID
M500036,PHX1,S100006,2025-12-17,2026-11-02,N,10,VALID
M500036,KCH1,S100046,2025-01-18,2028-05-10,N,12,VALID
M500036,KCH1,S100041,2024-05-19,2027-04-17,N,27,BLOCKED
M500036,KCH1,S100013,2024-05-09,2028-09-22,N,61,BLOCKED
M500036,DAL1,S100033,2025-08-25,2027-06-07,N,32,VALID
M500036,DAL1,S100019,2024-08-22,2027-03-29,N,13,VALID
M500036,DAL1,S100005,2024-05-24,2027-04-05,N,48,VALID
M500036,DAL1,S100028,2024-05-01,2028-07-28,N,10,VALID
M500036,AUS1,S100010,2024-08-17,2027-12-06,N,100,VALID
M500037,MTY1,S100038,2024-06-14,2026-10-27,N,19,VALID
M500037,MTY1,S100034,2025-05-13,2027-11-29,N,16,VALID
M500037,MTY1,S100033,2025-11-18,2028-09-10,N,61,VALID
M500037,MTY1,S100050,2025-05-19,2027-01-08,N,10,VALID
M500037,AUS1,S100011,2025-11-04,2027-01-27,N,60,VALID
M500037,AUS1,S100034,2025-09-10,2028-03-28,N,68,VALID
M500037,AUS1,S100016,2024-07-06,2028-03-18,N,55,VALID
M500037,AUS1,S100037,2026-02-02,2027-03-03,N,10,VALID
M500037,PHX1,S100030,2026-01-18,2028-01-28,N,12,VALID
M500037,PHX1,S100028,2026-02-06,2028-03-08,N,17,VALID
M500037,PHX1,S100025,2025-11-14,2027-06-17,N,60,VALID
M500037,PHX1,S100008,2025-03-28,2028-06-21,N,11,VALID
M500037,KCH1,S100031,2025-05-11,2027-10-31,N,100,VALID
M500037,DAL1,S100038,2026-02-14,2027-03-17,N,12,VALID
M500037,DAL1,S100021,2025-05-08,2027-07-29,N,33,VALID
M500037,DAL1,S100044,2026-01-01,2027-11-15,N,11,VALID
M500037,DAL1,S100007,2025-05-18,2026-11-28,N,44,VALID
M500038,KCH1,S100006,2026-02-16,2027-11-26,N,28,VALID
M500038,KCH1,S100046,2026-01-06,2028-02-12,N,40,VALID
M500038,KCH1,S100015,2024-12-15,2028-03-09,N,32,VALID
M500038,PHX1,S100011,2026-02-02,2028-02-17,Y,60,VALID
M500038,PHX1,S100025,2024-10-22,2028-02-18,N,17,VALID
M500038,PHX1,S100039,2026-01-17,2027-09-09,N,33,VALID
M500038,PHX1,S100030,2024-07-14,2027-12-04,N,10,VALID
M500039,AUS1,S100006,2025-10-05,2027-11-10,N,100,VALID
M500039,DAL1,S100025,2025-11-29,2028-03-14,N,29,VALID
M500039,DAL1,S100001,2025-02-13,2027-08-04,N,71,VALID
M500040,DAL1,S100019,2025-09-29,2028-01-07,N,57,VALID
M500040,DAL1,S100046,2024-04-28,2028-03-12,N,53,VALID
M500040,DAL1,S100006,2025-09-29,2027-11-15,N,70,VALID
M500040,DAL1,S100043,2025-03-12,2028-02-01,N,10,VALID
M500040,KCH1,S100009,2024-03-22,2027-06-22,N,32,VALID
M500040,KCH1,S100007,2024-07-06,2027-01-17,N,64,VALID
M500040,KCH1,S100036,2024-07-09,2026-09-13,N,10,VALID
M500040,AUS1,S100027,2025-08-26,2027-03-30,N,39,VALID
M500040,AUS1,S100018,2024-07-24,2028-05-12,N,20,VALID
M500040,AUS1,S100004,2025-11-18,2028-01-05,N,41,VALID
M500040,PHX1,S100046,2025-10-01,2027-10-29,Y,15,VALID
M500040,PHX1,S100029,2025-12-19,2028-11-08,N,14,BLOCKED
M500040,PHX1,S100016,2025-10-22,2028-04-05,N,71,VALID
M500040,MTY1,S100043,2025-11-21,2027-07-14,Y,100,VALID
M500041,DAL1,S100004,2026-01-15,2027-12-12,Y,12,VALID
M500041,DAL1,S100037,2025-05-31,2028-08-12,N,40,VALID
M500041,DAL1,S100009,2025-03-19,2028-08-10,N,45,VALID
M500041,DAL1,S100013,2024-09-01,2027-12-18,N,10,BLOCKED
M500041,KCH1,S100009,2024-10-22,2028-10-18,Y,27,VALID
M500041,KCH1,S100039,2025-07-25,2027-07-10,N,40,VALID
M500041,KCH1,S100017,2025-05-29,2027-08-01,N,33,VALID
M500041,PHX1,S100044,2024-10-26,2027-06-25,Y,14,VALID
M500041,PHX1,S100012,2025-03-09,2027-01-28,N,86,VALID
M500041,MTY1,S100003,2024-06-25,2028-03-09,Y,22,VALID
M500041,MTY1,S100048,2024-08-06,2027-07-02,N,22,VALID
M500041,MTY1,S100028,2025-09-29,2028-03-01,N,35,VALID
M500041,MTY1,S100029,2025-05-10,2028-08-16,N,21,BLOCKED
M500042,DAL1,S100006,2025-07-22,2028-03-26,Y,20,VALID
M500042,DAL1,S100024,2026-01-05,2028-01-13,N,16,VALID
M500042,DAL1,S100026,2025-11-05,2027-04-22,N,64,VALID
M500042,PHX1,S100007,2025-03-18,2027-06-24,N,19,VALID
M500042,PHX1,S100039,2026-01-24,2027-10-15,N,50,VALID
M500042,PHX1,S100044,2025-11-24,2028-07-24,N,54,VALID
M500042,PHX1,S100002,2024-11-26,2027-07-13,N,10,VALID
M500042,AUS1,S100049,2025-10-27,2027-08-06,Y,30,VALID
M500042,AUS1,S100045,2024-11-24,2028-06-04,N,26,VALID
M500042,AUS1,S100004,2024-10-01,2026-12-06,N,63,VALID
M500042,AUS1,S100006,2024-08-03,2026-10-15,N,10,VALID
M500042,MTY1,S100043,2025-12-12,2026-10-14,Y,63,VALID
M500042,MTY1,S100049,2025-04-12,2028-10-25,N,37,VALID
M500043,AUS1,S100018,2025-02-26,2027-01-02,N,100,VALID
M500043,KCH1,S100005,2024-08-11,2027-06-29,N,100,VALID
M500043,DAL1,S100035,2025-06-13,2027-09-12,N,32,VALID
M500043,DAL1,S100023,2026-01-14,2026-10-25,N,68,VALID
M500043,PHX1,S100026,2024-07-13,2027-11-07,N,100,VALID
M500043,MTY1,S100017,2025-06-15,2027-12-29,N,67,VALID
M500043,MTY1,S100003,2025-04-28,2027-07-06,N,46,VALID
M500043,MTY1,S100050,2025-01-11,2028-01-10,N,10,VALID
M500043,MTY1,S100045,2026-02-09,2027-04-06,N,10,VALID
M500044,KCH1,S100025,2025-10-07,2027-09-30,Y,26,VALID
M500044,KCH1,S100021,2025-12-17,2028-05-29,N,74,VALID
M500044,PHX1,S100020,2025-11-12,2026-11-05,Y,64,VALID
M500044,PHX1,S100022,2025-02-18,2027-05-03,N,36,VALID
M500044,DAL1,S100016,2025-10-21,2026-11-24,N,66,VALID
M500044,DAL1,S100001,2024-03-25,2027-08-03,N,28,VALID
M500044,DAL1,S100010,2024-11-13,2027-07-23,N,10,VALID
M500044,MTY1,S100020,2025-06-16,2027-10-29,N,24,VALID
