po_number,item_number,acknowledgement_status,acknowledged_qty,committed_delivery_date,supplier_confirm_number,last_supplier_response_date,response_source,buyer_followup_count
4500000014,00020,ACKNOWLEDGED,1468,2026-04-08,SCN223209,2026-02-21,PHONE_NOTE,1
4500000014,00030,PROMISED_LATE,17,2026-03-28,SCN763449,2026-02-18,EDI,5
4500000014,00040,ACKNOWLEDGED,220,2026-03-05,SCN775303,2026-02-23,PORTAL,1
4500000014,00050,ACKNOWLEDGED,87,2026-03-29,SCN935194,2026-02-27,PHONE_NOTE,2
4500000014,00060,PARTIAL,79,2026-03-29,SCN509339,2026-02-26,REGRELLO,1
4500000015,00010,REJECTED,661,,SCN421107,2026-04-20,PHONE_NOTE,0
4500000015,00020,ACKNOWLEDGED,20,2026-06-11,SCN890851,2026-04-27,EDI,2
4500000016,00010,PROMISED_LATE,35,2026-06-03,SCN856034,2026-02-26,EDI,5
4500000016,00020,ACKNOWLEDGED,61,2026-03-27,SCN932965,2026-02-25,EDI,0
4500000016,00030,ACKNOWLEDGED,12,2026-03-06,SCN219330,2026-03-02,EDI,2
4500000016,00040,MISSING,0,2026-03-02,,,,4
4500000016,00050,ACKNOWLEDGED,674,2026-02-25,SCN431172,2026-03-02,PORTAL,0
4500000017,00010,PARTIAL,324,2026-05-28,SCN214954,2026-04-28,REGRELLO,2
4500000017,00020,PARTIAL,6,2026-07-03,SCN759717,2026-04-17,PHONE_NOTE,4
4500000017,00030,MISSING,0,2026-07-16,,,,4
4500000017,00040,MISSING,0,2026-05-12,,,,5
4500000018,00010,MISSING,0,2026-02-12,,,,1
4500000018,00020,ACKNOWLEDGED,4,2026-04-10,SCN980954,2026-02-09,PORTAL,2
4500000018,00030,MISSING,0,2026-04-29,,,,4
4500000018,00040,MISSING,0,2026-04-27,,,,2
4500000018,00050,ACKNOWLEDGED,74,2026-02-17,SCN978558,2026-02-04,PORTAL,0
4500000019,00010,ACKNOWLEDGED,18,2026-06-04,SCN508285,2026-05-19,EDI,0
4500000019,00020,ACKNOWLEDGED,270,2026-06-09,SCN556672,2026-05-16,REGRELLO,2
4500000019,00030,ACKNOWLEDGED,57,2026-07-19,SCN818899,2026-05-12,PHONE_NOTE,2
4500000019,00040,REJECTED,806,,SCN725772,2026-05-12,PORTAL,2
4500000019,00050,PROMISED_LATE,68,2026-06-13,SCN333382,2026-05-20,EMAIL,4
4500000019,00060,ACKNOWLEDGED,322,2026-08-06,SCN241413,2026-05-10,PHONE_NOTE,1
4500000019,00070,ACKNOWLEDGED,747,2026-07-06,SCN269887,2026-05-12,REGRELLO,1
4500000020,00010,MISSING,0,2026-05-16,,,,2
4500000020,00020,MISSING,0,2026-03-10,,,,0
4500000020,00030,MISSING,0,2026-06-04,,,,0
4500000020,00040,ACKNOWLEDGED,1410,2026-03-28,SCN617518,2026-03-09,PHONE_NOTE,2
4500000020,00050,MISSING,0,2026-03-16,,,,5
4500000020,00060,ACKNOWLEDGED,302,2026-05-12,SCN101850,2026-03-09,EDI,1
4500000021,00010,ACKNOWLEDGED,1343,2026-05-21,SCN103477,2026-04-19,PHONE_NOTE,2
4500000021,00020,ACKNOWLEDGED,689,2026-05-30,SCN397858,2026-04-19,PHONE_NOTE,2
4500000021,00030,PROMISED_LATE,121,2026-06-16,SCN400925,2026-04-22,REGRELLO,1
4500000021,00040,ACKNOWLEDGED,9,2026-06-01,SCN667947,2026-04-14,EDI,0
4500000021,00050,ACKNOWLEDGED,515,2026-04-29,SCN246032,2026-04-21,REGRELLO,1
4500000021,00060,MISSING,0,2026-06-12,,,,3
4500000022,00010,ACKNOWLEDGED,24,2026-04-19,SCN221279,2026-03-19,PORTAL,1
4500000022,00020,ACKNOWLEDGED,420,2026-05-02,SCN395092,2026-03-25,EDI,0
4500000022,00030,ACKNOWLEDGED,833,2026-06-07,SCN200681,2026-03-17,REGRELLO,1
4500000022,00040,ACKNOWLEDGED,345,2026-03-22,SCN383619,2026-03-25,EDI,2
4500000023,00010,PROMISED_LATE,47,2026-07-20,SCN273833,2026-04-20,EMAIL,3
4500000023,00020,ACKNOWLEDGED,36,2026-07-15,SCN585525,2026-04-23,PORTAL,1
4500000023,00030,PARTIAL,18,2026-07-12,SCN560933,2026-04-21,PHONE_NOTE,4
4500000023,00040,MISSING,0,2026-07-01,,,,5
4500000023,00050,MISSING,0,2026-05-01,,,,0
4500000024,00010,ACKNOWLEDGED,407,2026-04-27,SCN424187,2026-02-22,EMAIL,0
4500000024,00020,MISSING,0,2026-02-24,,,,3
4500000024,00030,ACKNOWLEDGED,681,2026-02-27,SCN972961,2026-02-25,EDI,0
4500000024,00040,ACKNOWLEDGED,50,2026-04-22,SCN793041,2026-02-24,EDI,1
4500000024,00050,PROMISED_LATE,6,2026-04-27,SCN941391,2026-02-16,EDI,3
4500000024,00060,ACKNOWLEDGED,36,2026-05-10,SCN687132,2026-02-16,EMAIL,0
4500000024,00070,ACKNOWLEDGED,140,2026-03-19,SCN162126,2026-02-22,EMAIL,0
4500000025,00010,ACKNOWLEDGED,32,2026-03-31,SCN602802,2026-02-28,EDI,1
4500000025,00020,REJECTED,102,,SCN997842,2026-02-25,PHONE_NOTE,0
4500000025,00030,ACKNOWLEDGED,101,2026-05-24,SCN528801,2026-02-25,PORTAL,2
4500000025,00040,PARTIAL,66,2026-03-05,SCN864292,2026-03-04,PORTAL,3
4500000026,00010,ACKNOWLEDGED,5,2026-05-03,SCN284678,2026-03-28,REGRELLO,0
4500000026,00020,PARTIAL,5,2026-06-18,SCN521681,2026-04-02,PORTAL,4
4500000027,00010,MISSING,0,2026-05-10,,,,3
4500000027,00020,ACKNOWLEDGED,59,2026-05-09,SCN765009,2026-04-19,PORTAL,0
4500000027,00030,QTY_DISPUTE,1818,2026-07-07,SCN688628,2026-04-10,EDI,1
4500000028,00010,ACKNOWLEDGED,550,2026-07-09,SCN329957,2026-05-09,REGRELLO,2
4500000028,00020,PROMISED_LATE,1901,2026-06-28,SCN262954,2026-05-04,REGRELLO,4
4500000028,00030,MISSING,0,2026-06-07,,,,5
4500000028,00040,PROMISED_LATE,64,2026-05-22,SCN792051,2026-05-08,PORTAL,0
4500000028,00050,ACKNOWLEDGED,1146,2026-08-05,SCN403170,2026-05-13,EMAIL,0
4500000029,00010,ACKNOWLEDGED,227,2026-05-15,SCN892494,2026-04-27,REGRELLO,0
4500000029,00020,PARTIAL,104,2026-06-08,SCN234867,2026-04-30,PORTAL,2
4500000029,00030,ACKNOWLEDGED,447,2026-06-06,SCN411445,2026-04-20,PHONE_NOTE,2
4500000029,00040,ACKNOWLEDGED,145,2026-06-22,SCN685997,2026-04-19,PORTAL,1
4500000029,00050,PARTIAL,161,2026-04-27,SCN417767,2026-04-29,PHONE_NOTE,4
4500000029,00060,PROMISED_LATE,237,2026-06-07,SCN834664,2026-04-21,PHONE_NOTE,4
4500000029,00070,ACKNOWLEDGED,9,2026-07-09,SCN197722,2026-04-29,PORTAL,1
4500000030,00010,PARTIAL,77,2026-04-27,SCN839624,2026-02-18,PHONE_NOTE,0
4500000030,00020,ACKNOWLEDGED,1691,2026-03-31,SCN424404,2026-02-13,PHONE_NOTE,1
4500000030,00030,ACKNOWLEDGED,8,2026-03-09,SCN868852,2026-02-17,PHONE_NOTE,2
4500000030,00040,MISSING,0,2026-04-26,,,,2
4500000030,00050,PROMISED_LATE,76,2026-04-01,SCN870676,2026-02-16,PHONE_NOTE,5
4500000030,00060,ACKNOWLEDGED,1277,2026-04-10,SCN247109,2026-02-13,PORTAL,1
4500000030,00070,PROMISED_LATE,83,2026-03-05,SCN787134,2026-02-11,REGRELLO,0
4500000031,00010,REJECTED,28,,SCN403051,2026-02-11,PORTAL,0
4500000031,00020,MISSING,0,2026-04-12,,,,3
4500000031,00030,PROMISED_LATE,720,2026-05-23,SCN387406,2026-02-12,EDI,0
4500000031,00040,PRICE_DISPUTE,2421,2026-04-25,SCN934689,2026-02-16,EMAIL,1
4500000031,00050,REJECTED,20,,SCN404328,2026-02-09,EMAIL,2
4500000032,00010,ACKNOWLEDGED,59,2026-06-12,SCN545986,2026-03-17,PORTAL,0
4500000032,00020,MISSING,0,2026-05-04,,,,0
4500000032,00030,ACKNOWLEDGED,34,2026-05-11,SCN262060,2026-03-23,PHONE_NOTE,0
4500000032,00040,PARTIAL,77,2026-06-07,SCN924156,2026-03-23,PORTAL,0
4500000032,00050,ACKNOWLEDGED,183,2026-05-11,SCN908828,2026-03-22,PHONE_NOTE,1
4500000032,00060,PROMISED_LATE,336,2026-04-06,SCN689744,2026-03-21,EMAIL,3
4500000033,00010,ACKNOWLEDGED,483,2026-07-04,SCN828142,2026-04-24,REGRELLO,0
4500000033,00020,MISSING,0,2026-05-16,,,,1
4500000033,00030,ACKNOWLEDGED,197,2026-06-23,SCN400056,2026-04-24,REGRELLO,0
4500000033,00040,ACKNOWLEDGED,1993,2026-05-21,SCN334201,2026-04-30,REGRELLO,2
4500000034,00010,PROMISED_LATE,46,2026-04-17,SCN465484,2026-03-21,EDI,0
4500000034,00020,ACKNOWLEDGED,323,2026-05-04,SCN240297,2026-03-19,EMAIL,0
4500000034,00030,MISSING,0,2026-05-05,,,,1
4500000034,00040,REJECTED,867,,SCN928592,2026-03-18,PHONE_NOTE,2
4500000034,00050,PROMISED_LATE,182,2026-05-16,SCN978840,2026-03-13,PORTAL,3
4500000034,00060,ACKNOWLEDGED,478,2026-04-05,SCN836581,2026-03-12,EMAIL,0
4500000035,00010,MISSING,0,2026-06-23,,,,2
4500000035,00020,REJECTED,36,,SCN405416,2026-04-16,EMAIL,1
4500000035,00030,ACKNOWLEDGED,61,2026-05-11,SCN306308,2026-04-21,PHONE_NOTE,2
4500000035,00040,PARTIAL,70,2026-07-05,SCN765992,2026-04-26,EDI,5
4500000035,00050,ACKNOWLEDGED,26,2026-05-10,SCN559608,2026-04-26,REGRELLO,1
4500000036,00010,ACKNOWLEDGED,140,2026-05-17,SCN377745,2026-03-03,PORTAL,1
4500000036,00020,PARTIAL,76,2026-03-16,SCN376032,2026-02-24,EMAIL,3
4500000036,00030,MISSING,0,2026-04-10,,,,4
4500000036,00040,PROMISED_LATE,936,2026-03-25,SCN187043,2026-02-23,EDI,0
4500000036,00050,QTY_DISPUTE,2017,2026-04-24,SCN287081,2026-02-23,PHONE_NOTE,0
4500000036,00060,QTY_DISPUTE,12,2026-03-20,SCN606889,2026-02-26,REGRELLO,0
4500000036,00070,ACKNOWLEDGED,676,2026-04-20,SCN198224,2026-03-02,REGRELLO,1
4500000037,00010,PROMISED_LATE,3452,2026-07-11,SCN178654,2026-05-22,PORTAL,2
4500000037,00020,MISSING,0,2026-06-05,,,,3
4500000037,00030,ACKNOWLEDGED,25,2026-06-25,SCN362327,2026-05-26,PHONE_NOTE,0
4500000038,00010,ACKNOWLEDGED,85,2026-05-15,SCN209773,2026-04-09,PORTAL,2
4500000038,00020,PROMISED_LATE,184,2026-05-14,SCN892158,2026-04-10,PORTAL,4
4500000038,00030,ACKNOWLEDGED,1496,2026-06-26,SCN244122,2026-04-10,REGRELLO,1
4500000038,00040,MISSING,0,2026-05-21,,,,5
4500000038,00050,REJECTED,665,,SCN548584,2026-04-08,REGRELLO,1
4500000039,00010,ACKNOWLEDGED,18,2026-05-18,SCN496207,2026-05-08,EMAIL,2
4500000039,00020,ACKNOWLEDGED,1738,2026-07-06,SCN538462,2026-05-09,REGRELLO,1
4500000039,00030,REJECTED,277,,SCN272362,2026-05-11,EMAIL,1
4500000039,00040,REJECTED,1848,,SCN468000,2026-05-11,PHONE_NOTE,1
4500000039,00050,ACKNOWLEDGED,98,2026-06-30,SCN760598,2026-05-06,PORTAL,1
4500000039,00060,PROMISED_LATE,969,2026-08-16,SCN966808,2026-05-13,EDI,0
4500000039,00070,PARTIAL,757,2026-07-09,SCN406429,2026-05-13,PHONE_NOTE,5
4500000040,00010,MISSING,0,2026-07-08,,,,0
4500000041,00010,PROMISED_LATE,75,2026-05-09,SCN209947,2026-02-11,EMAIL,5
4500000041,00020,MISSING,0,2026-02-19,,,,2
4500000041,00030,QTY_DISPUTE,581,2026-05-10,SCN765299,2026-02-09,REGRELLO,0
4500000042,00010,QTY_DISPUTE,1472,2026-07-07,SCN878142,2026-04-23,PHONE_NOTE,0
4500000042,00020,PROMISED_LATE,192,2026-07-04,SCN820604,2026-04-15,PHONE_NOTE,5
4500000042,00030,PARTIAL,2929,2026-06-08,SCN147275,2026-04-18,REGRELLO,0
4500000043,00010,PARTIAL,631,2026-04-26,SCN438890,2026-04-16,REGRELLO,0
4500000043,00020,ACKNOWLEDGED,1672,2026-04-24,SCN937619,2026-04-14,REGRELLO,2
4500000043,00030,PROMISED_LATE,32,2026-04-26,SCN795367,2026-04-13,EMAIL,1
4500000043,00040,ACKNOWLEDGED,29,2026-05-18,SCN187712,2026-04-15,PORTAL,1
4500000044,00010,ACKNOWLEDGED,38,2026-03-23,SCN199772,2026-02-07,PORTAL,1
4500000045,00010,PARTIAL,227,2026-03-31,SCN567643,2026-02-25,EDI,3
4500000045,00020,ACKNOWLEDGED,862,2026-03-10,SCN424595,2026-03-04,REGRELLO,2
4500000046,00010,ACKNOWLEDGED,265,2026-05-23,SCN859043,2026-03-29,PHONE_NOTE,2
4500000046,00020,MISSING,0,2026-04-06,,,,0
4500000046,00030,MISSING,0,2026-06-15,,,,1
4500000046,00040,ACKNOWLEDGED,1151,2026-06-13,SCN667003,2026-04-02,REGRELLO,0
4500000046,00050,ACKNOWLEDGED,645,2026-04-05,SCN392280,2026-03-23,PORTAL,1
4500000046,00060,REJECTED,449,,SCN349208,2026-03-29,PORTAL,1
4500000046,00070,PARTIAL,47,2026-05-12,SCN989283,2026-03-31,PORTAL,2
4500000047,00010,ACKNOWLEDGED,111,2026-04-20,SCN706899,2026-02-09,PORTAL,2
4500000047,00020,PROMISED_LATE,1198,2026-03-31,SCN718161,2026-02-15,EMAIL,4
4500000048,00010,ACKNOWLEDGED,666,2026-07-06,SCN918618,2026-04-30,REGRELLO,0
4500000048,00020,ACKNOWLEDGED,2994,2026-06-15,SCN926034,2026-04-30,REGRELLO,1
4500000048,00030,REJECTED,271,,SCN301115,2026-05-07,EMAIL,2
4500000048,00040,REJECTED,16,,SCN282163,2026-05-07,EDI,1
4500000049,00010,ACKNOWLEDGED,223,2026-04-15,SCN622354,2026-03-13,EDI,1
4500000049,00020,ACKNOWLEDGED,253,2026-05-31,SCN685314,2026-03-08,EDI,1
4500000049,00030,ACKNOWLEDGED,995,2026-03-26,SCN609809,2026-03-10,PORTAL,1
4500000050,00010,PARTIAL,68,2026-04-30,SCN413737,2026-04-02,EMAIL,2
4500000050,00020,PARTIAL,39,2026-06-03,SCN587841,2026-03-30,PORTAL,2
4500000050,00030,PRICE_DISPUTE,25,2026-06-28,SCN480163,2026-04-10,EMAIL,1
4500000050,00040,MISSING,0,2026-05-15,,,,4
4500000050,00050,ACKNOWLEDGED,115,2026-05-12,SCN318579,2026-03-30,EMAIL,1
4500000050,00060,PROMISED_LATE,1008,2026-05-21,SCN972380,2026-03-31,PHONE_NOTE,1
4500000051,00010,REJECTED,9,,SCN193984,2026-03-04,REGRELLO,2
4500000052,00010,ACKNOWLEDGED,1016,2026-05-18,SCN774856,2026-03-23,REGRELLO,2
4500000052,00020,QTY_DISPUTE,662,2026-03-31,SCN711903,2026-03-28,EDI,2
4500000052,00030,MISSING,0,2026-04-04,,,,1
4500000052,00040,PROMISED_LATE,109,2026-07-19,SCN333665,2026-03-28,PHONE_NOTE,5
4500000052,00050,PRICE_DISPUTE,873,2026-05-09,SCN988035,2026-04-03,EDI,2
4500000052,00060,ACKNOWLEDGED,123,2026-05-02,SCN425931,2026-03-24,EDI,0
4500000052,00070,PROMISED_LATE,57,2026-06-08,SCN607907,2026-03-30,EMAIL,5
4500000053,00010,PROMISED_LATE,808,2026-03-14,SCN855874,2026-02-13,PORTAL,3
4500000053,00020,ACKNOWLEDGED,18,2026-03-23,SCN752379,2026-02-19,EMAIL,0
4500000053,00030,ACKNOWLEDGED,502,2026-03-09,SCN841562,2026-02-20,EMAIL,1
4500000053,00040,ACKNOWLEDGED,38,2026-05-07,SCN960333,2026-02-19,EDI,0
4500000053,00050,ACKNOWLEDGED,112,2026-04-24,SCN685215,2026-02-14,PORTAL,0
4500000053,00060,MISSING,0,2026-04-19,,,,3
4500000053,00070,ACKNOWLEDGED,25,2026-04-01,SCN789987,2026-02-19,EDI,1
4500000054,00010,QTY_DISPUTE,34,2026-05-01,SCN753772,2026-04-05,PORTAL,0
4500000054,00020,MISSING,0,2026-06-17,,,,5
4500000054,00030,ACKNOWLEDGED,176,2026-06-05,SCN483886,2026-04-08,EMAIL,1
4500000054,00040,PROMISED_LATE,38,2026-06-12,SCN316323,2026-04-06,EDI,1
4500000054,00050,ACKNOWLEDGED,181,2026-05-08,SCN345945,2026-04-09,PHONE_NOTE,1
4500000054,00060,PROMISED_LATE,7,2026-07-08,SCN945990,2026-04-11,REGRELLO,4
4500000055,00010,PARTIAL,145,2026-07-21,SCN608075,2026-04-29,PHONE_NOTE,3
4500000055,00020,MISSING,0,2026-06-03,,,,0
4500000055,00030,ACKNOWLEDGED,39,2026-05-19,SCN252938,2026-04-30,EMAIL,1
4500000055,00040,ACKNOWLEDGED,43,2026-06-09,SCN535495,2026-05-06,REGRELLO,2
4500000055,00050,QTY_DISPUTE,117,2026-05-26,SCN989930,2026-05-03,EDI,1
4500000056,00010,PRICE_DISPUTE,1152,2026-04-19,SCN311021,2026-02-21,PHONE_NOTE,0
4500000056,00020,ACKNOWLEDGED,24,2026-04-13,SCN739163,2026-02-17,PORTAL,2
4500000057,00010,ACKNOWLEDGED,455,2026-05-08,SCN598848,2026-03-17,EDI,0
4500000057,00020,ACKNOWLEDGED,3520,2026-04-23,SCN489823,2026-03-19,PHONE_NOTE,2
4500000057,00030,PARTIAL,607,2026-06-09,SCN882296,2026-03-26,PORTAL,5
4500000057,00040,ACKNOWLEDGED,937,2026-05-08,SCN801546,2026-03-24,PHONE_NOTE,0
4500000057,00050,MISSING,0,2026-04-13,,,,2
4500000057,00060,PARTIAL,19,2026-04-07,SCN873940,2026-03-23,REGRELLO,2
4500000057,00070,ACKNOWLEDGED,12,2026-04-16,SCN988547,2026-03-27,PORTAL,0
4500000058,00010,ACKNOWLEDGED,803,2026-06-19,SCN988838,2026-05-03,EMAIL,1
4500000058,00020,MISSING,0,2026-05-05,,,,2
4500000058,00030,PARTIAL,110,2026-06-14,SCN826903,2026-04-28,REGRELLO,1
4500000059,00010,ACKNOWLEDGED,593,2026-07-08,SCN538433,2026-06-03,PHONE_NOTE,1
4500000059,00020,ACKNOWLEDGED,920,2026-07-07,SCN736364,2026-05-28,PORTAL,1
4500000059,00030,MISSING,0,2026-06-12,,,,0
4500000059,00040,ACKNOWLEDGED,437,2026-08-04,SCN622590,2026-06-05,PHONE_NOTE,1
4500000059,00050,PROMISED_LATE,113,2026-09-03,SCN938775,2026-05-28,PHONE_NOTE,2
4500000059,00060,MISSING,0,2026-07-20,,,,1
4500000059,00070,ACKNOWLEDGED,38,2026-06-28,SCN523652,2026-05-26,EDI,2
4500000060,00010,MISSING,0,2026-02-22,,,,0
4500000061,00010,ACKNOWLEDGED,159,2026-03-11,SCN888643,2026-02-06,EMAIL,0
4500000061,00020,MISSING,0,2026-04-02,,,,1
4500000061,00030,MISSING,0,2026-02-14,,,,4
4500000061,00040,ACKNOWLEDGED,7,2026-03-09,SCN239533,2026-01-31,PHONE_NOTE,2
4500000061,00050,QTY_DISPUTE,611,2026-04-22,SCN622293,2026-02-02,REGRELLO,1
4500000061,00060,ACKNOWLEDGED,88,2026-04-20,SCN635780,2026-02-05,REGRELLO,2
4500000061,00070,ACKNOWLEDGED,25,2026-03-17,SCN254937,2026-02-06,EMAIL,0
4500000062,00010,PARTIAL,360,2026-06-09,SCN744909,2026-05-25,EDI,0
4500000062,00020,ACKNOWLEDGED,499,2026-06-02,SCN644676,2026-05-30,PHONE_NOTE,2
4500000062,00030,QTY_DISPUTE,22,2026-08-17,SCN116202,2026-05-30,PORTAL,2
4500000062,00040,ACKNOWLEDGED,457,2026-08-17,SCN245257,2026-05-31,PORTAL,1
4500000062,00050,MISSING,0,2026-07-10,,,,0
4500000062,00060,REJECTED,121,,SCN663338,2026-05-24,EMAIL,1
4500000062,00070,ACKNOWLEDGED,202,2026-07-15,SCN821710,2026-06-01,EDI,1
4500000063,00010,ACKNOWLEDGED,142,2026-08-17,SCN911487,2026-05-24,PORTAL,2
4500000063,00020,ACKNOWLEDGED,115,2026-06-10,SCN945496,2026-06-02,EMAIL,1
4500000063,00030,ACKNOWLEDGED,586,2026-06-18,SCN363299,2026-05-22,EMAIL,1
4500000063,00040,MISSING,0,2026-08-19,,,,4
4500000063,00050,ACKNOWLEDGED,30,2026-05-29,SCN547049,2026-06-02,EMAIL,2
4500000063,00060,ACKNOWLEDGED,89,2026-06-18,SCN350776,2026-06-02,PORTAL,1
4500000063,00070,ACKNOWLEDGED,93,2026-08-19,SCN906215,2026-05-26,EDI,0
4500000064,00010,QTY_DISPUTE,29,2026-06-27,SCN263987,2026-06-01,EDI,1
4500000064,00020,PARTIAL,223,2026-08-01,SCN233819,2026-05-31,EMAIL,1
4500000064,00030,PARTIAL,2877,2026-07-04,SCN456120,2026-05-23,EMAIL,2
4500000064,00040,ACKNOWLEDGED,946,2026-07-21,SCN203517,2026-05-25,PORTAL,0
4500000064,00050,PARTIAL,514,2026-06-12,SCN472591,2026-05-25,REGRELLO,4
4500000064,00060,ACKNOWLEDGED,21,2026-08-07,SCN213492,2026-05-30,EMAIL,2
4500000065,00010,ACKNOWLEDGED,36,2026-03-05,SCN882304,2026-02-17,PORTAL,0
4500000066,00010,PARTIAL,500,2026-04-11,SCN206347,2026-02-23,EDI,5
4500000066,00020,ACKNOWLEDGED,563,2026-05-25,SCN269394,2026-03-02,REGRELLO,0
4500000066,00030,ACKNOWLEDGED,9,2026-04-20,SCN805372,2026-02-24,PHONE_NOTE,2
4500000066,00040,MISSING,0,2026-03-22,,,,1
4500000066,00050,ACKNOWLEDGED,31,2026-02-27,SCN426297,2026-03-04,PHONE_NOTE,0
4500000066,00060,ACKNOWLEDGED,265,2026-04-19,SCN430599,2026-03-01,PORTAL,2
4500000067,00010,PRICE_DISPUTE,104,2026-06-05,SCN610077,2026-04-09,PHONE_NOTE,2
4500000067,00020,ACKNOWLEDGED,116,2026-05-02,SCN581988,2026-04-08,REGRELLO,0
4500000067,00030,MISSING,0,2026-06-22,,,,0
4500000068,00010,MISSING,0,2026-03-14,,,,1
4500000068,00020,PARTIAL,222,2026-05-28,SCN763721,2026-03-10,PHONE_NOTE,3
4500000068,00030,QTY_DISPUTE,1406,2026-04-21,SCN786589,2026-03-13,REGRELLO,0
