po_number,document_type,company_code,purchasing_org,purchasing_group,supplier_id,po_date,currency,created_by,release_status,header_status,payment_terms,incoterms,last_change_date
4500000024,UB,3000,CA01,B02,S100022,2026-02-15,CAD,SYSTEM,RELEASED,PARTIAL,NET60,EXW,2026-02-22
4500000025,NB,1000,US01,B01,S100009,2026-02-21,USD,SYSTEM,RELEASED,OPEN,NET60,FOB,2026-02-23
4500000026,NB,2000,CA01,B04,S100049,2026-03-21,USD,JSMITH,RELEASED,OPEN,2%10NET30,FOB,2026-04-07
4500000027,NB,1000,CA01,B02,S100014,2026-04-09,USD,LGARCIA,RELEASED,CLOSED,2%10NET30,DAP,2026-04-11
4500000028,NB,2000,CA01,B03,S100050,2026-05-02,USD,LGARCIA,RELEASED,OPEN,NET45,DDP,2026-05-16
4500000029,NB,3000,US01,B04,S100011,2026-04-18,CAD,JSMITH,BLOCKED,OPEN,NET30,EXW,2026-04-25
4500000030,NB,3000,US01,B02,S100047,2026-02-09,CAD,APATEL,RELEASED,PARTIAL,NET45,DAP,2026-02-22
4500000031,NB,3000,MX01,B03,S100023,2026-02-05,CAD,LGARCIA,RELEASED,OPEN,NET45,DAP,2026-02-19
4500000032,NB,3000,US01,B03,S100016,2026-03-11,CAD,SYSTEM,RELEASED,OPEN,NET45,DAP,2026-03-30
4500000033,NB,3000,CA01,B01,S100039,2026-04-19,CAD,JSMITH,RELEASED,PARTIAL,NET45,DDP,2026-04-24
4500000034,NB,1000,CA01,B04,S100024,2026-03-11,USD,SYSTEM,RELEASED,CANCELLED,2%10NET30,FOB,2026-03-17
4500000035,NB,1000,MX01,B01,S100034,2026-04-15,USD,APATEL,RELEASED,PARTIAL,NET45,EXW,2026-04-20
4500000036,NB,1000,US01,B01,S100050,2026-02-22,USD,JSMITH,RELEASED,OPEN,NET45,DDP,2026-03-03
4500000037,NB,1000,CA01,B03,S100048,2026-05-16,USD,JSMITH,IN_APPROVAL,PARTIAL,NET45,DDP,2026-05-17
4500000038,FO,2000,US01,B01,S100034,2026-03-31,USD,APATEL,RELEASED,OPEN,NET45,EXW,2026-04-09
4500000039,NB,3000,MX01,B04,S100039,2026-05-03,CAD,JSMITH,RELEASED,OPEN,NET45,DDP,2026-05-15
4500000040,NB,3000,CA01,B02,S100002,2026-05-15,CAD,MWONG,RELEASED,PARTIAL,NET30,DAP,2026-05-20
4500000041,NB,3000,US01,B01,S100014,2026-02-05,CAD,JSMITH,RELEASED,OPEN,2%10NET30,DAP,2026-02-10
4500000042,NB,3000,US01,B04,S100038,2026-04-14,CAD,MWONG,RELEASED,OPEN,NET45,FOB,2026-04-23
4500000043,NB,3000,MX01,B03,S100008,2026-04-10,CAD,SYSTEM,RELEASED,PARTIAL,NET60,FCA,2026-04-11
4500000044,NB,3000,CA01,B02,S100025,2026-02-05,CAD,APATEL,BLOCKED,OPEN,NET45,EXW,2026-02-20
4500000045,UB,2000,CA01,B02,S100049,2026-02-23,USD,APATEL,RELEASED,OPEN,2%10NET30,FOB,2026-02-27
4500000046,NB,1000,MX01,B04,S100006,2026-03-21,USD,LGARCIA,RELEASED,OPEN,2%10NET30,DAP,2026-03-30
4500000047,NB,2000,CA01,B04,S100017,2026-02-06,USD,MWONG,RELEASED,CANCELLED,NET30,FCA,2026-02-11
4500000048,NB,2000,CA01,B03,S100032,2026-04-28,USD,MWONG,RELEASED,PARTIAL,2%10NET30,DAP,2026-05-03
4500000049,NB,1000,MX01,B01,S100028,2026-03-01,USD,LGARCIA,RELEASED,PARTIAL,2%10NET30,EXW,2026-03-12
4500000050,NB,2000,MX01,B04,S100044,2026-03-29,USD,SYSTEM,RELEASED,OPEN,NET45,DDP,2026-04-08
4500000051,UB,1000,US01,B04,S100045,2026-03-03,USD,LGARCIA,IN_APPROVAL,PARTIAL,NET60,DDP,2026-03-19
4500000052,UB,1000,CA01,B02,S100011,2026-03-22,USD,MWONG,RELEASED,OPEN,NET30,EXW,2026-03-23
4500000053,NB,3000,MX01,B03,S100021,2026-02-09,CAD,SYSTEM,RELEASED,OPEN,2%10NET30,FOB,2026-02-09
4500000054,NB,3000,US01,B01,S100028,2026-03-30,CAD,MWONG,RELEASED,OPEN,2%10NET30,EXW,2026-04-17
4500000055,NB,1000,MX01,B01,S100038,2026-04-28,USD,SYSTEM,RELEASED,PARTIAL,NET45,FOB,2026-05-12
4500000056,NB,3000,CA01,B02,S100012,2026-02-12,CAD,LGARCIA,RELEASED,OPEN,NET60,DDP,2026-03-02
4500000057,FO,1000,CA01,B03,S100017,2026-03-15,USD,JSMITH,RELEASED,OPEN,NET30,FCA,2026-03-29
4500000058,NB,1000,MX01,B03,S100033,2026-04-24,USD,APATEL,RELEASED,OPEN,2%10NET30,DAP,2026-05-10
4500000059,NB,1000,MX01,B04,S100039,2026-05-24,USD,MWONG,IN_APPROVAL,OPEN,NET45,DDP,2026-06-06
4500000060,NB,3000,CA01,B02,S100028,2026-02-10,CAD,JSMITH,RELEASED,PARTIAL,2%10NET30,EXW,2026-02-11
4500000061,NB,3000,CA01,B02,S100031,2026-01-29,CAD,SYSTEM,RELEASED,PARTIAL,NET45,DDP,2026-01-30
4500000062,NB,2000,MX01,B04,S100019,2026-05-20,USD,LGARCIA,RELEASED,CLOSED,NET45,FCA,2026-05-27
4500000063,UB,2000,MX01,B03,S100028,2026-05-21,USD,SYSTEM,BLOCKED,OPEN,2%10NET30,EXW,2026-05-24
4500000064,NB,3000,US01,B04,S100007,2026-05-20,CAD,APATEL,RELEASED,OPEN,2%10NET30,FCA,2026-05-20
4500000065,NB,3000,US01,B02,S100028,2026-02-12,CAD,JSMITH,RELEASED,OPEN,2%10NET30,EXW,2026-02-12
4500000066,NB,1000,CA01,B02,S100044,2026-02-20,USD,SYSTEM,BLOCKED,OPEN,NET45,DDP,2026-03-03
4500000067,NB,2000,MX01,B01,S100015,2026-04-02,USD,MWONG,RELEASED,OPEN,NET30,FCA,2026-04-06
4500000068,NB,2000,US01,B02,S100019,2026-03-02,USD,MWONG,IN_APPROVAL,PARTIAL,NET45,FCA,2026-03-16
4500000069,NB,2000,US01,B01,S100016,2026-03-03,USD,MWONG,RELEASED,PARTIAL,NET45,DAP,2026-03-03
4500000070,NB,2000,CA01,B04,S100005,2026-05-10,USD,JSMITH,RELEASED,OPEN,NET45,EXW,2026-05-27
4500000071,NB,3000,US01,B02,S100023,2026-05-14,CAD,LGARCIA,RELEASED,OPEN,NET45,DAP,2026-05-18
4500000072,NB,1000,US01,B03,S100009,2026-02-20,USD,JSMITH,RELEASED,OPEN,NET60,FOB,2026-03-08
4500000073,NB,3000,CA01,B01,S100007,2026-05-03,CAD,APATEL,RELEASED,OPEN,2%10NET30,FCA,2026-05-05
4500000074,NB,2000,US01,B01,S100023,2026-04-04,USD,JSMITH,BLOCKED,OPEN,NET45,DAP,2026-04-23
4500000075,NB,2000,CA01,B02,S100037,2026-04-16,USD,APATEL,RELEASED,OPEN,2%10NET30,DDP,2026-05-01
4500000076,NB,2000,CA01,B02,S100025,2026-03-24,USD,SYSTEM,BLOCKED,PARTIAL,NET45,EXW,2026-04-04
4500000077,NB,2000,MX01,B01,S100017,2026-02-01,USD,LGARCIA,RELEASED,CLOSED,NET30,FCA,2026-02-13
4500000078,NB,1000,US01,B02,S100001,2026-03-09,USD,APATEL,BLOCKED,OPEN,NET30,FCA,2026-03-19
4500000079,NB,3000,CA01,B01,S100034,2026-01-29,CAD,SYSTEM,RELEASED,PARTIAL,NET45,EXW,2026-02-18
4500000080,NB,3000,MX01,B03,S100004,2026-03-15,CAD,JSMITH,RELEASED,OPEN,NET30,FCA,2026-04-02
4500000081,NB,3000,US01,B02,S100017,2026-03-02,CAD,APATEL,RELEASED,OPEN,NET30,FCA,2026-03-15
4500000082,NB,1000,MX01,B01,S100001,2026-04-14,USD,LGARCIA,RELEASED,OPEN,NET30,FCA,2026-04-27
4500000083,FO,1000,US01,B01,S100010,2026-05-11,USD,SYSTEM,RELEASED,CANCELLED,2%10NET30,FOB,2026-05-30
4500000084,NB,3000,US01,B01,S100039,2026-03-15,CAD,JSMITH,RELEASED,PARTIAL,NET45,DDP,2026-03-16
4500000085,NB,3000,MX01,B04,S100032,2026-05-09,CAD,APATEL,RELEASED,OPEN,2%10NET30,DAP,2026-05-12
4500000086,UB,3000,CA01,B01,S100014,2026-03-10,CAD,APATEL,RELEASED,OPEN,2%10NET30,DAP,2026-03-27
4500000087,NB,1000,CA01,B04,S100020,2026-02-12,USD,JSMITH,RELEASED,OPEN,NET45,FOB,2026-02-24
4500000088,NB,3000,US01,B04,S100032,2026-02-27,CAD,JSMITH,RELEASED,OPEN,2%10NET30,DAP,2026-03-07
4500000089,NB,2000,MX01,B01,S100039,2026-03-11,USD,APATEL,RELEASED,PARTIAL,NET45,DDP,2026-03-16
4500000090,NB,1000,US01,B03,S100048,2026-05-03,USD,JSMITH,RELEASED,OPEN,NET45,DDP,2026-05-08
4500000091,NB,2000,MX01,B01,S100047,2026-04-30,USD,SYSTEM,BLOCKED,PARTIAL,NET45,DAP,2026-05-02
4500000092,NB,3000,CA01,B01,S100034,2026-05-18,CAD,MWONG,RELEASED,OPEN,NET45,EXW,2026-06-03
4500000093,FO,1000,CA01,B02,S100001,2026-03-20,USD,MWONG,RELEASED,OPEN,NET30,FCA,2026-03-29
4500000094,NB,2000,CA01,B01,S100048,2026-02-11,USD,SYSTEM,RELEASED,OPEN,NET45,DDP,2026-03-03
4500000095,FO,1000,US01,B01,S100015,2026-04-29,USD,MWONG,RELEASED,PARTIAL,NET30,FCA,2026-04-29
4500000096,NB,1000,US01,B04,S100038,2026-03-27,USD,MWONG,RELEASED,OPEN,NET45,FOB,2026-04-08
4500000097,NB,2000,MX01,B02,S100048,2026-03-25,USD,LGARCIA,RELEASED,OPEN,NET45,DDP,2026-04-01
4500000098,FO,2000,MX01,B04,S100031,2026-03-25,USD,JSMITH,BLOCKED,CLOSED,NET45,DDP,2026-03-30
4500000099,NB,1000,US01,B02,S100002,2026-01-30,USD,SYSTEM,RELEASED,PARTIAL,NET30,DAP,2026-02-06
4500000100,NB,2000,US01,B03,S100048,2026-02-03,USD,APATEL,BLOCKED,PARTIAL,NET45,DDP,2026-02-07
4500000101,NB,1000,US01,B01,S100006,2026-02-17,USD,MWONG,BLOCKED,OPEN,2%10NET30,DAP,2026-03-06
4500000102,NB,3000,CA01,B02,S100035,2026-04-28,CAD,JSMITH,RELEASED,OPEN,NET45,DDP,2026-05-10
4500000103,NB,1000,MX01,B04,S100022,2026-05-14,USD,LGARCIA,RELEASED,OPEN,NET60,EXW,2026-06-02
4500000104,NB,2000,CA01,B01,S100034,2026-04-08,USD,SYSTEM,RELEASED,PARTIAL,NET45,EXW,2026-04-10
4500000105,NB,3000,US01,B02,S100042,2026-02-27,CAD,SYSTEM,RELEASED,OPEN,2%10NET30,DAP,2026-03-09
4500000106,NB,1000,US01,B03,S100020,2026-03-10,USD,MWONG,RELEASED,PARTIAL,NET45,FOB,2026-03-29
4500000107,NB,1000,CA01,B01,S100047,2026-03-06,USD,MWONG,RELEASED,OPEN,NET45,DAP,2026-03-09
4500000108,NB,3000,MX01,B04,S100028,2026-05-12,CAD,LGARCIA,RELEASED,CANCELLED,2%10NET30,EXW,2026-05-29
4500000109,NB,3000,CA01,B01,S100007,2026-04-20,CAD,MWONG,RELEASED,PARTIAL,2%10NET30,FCA,2026-05-09
4500000110,NB,2000,MX01,B01,S100003,2026-02-22,USD,APATEL,RELEASED,CANCELLED,NET45,EXW,2026-02-25
4500000111,NB,1000,CA01,B01,S100021,2026-03-26,USD,SYSTEM,RELEASED,OPEN,2%10NET30,FOB,2026-04-08
4500000112,NB,1000,CA01,B01,S100048,2026-05-20,USD,MWONG,RELEASED,PARTIAL,NET45,DDP,2026-06-06
4500000113,NB,1000,CA01,B01,S100014,2026-04-10,USD,APATEL,RELEASED,OPEN,2%10NET30,DAP,2026-04-29
4500000114,NB,3000,US01,B04,S100028,2026-03-01,CAD,LGARCIA,RELEASED,OPEN,2%10NET30,EXW,2026-03-07
4500000115,NB,2000,CA01,B01,S100014,2026-02-21,USD,LGARCIA,RELEASED,CLOSED,2%10NET30,DAP,2026-03-02
4500000116,UB,2000,MX01,B02,S100033,2026-04-18,USD,LGARCIA,RELEASED,CLOSED,2%10NET30,DAP,2026-05-04
4500000117,NB,2000,CA01,B02,S100035,2026-03-07,USD,LGARCIA,RELEASED,OPEN,NET45,DDP,2026-03-22
4500000118,UB,2000,CA01,B01,S100014,2026-03-04,USD,APATEL,RELEASED,OPEN,2%10NET30,DAP,2026-03-11
4500000119,NB,2000,US01,B04,S100031,2026-03-02,USD,APATEL,RELEASED,OPEN,NET45,DDP,2026-03-18
4500000120,NB,2000,US01,B02,S100024,2026-02-18,USD,LGARCIA,RELEASED,PARTIAL,2%10NET30,FOB,2026-03-08
4500000121,NB,1000,US01,B02,S100049,2026-04-16,USD,LGARCIA,RELEASED,OPEN,2%10NET30,FOB,2026-04-24
4500000122,NB,1000,MX01,B01,S100042,2026-02-28,USD,APATEL,RELEASED,OPEN,2%10NET30,DAP,2026-03-18
4500000123,NB,3000,US01,B02,S100047,2026-04-05,CAD,MWONG,RELEASED,CLOSED,NET45,DAP,2026-04-14
4500000124,NB,1000,MX01,B02,S100042,2026-03-15,USD,APATEL,RELEASED,CLOSED,2%10NET30,DAP,2026-03-26
4500000125,NB,1000,US01,B01,S100043,2026-04-08,USD,JSMITH,BLOCKED,CLOSED,NET60,DDP,2026-04-17
4500000126,NB,3000,MX01,B02,S100010,2026-02-05,CAD,LGARCIA,RELEASED,CLOSED,2%10NET30,FOB,2026-02-25
4500000127,FO,3000,MX01,B04,S100038,2026-03-13,CAD,JSMITH,BLOCKED,OPEN,NET45,FOB,2026-03-13
4500000128,UB,3000,US01,B03,S100018,2026-01-31,CAD,LGARCIA,RELEASED,CLOSED,2%10NET30,DAP,2026-02-06
4500000129,NB,2000,US01,B04,S100043,2026-04-17,USD,MWONG,RELEASED,OPEN,NET60,DDP,2026-04-23
4500000130,NB,2000,CA01,B04,S100003,2026-04-01,USD,JSMITH,RELEASED,PARTIAL,NET45,EXW,2026-04-18
4500000131,NB,1000,MX01,B01,S100002,2026-04-10,USD,LGARCIA,RELEASED,OPEN,NET30,DAP,2026-04-23
4500000132,NB,1000,CA01,B01,S100025,2026-05-18,USD,LGARCIA,IN_APPROVAL,OPEN,NET45,EXW,2026-06-01
4500000133,UB,2000,US01,B04,S100035,2026-02-08,USD,LGARCIA,RELEASED,PARTIAL,NET45,DDP,2026-02-18
4500000134,NB,2000,CA01,B03,S100022,2026-03-20,USD,MWONG,RELEASED,CLOSED,NET60,EXW,2026-04-08
4500000135,NB,3000,MX01,B04,S100040,2026-03-19,CAD,MWONG,IN_APPROVAL,OPEN,NET45,FOB,2026-04-05
4500000136,FO,3000,MX01,B01,S100009,2026-03-12,CAD,JSMITH,RELEASED,CANCELLED,NET60,FOB,2026-03-24
4500000137,NB,3000,US01,B02,S100050,2026-05-09,CAD,LGARCIA,RELEASED,OPEN,NET45,DDP,2026-05-09
4500000138,FO,3000,MX01,B01,S100050,2026-03-20,CAD,APATEL,RELEASED,CLOSED,NET45,DDP,2026-04-02
4500000139,NB,3000,MX01,B03,S100003,2026-04-15,CAD,SYSTEM,IN_APPROVAL,PARTIAL,NET45,EXW,2026-04-23
4500000140,NB,1000,US01,B01,S100002,2026-02-16,USD,SYSTEM,RELEASED,PARTIAL,NET30,DAP,2026-03-07
4500000141,NB,1000,US01,B01,S100039,2026-03-19,USD,SYSTEM,RELEASED,CLOSED,NET45,DDP,2026-03-30
4500000142,NB,3000,CA01,B01,S100028,2026-01-29,CAD,JSMITH,RELEASED,OPEN,2%10NET30,EXW,2026-02-11
4500000143,NB,3000,MX01,B02,S100004,2026-05-27,CAD,LGARCIA,RELEASED,PARTIAL,NET30,FCA,2026-06-08
4500000144,NB,2000,MX01,B02,S100027,2026-03-24,USD,MWONG,RELEASED,OPEN,2%10NET30,FOB,2026-04-03
4500000145,NB,3000,MX01,B01,S100003,2026-03-05,CAD,MWONG,BLOCKED,CANCELLED,NET45,EXW,2026-03-12
4500000146,NB,1000,US01,B03,S100024,2026-02-01,USD,APATEL,RELEASED,OPEN,2%10NET30,FOB,2026-02-18
4500000147,NB,3000,MX01,B01,S100008,2026-03-29,CAD,LGARCIA,BLOCKED,OPEN,NET60,FCA,2026-04-03
4500000148,UB,3000,US01,B01,S100044,2026-02-28,CAD,LGARCIA,RELEASED,OPEN,NET45,DDP,2026-03-20
4500000149,FO,1000,MX01,B01,S100006,2026-05-26,USD,MWONG,RELEASED,OPEN,2%10NET30,DAP,2026-05-28
4500000150,NB,2000,CA01,B03,S100011,2026-02-09,USD,SYSTEM,RELEASED,OPEN,NET30,EXW,2026-02-19
4500000151,NB,2000,CA01,B02,S100003,2026-03-03,USD,SYSTEM,RELEASED,OPEN,NET45,EXW,2026-03-17
4500000152,NB,2000,MX01,B01,S100015,2026-03-21,USD,MWONG,BLOCKED,OPEN,NET30,FCA,2026-04-07
4500000153,NB,1000,US01,B01,S100022,2026-04-14,USD,APATEL,RELEASED,OPEN,NET60,EXW,2026-04-14
4500000154,NB,1000,US01,B02,S100034,2026-04-18,USD,JSMITH,RELEASED,OPEN,NET45,EXW,2026-05-01
4500000155,NB,2000,CA01,B01,S100037,2026-04-29,USD,JSMITH,RELEASED,PARTIAL,2%10NET30,DDP,2026-05-18
4500000156,FO,3000,US01,B01,S100010,2026-04-14,CAD,LGARCIA,RELEASED,PARTIAL,2%10NET30,FOB,2026-04-30
4500000157,NB,2000,MX01,B04,S100039,2026-02-28,USD,APATEL,RELEASED,OPEN,NET45,DDP,2026-03-18
4500000158,NB,3000,CA01,B04,S100044,2026-03-31,CAD,JSMITH,RELEASED,OPEN,NET45,DDP,2026-04-13
4500000159,NB,3000,CA01,B01,S100040,2026-05-10,CAD,JSMITH,RELEASED,PARTIAL,NET45,FOB,2026-05-11
4500000160,NB,3000,CA01,B03,S100050,2026-04-22,CAD,JSMITH,RELEASED,PARTIAL,NET45,DDP,2026-05-02
4500000161,NB,1000,CA01,B04,S100050,2026-03-26,USD,LGARCIA,RELEASED,OPEN,NET45,DDP,2026-04-05
4500000162,NB,1000,CA01,B02,S100046,2026-04-07,USD,LGARCIA,RELEASED,OPEN,2%10NET30,EXW,2026-04-19
4500000163,NB,2000,CA01,B03,S100042,2026-02-22,USD,JSMITH,RELEASED,PARTIAL,2%10NET30,DAP,2026-03-08
4500000164,NB,2000,US01,B02,S100004,2026-05-18,USD,APATEL,RELEASED,PARTIAL,NET30,FCA,2026-06-07
4500000165,NB,3000,US01,B02,S100021,2026-05-21,CAD,LGARCIA,RELEASED,PARTIAL,2%10NET30,FOB,2026-05-27
4500000166,NB,3000,MX01,B02,S100045,2026-05-02,CAD,APATEL,RELEASED,OPEN,NET60,DDP,2026-05-04
4500000167,NB,1000,MX01,B04,S100046,2026-02-16,USD,SYSTEM,RELEASED,OPEN,2%10NET30,EXW,2026-02-25
4500000168,NB,2000,MX01,B04,S100022,2026-03-30,USD,APATEL,RELEASED,PARTIAL,NET60,EXW,2026-04-14
4500000169,NB,1000,MX01,B02,S100026,2026-05-08,USD,APATEL,RELEASED,PARTIAL,2%10NET30,DDP,2026-05-14
4500000170,NB,1000,MX01,B03,S100014,2026-03-02,USD,SYSTEM,RELEASED,CLOSED,2%10NET30,DAP,2026-03-15
4500000171,NB,1000,MX01,B03,S100011,2026-05-26,USD,SYSTEM,RELEASED,OPEN,NET30,EXW,2026-06-05
4500000172,NB,1000,US01,B02,S100026,2026-05-05,USD,MWONG,RELEASED,PARTIAL,2%10NET30,DDP,2026-05-15
4500000173,NB,3000,CA01,B04,S100016,2026-03-05,CAD,JSMITH,BLOCKED,OPEN,NET45,DAP,2026-03-08
4500000174,NB,2000,CA01,B02,S100024,2026-03-18,USD,SYSTEM,RELEASED,OPEN,2%10NET30,FOB,2026-03-30
4500000175,NB,3000,CA01,B03,S100012,2026-05-13,CAD,APATEL,RELEASED,CANCELLED,NET60,DDP,2026-05-24
4500000176,NB,2000,MX01,B02,S100015,2026-03-25,USD,JSMITH,RELEASED,PARTIAL,NET30,FCA,2026-04-04
4500000177,NB,1000,MX01,B03,S100024,2026-03-02,USD,MWONG,RELEASED,PARTIAL,2%10NET30,FOB,2026-03-04
4500000178,NB,1000,CA01,B04,S100024,2026-02-14,USD,APATEL,RELEASED,OPEN,2%10NET30,FOB,2026-03-03
4500000179,NB,3000,US01,B02,S100025,2026-03-27,CAD,SYSTEM,RELEASED,OPEN,NET45,EXW,2026-03-31
4500000180,NB,1000,CA01,B04,S100016,2026-03-03,USD,SYSTEM,RELEASED,CLOSED,NET45,DAP,2026-03-08
4500000181,FO,3000,MX01,B04,S100020,2026-04-23,CAD,APATEL,RELEASED,CLOSED,NET45,FOB,2026-05-12
4500000182,NB,1000,MX01,B01,S100032,2026-03-17,USD,MWONG,RELEASED,OPEN,2%10NET30,DAP,2026-03-19
4500000183,FO,1000,CA01,B01,S100008,2026-03-12,USD,SYSTEM,RELEASED,PARTIAL,NET60,FCA,2026-03-13
4500000184,NB,3000,CA01,B03,S100003,2026-03-19,CAD,JSMITH,RELEASED,OPEN,NET45,EXW,2026-03-19
4500000185,NB,2000,MX01,B03,S100045,2026-04-01,USD,SYSTEM,RELEASED,OPEN,NET60,DDP,2026-04-21
4500000186,NB,1000,US01,B04,S100021,2026-03-29,USD,SYSTEM,RELEASED,OPEN,2%10NET30,FOB,2026-04-01
4500000187,NB,1000,MX01,B03,S100035,2026-04-01,USD,MWONG,RELEASED,CLOSED,NET45,DDP,2026-04-16
4500000188,NB,2000,MX01,B04,S100015,2026-04-29,USD,JSMITH,RELEASED,OPEN,NET30,FCA,2026-05-09
4500000189,NB,3000,US01,B02,S100011,2026-02-09,CAD,SYSTEM,IN_APPROVAL,PARTIAL,NET30,EXW,2026-02-17
4500000190,NB,1000,MX01,B01,S100048,2026-05-20,USD,LGARCIA,RELEASED,OPEN,NET45,DDP,2026-06-01
4500000191,NB,1000,US01,B01,S100011,2026-05-16,USD,MWONG,RELEASED,CLOSED,NET30,EXW,2026-05-19
4500000192,NB,2000,MX01,B01,S100031,2026-02-09,USD,SYSTEM,RELEASED,CLOSED,NET45,DDP,2026-02-11
4500000193,FO,1000,US01,B04,S100043,2026-05-10,USD,APATEL,RELEASED,OPEN,NET60,DDP,2026-05-15
4500000194,NB,1000,US01,B01,S100026,2026-05-04,USD,JSMITH,RELEASED,OPEN,2%10NET30,DDP,2026-05-21
4500000195,NB,2000,CA01,B01,S100047,2026-02-02,USD,SYSTEM,RELEASED,OPEN,NET45,DAP,2026-02-20
4500000196,NB,2000,MX01,B01,S100011,2026-04-13,USD,APATEL,BLOCKED,OPEN,NET30,EXW,2026-04-21
4500000197,UB,2000,MX01,B02,S100001,2026-02-19,USD,LGARCIA,RELEASED,PARTIAL,NET30,FCA,2026-03-04
4500000198,NB,3000,MX01,B04,S100031,2026-05-04,CAD,APATEL,RELEASED,OPEN,NET45,DDP,2026-05-15
4500000199,FO,1000,MX01,B01,S100010,2026-05-26,USD,APATEL,RELEASED,PARTIAL,2%10NET30,FOB,2026-05-29
4500000200,NB,1000,US01,B02,S100045,2026-05-14,USD,MWONG,RELEASED,PARTIAL,NET60,DDP,2026-06-03
4500000201,NB,1000,CA01,B02,S100050,2026-03-14,USD,JSMITH,BLOCKED,OPEN,NET45,DDP,2026-03-22
4500000202,FO,2000,US01,B02,S100035,2026-05-01,USD,JSMITH,RELEASED,CLOSED,NET45,DDP,2026-05-10
4500000203,NB,3000,CA01,B01,S100015,2026-03-15,CAD,APATEL,RELEASED,CLOSED,NET30,FCA,2026-03-16
4500000204,UB,1000,CA01,B03,S100048,2026-01-30,USD,SYSTEM,BLOCKED,PARTIAL,NET45,DDP,2026-02-19
4500000205,NB,2000,CA01,B03,S100009,2026-03-01,USD,APATEL,RELEASED,PARTIAL,NET60,FOB,2026-03-06
4500000206,NB,2000,CA01,B03,S100019,2026-05-23,USD,JSMITH,RELEASED,OPEN,NET45,FCA,2026-06-04
4500000207,NB,2000,US01,B01,S100026,2026-04-20,USD,MWONG,RELEASED,CANCELLED,2%10NET30,DDP,2026-04-25
4500000208,NB,1000,CA01,B03,S100001,2026-05-24,USD,LGARCIA,RELEASED,OPEN,NET30,FCA,2026-05-29
4500000209,NB,2000,CA01,B01,S100015,2026-03-05,USD,SYSTEM,RELEASED,OPEN,NET30,FCA,2026-03-05
