material_id,plant,storage_location,unrestricted_stock,quality_stock,blocked_stock,in_transit_stock,last_count_date,cycle_count_indicator,rfid_detected_qty
M500121,AUS1,BLK1,0,0,15,131,2026-01-29,C,0
M500121,AUS1,REC1,0,0,0,73,2026-03-09,C,0
M500198,KCH1,0001,0,0,0,0,2026-04-26,C,5
M500198,KCH1,0002,0,0,0,0,2026-02-23,C,5
M500198,KCH1,QI01,25,89,0,0,2026-02-04,C,25
M500198,KCH1,BLK1,0,0,0,0,2026-05-19,A,-3
M500198,KCH1,REC1,508,0,0,0,2026-03-22,C,520
M500217,DAL1,0001,710,0,0,0,2026-04-26,C,715
M500217,DAL1,0002,267,0,0,0,2026-02-22,B,267
M500217,DAL1,QI01,196,0,0,0,2026-03-30,C,196
M500217,DAL1,BLK1,628,0,46,0,2026-03-10,C,628
M500217,DAL1,REC1,540,0,0,0,2026-04-28,B,545
M500241,PHX1,0001,0,0,0,0,2026-05-07,C,12
M500241,PHX1,0002,0,0,0,0,2026-03-16,C,0
M500241,PHX1,QI01,258,11,0,6,2026-02-24,C,258
M500241,PHX1,BLK1,231,0,28,0,2026-02-27,C,231
M500241,PHX1,REC1,0,0,0,165,2026-03-05,C,0
M500109,PHX1,0001,53,0,0,0,2026-04-02,B,53
M500109,PHX1,0002,267,0,0,131,2026-04-20,A,279
M500109,PHX1,QI01,226,55,0,0,2026-03-20,C,226
M500109,PHX1,BLK1,0,0,85,0,2026-03-08,B,5
M500109,PHX1,REC1,323,0,0,0,2026-02-18,C,335
M500238,DAL1,0001,0,0,0,0,2026-04-19,C,0
M500238,DAL1,0002,605,0,0,0,2026-05-15,C,605
M500238,DAL1,QI01,211,36,0,0,2026-04-18,B,216
M500238,DAL1,BLK1,231,0,1,0,2026-05-12,C,231
M500238,DAL1,REC1,0,0,0,0,2026-01-30,C,0
M500178,PHX1,0001,196,0,0,0,2026-03-17,B,196
M500178,PHX1,0002,453,0,0,0,2026-04-07,A,453
M500178,PHX1,QI01,0,179,0,0,2026-04-26,B,0
M500178,PHX1,BLK1,0,0,26,0,2026-04-26,B,5
M500178,PHX1,REC1,363,0,0,15,2026-02-13,B,360
M500122,MTY1,0001,14,0,0,0,2026-02-21,B,26
M500122,MTY1,0002,454,0,0,0,2026-04-23,C,454
M500122,MTY1,QI01,547,0,0,112,2026-05-15,A,552
M500122,MTY1,BLK1,582,0,20,0,2026-03-24,B,582
M500122,MTY1,REC1,109,0,0,0,2026-04-05,C,106
M500094,PHX1,0001,215,0,0,0,2026-05-10,C,215
M500094,PHX1,0002,287,0,0,0,2026-03-31,C,284
M500094,PHX1,QI01,0,211,0,0,2026-02-07,B,12
M500094,PHX1,BLK1,0,0,0,0,2026-02-23,C,5
M500094,PHX1,REC1,224,0,0,0,2026-02-16,A,229
M500046,PHX1,0001,0,0,0,0,2026-05-03,C,0
M500046,PHX1,0002,0,0,0,0,2026-03-29,C,0
M500046,PHX1,QI01,286,85,0,0,2026-05-01,C,286
M500046,PHX1,BLK1,421,0,29,0,2026-02-07,B,421
M500046,PHX1,REC1,0,0,0,0,2026-03-14,C,0
M500169,PHX1,0001,189,0,0,0,2026-05-23,A,186
M500169,PHX1,0002,0,0,0,0,2026-05-27,B,-3
M500169,PHX1,QI01,137,0,0,0,2026-03-04,C,142
M500169,PHX1,BLK1,261,0,2,94,2026-05-13,C,261
M500169,PHX1,REC1,0,0,0,0,2026-02-05,C,0
M500045,DAL1,0001,224,0,0,0,2026-04-01,B,221
M500045,DAL1,0002,10,0,0,0,2026-02-04,C,7
M500045,DAL1,QI01,410,2,0,0,2026-03-04,B,407
M500045,DAL1,BLK1,0,0,15,0,2026-04-19,B,0
M500045,DAL1,REC1,0,0,0,0,2026-05-21,B,0
M500025,PHX1,0001,147,0,0,0,2026-05-04,B,147
M500025,PHX1,0002,0,0,0,0,2026-05-03,C,0
M500025,PHX1,QI01,707,0,0,0,2026-03-22,B,707
M500025,PHX1,BLK1,514,0,0,0,2026-03-01,B,514
M500025,PHX1,REC1,0,0,0,0,2026-02-17,C,5
M500275,AUS1,0001,512,0,0,0,2026-02-26,B,509
M500275,AUS1,0002,0,0,0,0,2026-03-06,A,0
M500275,AUS1,QI01,313,104,0,0,2026-04-14,A,313
M500275,AUS1,BLK1,826,0,0,0,2026-04-09,C,826
M500275,AUS1,REC1,340,0,0,0,2026-04-03,C,340
M500115,PHX1,0001,0,0,0,0,2026-05-12,B,12
M500115,PHX1,0002,543,0,0,0,2026-02-20,C,548
M500115,PHX1,QI01,61,135,0,0,2026-05-18,B,61
M500115,PHX1,BLK1,341,0,77,0,2026-02-22,C,346
M500115,PHX1,REC1,50,0,0,0,2026-04-26,A,50
M500008,MTY1,0001,0,0,0,0,2026-03-13,B,0
M500008,MTY1,0002,174,0,0,0,2026-02-01,C,186
M500008,MTY1,QI01,128,0,0,0,2026-02-22,A,133
M500008,MTY1,BLK1,26,0,0,0,2026-04-22,C,26
M500008,MTY1,REC1,0,0,0,0,2026-03-15,B,0
M500141,KCH1,0001,529,0,0,0,2026-02-11,A,529
M500141,KCH1,0002,0,0,0,0,2026-04-20,A,0
M500141,KCH1,QI01,52,89,0,0,2026-04-07,B,52
M500141,KCH1,BLK1,0,0,61,0,2026-05-04,B,0
M500141,KCH1,REC1,642,0,0,0,2026-05-26,C,642
M500016,AUS1,0001,185,0,0,0,2026-05-07,C,185
M500016,AUS1,0002,16,0,0,0,2026-04-17,B,16
M500016,AUS1,QI01,0,45,0,0,2026-04-06,B,12
M500016,AUS1,BLK1,0,0,69,0,2026-03-06,C,0
M500016,AUS1,REC1,404,0,0,0,2026-05-23,B,409
M500035,MTY1,0001,0,0,0,0,2026-02-07,C,12
M500035,MTY1,0002,10,0,0,0,2026-03-17,A,7
M500035,MTY1,QI01,188,46,0,0,2026-04-17,B,188
M500035,MTY1,BLK1,0,0,71,0,2026-03-10,B,0
M500035,MTY1,REC1,0,0,0,0,2026-05-26,A,-3
M500113,AUS1,0001,55,0,0,0,2026-02-18,B,55
M500113,AUS1,0002,123,0,0,0,2026-03-22,A,123
M500113,AUS1,QI01,0,83,0,0,2026-03-16,C,12
M500113,AUS1,BLK1,18,0,0,148,2026-02-05,B,18
M500113,AUS1,REC1,0,0,0,0,2026-04-29,B,12
M500209,DAL1,0001,0,0,0,0,2026-04-13,B,5
M500209,DAL1,0002,140,0,0,0,2026-04-01,C,137
M500209,DAL1,QI01,0,0,0,53,2026-03-01,B,12
M500209,DAL1,BLK1,514,0,22,0,2026-03-14,B,514
M500209,DAL1,REC1,315,0,0,0,2026-05-06,C,327
M500281,DAL1,0001,257,0,0,0,2026-03-13,C,262
M500281,DAL1,0002,157,0,0,0,2026-05-01,B,154
M500281,DAL1,QI01,151,45,0,0,2026-03-15,C,151
M500281,DAL1,BLK1,754,0,0,0,2026-04-28,A,766
M500281,DAL1,REC1,0,0,0,0,2026-04-06,A,-3
M500129,PHX1,0001,0,0,0,0,2026-03-06,B,5
M500129,PHX1,0002,231,0,0,184,2026-01-28,C,236
M500129,PHX1,QI01,0,139,0,0,2026-05-21,C,0
M500129,PHX1,BLK1,0,0,12,0,2026-01-30,C,0
M500129,PHX1,REC1,228,0,0,0,2026-05-05,C,240
M500189,DAL1,0001,0,0,0,0,2026-04-17,C,0
M500189,DAL1,0002,254,0,0,0,2026-03-21,C,254
M500189,DAL1,QI01,165,67,0,58,2026-05-03,B,165
M500189,DAL1,BLK1,0,0,25,0,2026-04-02,B,12
M500189,DAL1,REC1,465,0,0,0,2026-03-19,B,470
M500292,DAL1,0001,771,0,0,0,2026-03-01,C,771
M500292,DAL1,0002,0,0,0,52,2026-02-07,B,5
M500292,DAL1,QI01,103,39,0,70,2026-05-06,B,103
M500292,DAL1,BLK1,213,0,46,0,2026-03-11,B,225
M500292,DAL1,REC1,65,0,0,0,2026-04-10,A,65
M500136,KCH1,0001,270,0,0,0,2026-05-05,A,282
M500136,KCH1,0002,0,0,0,0,2026-03-29,C,12
M500136,KCH1,QI01,0,0,0,0,2026-04-15,B,0
M500136,KCH1,BLK1,0,0,1,0,2026-04-08,B,-3
M500136,KCH1,REC1,246,0,0,0,2026-05-07,C,258
M500230,MTY1,0001,542,0,0,0,2026-02-07,B,542
M500230,MTY1,0002,239,0,0,0,2026-02-09,A,244
M500230,MTY1,QI01,0,36,0,0,2026-02-12,A,0
M500230,MTY1,BLK1,189,0,0,0,2026-03-16,B,189
M500230,MTY1,REC1,326,0,0,0,2026-04-10,A,326
M500232,KCH1,0001,0,0,0,0,2026-05-01,A,-3
M500232,KCH1,0002,0,0,0,0,2026-03-25,A,-3
M500232,KCH1,QI01,284,3,0,0,2026-02-20,C,296
M500232,KCH1,BLK1,0,0,37,0,2026-03-20,B,0
M500232,KCH1,REC1,613,0,0,0,2026-03-19,B,610
M500164,MTY1,0001,0,0,0,0,2026-03-14,A,0
M500164,MTY1,0002,304,0,0,109,2026-04-07,B,304
M500164,MTY1,QI01,286,0,0,370,2026-02-21,A,298
M500164,MTY1,BLK1,234,0,66,0,2026-04-13,B,239
M500164,MTY1,REC1,257,0,0,0,2026-05-07,C,254
M500068,MTY1,0001,0,0,0,0,2026-04-30,B,0
M500068,MTY1,0002,176,0,0,0,2026-02-12,C,176
M500068,MTY1,QI01,334,0,0,134,2026-04-04,C,339
M500068,MTY1,BLK1,0,0,0,0,2026-04-07,B,0
M500068,MTY1,REC1,35,0,0,0,2026-02-20,A,32
M500274,AUS1,0001,0,0,0,0,2026-02-26,B,5
M500274,AUS1,0002,366,0,0,0,2026-03-08,B,366
M500274,AUS1,QI01,0,67,0,0,2026-02-22,A,0
M500274,AUS1,BLK1,0,0,0,97,2026-05-17,A,0
M500274,AUS1,REC1,0,0,0,0,2026-03-23,A,0
M500297,DAL1,0001,0,0,0,0,2026-04-27,C,-3
M500297,DAL1,0002,41,0,0,0,2026-03-08,A,41
M500297,DAL1,QI01,831,17,0,0,2026-02-01,C,831
M500297,DAL1,BLK1,0,0,82,63,2026-04-05,C,0
M500297,DAL1,REC1,154,0,0,0,2026-02-18,C,154
M500019,PHX1,0001,343,0,0,182,2026-04-11,B,340
M500019,PHX1,0002,4,0,0,0,2026-02-27,B,1
M500019,PHX1,QI01,211,124,0,141,2026-04-18,A,216
M500019,PHX1,BLK1,74,0,0,0,2026-04-14,C,74
M500019,PHX1,REC1,323,0,0,0,2026-05-05,B,323
M500021,KCH1,0001,263,0,0,0,2026-04-12,C,263
M500021,KCH1,0002,409,0,0,0,2026-03-09,A,409
M500021,KCH1,QI01,0,0,0,43,2026-04-30,B,0
M500021,KCH1,BLK1,0,0,77,112,2026-02-13,A,5
M500021,KCH1,REC1,0,0,0,0,2026-04-15,C,0
M500067,KCH1,0001,0,0,0,109,2026-02-18,C,0
M500067,KCH1,0002,154,0,0,0,2026-05-21,C,154
M500067,KCH1,QI01,346,50,0,104,2026-02-09,B,346
M500067,KCH1,BLK1,0,0,70,0,2026-02-19,B,0
M500067,KCH1,REC1,0,0,0,0,2026-02-04,A,0
M500100,DAL1,0001,678,0,0,0,2026-02-12,C,678
M500100,DAL1,0002,0,0,0,0,2026-03-23,A,-3
M500100,DAL1,QI01,0,23,0,0,2026-05-08,C,-3
M500100,DAL1,BLK1,35,0,30,254,2026-05-10,A,35
M500100,DAL1,REC1,168,0,0,0,2026-03-06,B,168
M500109,DAL1,0001,0,0,0,0,2026-04-26,C,-3
M500109,DAL1,0002,182,0,0,0,2026-05-11,B,182
M500109,DAL1,QI01,289,195,0,0,2026-04-14,B,289
M500109,DAL1,BLK1,0,0,39,0,2026-03-26,B,0
M500109,DAL1,REC1,244,0,0,0,2026-04-14,C,256
M500227,MTY1,0001,0,0,0,0,2026-03-21,B,12
M500227,MTY1,0002,452,0,0,0,2026-02-05,C,452
M500227,MTY1,QI01,289,57,0,0,2026-03-09,A,289
M500227,MTY1,BLK1,0,0,23,0,2026-05-09,A,0
M500227,MTY1,REC1,0,0,0,0,2026-05-26,A,5
M500259,PHX1,0001,0,0,0,0,2026-03-29,C,0
M500259,PHX1,0002,0,0,0,0,2026-03-27,C,0
M500259,PHX1,QI01,190,17,0,0,2026-03-04,C,195
M500259,PHX1,BLK1,241,0,0,0,2026-04-21,B,241
M500259,PHX1,REC1,401,0,0,0,2026-03-20,C,401
M500269,MTY1,0001,0,0,0,0,2026-05-09,C,12
M500269,MTY1,0002,52,0,0,0,2026-05-01,A,64
M500269,MTY1,QI01,0,0,0,0,2026-03-19,B,-3
M500269,MTY1,BLK1,0,0,5,0,2026-04-01,C,0
M500269,MTY1,REC1,0,0,0,0,2026-04-21,C,5
M500192,DAL1,0001,0,0,0,0,2026-03-05,B,0
M500192,DAL1,0002,436,0,0,0,2026-02-02,C,436
M500192,DAL1,QI01,95,168,0,0,2026-05-17,B,95
M500192,DAL1,BLK1,20,0,55,0,2026-05-07,C,20
M500192,DAL1,REC1,0,0,0,0,2026-02-16,A,-3
M500024,PHX1,0001,49,0,0,0,2026-02-04,C,61
M500024,PHX1,0002,0,0,0,0,2026-04-02,A,0
M500024,PHX1,QI01,113,128,0,0,2026-02-17,B,118
M500024,PHX1,BLK1,68,0,4,0,2026-02-21,B,80
M500024,PHX1,REC1,351,0,0,0,2026-02-23,A,356
M500003,AUS1,0001,25,0,0,0,2026-05-02,C,25
M500003,AUS1,0002,315,0,0,0,2026-03-25,C,327
M500003,AUS1,QI01,241,0,0,0,2026-05-16,C,241
M500003,AUS1,BLK1,116,0,41,0,2026-04-06,B,116
M500003,AUS1,REC1,103,0,0,144,2026-04-05,A,115
M500023,DAL1,0001,324,0,0,0,2026-01-31,C,324
M500023,DAL1,0002,179,0,0,0,2026-04-29,A,179
M500023,DAL1,QI01,0,227,0,0,2026-03-18,B,5
M500023,DAL1,BLK1,0,0,37,0,2026-04-09,B,-3
M500023,DAL1,REC1,120,0,0,0,2026-02-18,B,120
M500105,KCH1,0001,295,0,0,0,2026-02-26,C,300
M500105,KCH1,0002,273,0,0,30,2026-04-20,A,278
M500105,KCH1,QI01,0,64,0,0,2026-02-26,B,5
M500105,KCH1,BLK1,331,0,0,0,2026-03-30,B,336
M500105,KCH1,REC1,213,0,0,0,2026-03-18,C,213
M500254,AUS1,0001,688,0,0,0,2026-02-02,A,700
M500254,AUS1,0002,403,0,0,0,2026-04-24,C,400
M500254,AUS1,QI01,165,0,0,0,2026-05-06,C,162
M500254,AUS1,BLK1,203,0,36,0,2026-03-11,C,203
M500254,AUS1,REC1,455,0,0,0,2026-04-18,B,455
M500066,PHX1,0001,0,0,0,0,2026-02-06,A,-3
M500066,PHX1,0002,367,0,0,6,2026-04-10,A,367
M500066,PHX1,QI01,75,0,0,0,2026-05-15,C,72
M500066,PHX1,BLK1,38,0,59,0,2026-02-11,A,38
M500066,PHX1,REC1,197,0,0,0,2026-01-28,C,194
M500028,MTY1,0001,0,0,0,196,2026-02-03,A,5
M500028,MTY1,0002,0,0,0,36,2026-05-22,C,0
M500028,MTY1,QI01,0,0,0,0,2026-05-24,B,0
M500028,MTY1,BLK1,0,0,60,0,2026-04-12,A,5
M500028,MTY1,REC1,300,0,0,0,2026-02-01,C,297
M500087,KCH1,0001,314,0,0,0,2026-03-26,B,326
M500087,KCH1,0002,438,0,0,0,2026-05-23,A,438
M500087,KCH1,QI01,0,31,0,0,2026-03-15,A,0
M500087,KCH1,BLK1,0,0,0,69,2026-01-30,B,0
M500087,KCH1,REC1,415,0,0,0,2026-03-20,C,415
M500088,MTY1,0001,205,0,0,0,2026-04-10,C,217
M500088,MTY1,0002,620,0,0,0,2026-03-29,C,620
M500088,MTY1,QI01,291,37,0,0,2026-03-17,A,291
M500088,MTY1,BLK1,53,0,0,0,2026-03-22,A,53
M500088,MTY1,REC1,539,0,0,0,2026-02-08,A,539
M500104,AUS1,0001,0,0,0,0,2026-03-14,C,12
M500104,AUS1,0002,0,0,0,0,2026-05-14,C,0
M500104,AUS1,QI01,117,43,0,0,2026-03-13,B,117
M500104,AUS1,BLK1,353,0,124,0,2026-05-10,B,365
M500104,AUS1,REC1,54,0,0,0,2026-02-07,C,66
M500131,DAL1,0001,152,0,0,0,2026-03-07,C,152
M500131,DAL1,0002,302,0,0,0,2026-05-08,B,299
M500131,DAL1,QI01,0,0,0,0,2026-02-15,A,0
M500131,DAL1,BLK1,0,0,39,0,2026-03-06,A,-3
M500131,DAL1,REC1,0,0,0,144,2026-04-11,B,0
M500176,KCH1,0001,161,0,0,0,2026-05-20,C,173
M500176,KCH1,0002,155,0,0,0,2026-04-29,B,155
M500176,KCH1,QI01,0,47,0,0,2026-02-27,B,12
M500176,KCH1,BLK1,0,0,48,0,2026-02-18,C,0
M500176,KCH1,REC1,0,0,0,149,2026-05-22,A,0
M500205,DAL1,0001,0,0,0,0,2026-02-26,C,12
M500205,DAL1,0002,432,0,0,0,2026-02-27,C,432
M500205,DAL1,QI01,171,113,0,0,2026-03-28,C,171
M500205,DAL1,BLK1,341,0,0,54,2026-04-23,B,341
M500205,DAL1,REC1,42,0,0,0,2026-04-29,B,42
M500289,PHX1,0001,260,0,0,0,2026-01-31,B,260
M500289,PHX1,0002,0,0,0,0,2026-02-10,B,0
M500289,PHX1,QI01,118,0,0,0,2026-05-02,C,115
M500289,PHX1,BLK1,0,0,40,142,2026-05-18,B,0
M500289,PHX1,REC1,0,0,0,236,2026-03-26,C,-3
M500217,KCH1,0001,0,0,0,0,2026-03-16,C,5
M500217,KCH1,0002,646,0,0,0,2026-02-20,C,658
M500217,KCH1,QI01,0,103,0,0,2026-04-13,C,12
M500217,KCH1,BLK1,115,0,112,0,2026-02-28,B,115
M500217,KCH1,REC1,0,0,0,0,2026-03-27,A,5
M500077,PHX1,0001,195,0,0,71,2026-03-17,C,195
M500077,PHX1,0002,0,0,0,0,2026-03-04,C,0
M500077,PHX1,QI01,12,41,0,0,2026-05-10,B,24
M500077,PHX1,BLK1,359,0,16,0,2026-02-16,C,356
M500077,PHX1,REC1,479,0,0,0,2026-02-22,C,484
M500098,KCH1,0001,0,0,0,0,2026-03-10,A,5
M500098,KCH1,0002,0,0,0,206,2026-05-14,A,-3
M500098,KCH1,QI01,300,59,0,0,2026-04-14,C,312
M500098,KCH1,BLK1,252,0,0,0,2026-04-29,C,252
M500098,KCH1,REC1,0,0,0,0,2026-02-10,B,5
