info_record_id,material_id,supplier_id,plant,purchasing_org,price,currency,price_unit,lead_time_days,min_order_qty,valid_from,valid_to
IR0000119,M500016,S100023,MTY1,US01,6.05,USD,100,62,1,2025-05-02,2026-10-19
IR0000120,M500016,S100031,AUS1,MX01,6.22,USD,1,37,1,2024-10-31,2028-09-22
IR0000121,M500016,S100035,AUS1,US01,7.24,USD,100,52,10,2025-09-05,2028-06-10
IR0000122,M500016,S100007,AUS1,CA01,6.24,USD,10,40,250,2024-05-15,2027-03-12
IR0000123,M500016,S100010,AUS1,MX01,7.11,USD,100,54,100,2024-08-07,2027-08-09
IR0000124,M500016,S100049,DAL1,US01,7.16,USD,1,94,50,2025-06-25,2028-02-29
IR0000125,M500016,S100028,DAL1,CA01,5.42,USD,10,77,100,2024-12-26,2026-09-24
IR0000126,M500016,S100026,KCH1,CA01,5.44,USD,10,88,10,2025-12-17,2027-10-12
IR0000127,M500016,S100044,KCH1,US01,5.83,USD,1,74,10,2026-02-02,2027-09-03
IR0000128,M500016,S100008,KCH1,CA01,5.70,USD,1,74,100,2025-07-03,2028-05-31
IR0000129,M500016,S100030,KCH1,CA01,4.82,USD,10,89,100,2024-03-24,2028-07-01
IR0000130,M500017,S100044,KCH1,MX01,11.82,USD,100,6,1,2025-05-22,2027-10-14
IR0000131,M500017,S100021,DAL1,US01,15.05,USD,100,23,10,2024-11-07,2028-10-07
IR0000132,M500017,S100037,DAL1,MX01,14.94,USD,100,15,10,2024-12-04,2028-05-25
IR0000133,M500017,S100003,AUS1,US01,15.74,USD,100,17,250,2026-01-14,2028-05-06
IR0000134,M500017,S100022,AUS1,CA01,15.65,USD,10,23,50,2025-06-06,2028-01-27
IR0000135,M500017,S100042,PHX1,MX01,14.97,USD,10,27,100,2025-11-23,2027-06-12
IR0000136,M500018,S100023,DAL1,CA01,38.08,USD,10,6,250,2025-08-18,2027-04-23
IR0000137,M500018,S100002,KCH1,MX01,31.27,USD,100,44,100,2025-05-12,2027-09-19
IR0000138,M500018,S100040,KCH1,CA01,36.96,USD,1,49,250,2024-06-02,2028-02-21
IR0000139,M500018,S100033,PHX1,US01,38.90,USD,100,3,250,2025-10-08,2027-07-19
IR0000140,M500018,S100032,PHX1,US01,37.21,USD,1,22,10,2024-03-22,2028-02-13
IR0000141,M500018,S100046,PHX1,CA01,45.80,USD,100,13,100,2025-12-26,2028-08-07
IR0000142,M500018,S100010,PHX1,MX01,36.03,USD,10,20,1,2025-01-23,2028-09-09
IR0000143,M500019,S100044,PHX1,MX01,7.59,USD,100,26,50,2025-10-13,2027-02-13
IR0000144,M500019,S100017,KCH1,US01,8.30,USD,100,27,10,2024-11-03,2028-04-24
IR0000145,M500019,S100012,KCH1,US01,9.64,USD,100,36,50,2025-06-10,2028-06-05
IR0000146,M500019,S100034,KCH1,US01,9.09,USD,100,21,50,2025-01-13,2027-04-10
IR0000147,M500019,S100011,AUS1,CA01,9.80,USD,10,34,50,2025-03-19,2027-03-05
IR0000148,M500019,S100017,AUS1,US01,8.51,USD,100,36,10,2025-08-30,2028-04-06
IR0000149,M500019,S100006,AUS1,MX01,8.37,USD,1,45,1,2024-08-24,2028-05-09
IR0000150,M500019,S100044,AUS1,CA01,8.37,USD,1,49,100,2024-07-24,2028-08-22
IR0000151,M500019,S100025,DAL1,MX01,8.04,USD,10,7,1,2024-06-03,2027-07-20
IR0000152,M500019,S100036,DAL1,MX01,7.36,USD,100,16,250,2025-04-10,2028-05-30
IR0000153,M500019,S100021,DAL1,CA01,9.30,USD,1,1,10,2025-12-03,2026-12-19
IR0000154,M500020,S100038,AUS1,US01,7.69,USD,1,86,50,2026-01-10,2026-11-22
IR0000155,M500020,S100016,AUS1,CA01,6.98,USD,1,81,50,2025-10-30,2027-07-26
IR0000156,M500020,S100018,AUS1,CA01,7.99,USD,100,79,10,2024-05-24,2027-04-02
IR0000157,M500020,S100029,MTY1,MX01,9.18,USD,10,53,1,2025-05-21,2027-01-26
IR0000158,M500020,S100021,MTY1,CA01,7.64,USD,100,54,250,2025-02-20,2027-02-23
IR0000159,M500020,S100003,MTY1,US01,8.46,USD,1,66,1,2024-10-21,2028-03-22
IR0000160,M500020,S100002,MTY1,US01,7.10,USD,100,67,250,2025-05-15,2027-08-30
IR0000161,M500020,S100026,DAL1,CA01,7.77,USD,10,27,250,2025-03-16,2028-03-18
IR0000162,M500020,S100011,DAL1,CA01,7.26,USD,1,13,100,2024-11-14,2028-02-28
IR0000163,M500020,S100009,DAL1,CA01,9.85,USD,100,17,250,2025-03-09,2028-01-30
IR0000164,M500020,S100047,PHX1,MX01,7.30,USD,100,54,50,2025-03-30,2028-11-09
IR0000165,M500020,S100038,PHX1,MX01,7.81,USD,10,50,10,2025-10-19,2026-11-18
IR0000166,M500020,S100028,PHX1,US01,6.81,USD,10,61,10,2026-02-11,2026-10-05
IR0000167,M500021,S100005,MTY1,CA01,4.11,USD,1,26,50,2024-04-30,2026-12-22
IR0000168,M500021,S100016,MTY1,MX01,4.43,USD,100,29,250,2024-10-13,2026-09-29
IR0000169,M500021,S100044,PHX1,MX01,5.39,USD,10,16,250,2025-04-13,2027-06-13
IR0000170,M500021,S100007,PHX1,CA01,6.19,USD,100,5,100,2024-10-03,2027-01-20
IR0000171,M500021,S100041,KCH1,US01,4.80,USD,100,12,50,2024-12-21,2027-01-26
IR0000172,M500021,S100029,KCH1,MX01,4.46,USD,1,24,1,2025-07-18,2026-11-05
IR0000173,M500021,S100047,KCH1,US01,4.25,USD,100,11,1,2025-10-04,2027-03-08
IR0000174,M500021,S100019,KCH1,MX01,4.17,USD,10,7,1,2024-05-17,2027-07-04
IR0000175,M500021,S100027,DAL1,CA01,4.75,USD,100,22,100,2025-09-07,2027-03-22
IR0000176,M500021,S100017,DAL1,MX01,4.15,USD,10,22,10,2024-12-31,2028-02-08
IR0000177,M500022,S100031,MTY1,CA01,9.81,USD,1,32,1,2025-02-11,2028-03-23
IR0000178,M500022,S100030,MTY1,US01,11.82,USD,100,28,100,2025-09-25,2028-05-20
IR0000179,M500022,S100021,MTY1,US01,12.99,USD,10,15,250,2024-04-15,2028-03-15
IR0000180,M500022,S100046,KCH1,CA01,12.76,USD,1,33,10,2024-04-28,2027-12-19
IR0000181,M500022,S100029,KCH1,MX01,14.25,USD,1,29,10,2024-07-19,2028-06-27
IR0000182,M500022,S100010,AUS1,US01,14.19,USD,100,19,50,2024-05-29,2027-04-02
IR0000183,M500022,S100037,AUS1,US01,12.51,USD,1,23,250,2024-04-15,2028-04-16
IR0000184,M500022,S100016,PHX1,US01,13.31,USD,100,33,50,2024-04-20,2027-09-02
IR0000185,M500022,S100011,PHX1,CA01,11.32,USD,10,47,100,2024-07-28,2027-07-07
IR0000186,M500023,S100015,AUS1,CA01,7.90,USD,10,46,1,2026-01-28,2028-04-01
IR0000187,M500023,S100011,AUS1,MX01,7.42,USD,1,45,10,2024-11-17,2028-05-05
IR0000188,M500023,S100026,AUS1,US01,7.05,USD,100,46,100,2025-12-08,2027-02-07
IR0000189,M500023,S100019,AUS1,MX01,6.29,USD,10,37,10,2024-08-27,2028-01-17
IR0000190,M500023,S100009,DAL1,US01,8.65,USD,10,12,250,2024-03-28,2028-10-04
IR0000191,M500023,S100010,DAL1,US01,8.96,USD,10,28,100,2025-08-09,2027-02-19
IR0000192,M500023,S100034,KCH1,MX01,8.35,USD,10,31,50,2024-03-19,2027-03-29
IR0000193,M500023,S100033,KCH1,MX01,7.27,USD,1,16,10,2025-06-20,2028-06-08
IR0000194,M500023,S100037,KCH1,US01,9.10,USD,100,17,250,2025-05-09,2027-07-01
IR0000195,M500023,S100029,KCH1,US01,7.50,USD,10,20,10,2024-07-10,2027-07-20
IR0000196,M500024,S100002,PHX1,MX01,29.15,USD,100,20,1,2025-09-18,2028-06-14
IR0000197,M500024,S100020,MTY1,MX01,24.40,USD,1,24,10,2025-07-29,2027-12-28
IR0000198,M500025,S100037,AUS1,MX01,8.67,USD,1,30,1,2024-12-19,2027-12-20
IR0000199,M500025,S100026,PHX1,US01,7.02,USD,100,41,100,2025-09-16,2028-09-13
IR0000200,M500025,S100004,PHX1,MX01,6.95,USD,1,46,1,2024-10-28,2028-10-04
IR0000201,M500025,S100008,DAL1,US01,6.58,USD,100,2,100,2025-01-22,2027-10-12
IR0000202,M500025,S100047,MTY1,US01,7.17,USD,100,36,1,2024-08-25,2028-10-12
IR0000203,M500025,S100022,MTY1,US01,8.06,USD,10,36,250,2025-04-23,2028-04-02
IR0000204,M500026,S100043,DAL1,MX01,20.59,USD,100,2,10,2025-08-18,2027-12-05
IR0000205,M500026,S100012,AUS1,CA01,19.07,USD,1,33,1,2026-01-25,2028-11-11
IR0000206,M500026,S100007,AUS1,US01,15.17,USD,10,35,10,2024-04-08,2027-07-26
IR0000207,M500026,S100006,AUS1,US01,19.69,USD,10,34,100,2026-01-31,2028-04-22
IR0000208,M500027,S100048,AUS1,US01,7.83,USD,100,45,50,2024-04-18,2026-08-27
IR0000209,M500027,S100050,MTY1,US01,8.65,USD,1,8,50,2024-09-27,2026-09-12
IR0000210,M500027,S100045,MTY1,CA01,7.29,USD,100,15,100,2025-08-06,2027-11-03
IR0000211,M500027,S100049,DAL1,MX01,8.03,USD,1,3,100,2026-01-21,2027-05-18
IR0000212,M500027,S100009,DAL1,US01,6.68,USD,1,14,10,2025-12-24,2027-11-01
IR0000213,M500027,S100014,DAL1,CA01,5.70,USD,100,18,1,2024-07-27,2028-01-14
IR0000214,M500028,S100047,DAL1,CA01,14.71,USD,1,24,50,2024-12-22,2027-04-16
IR0000215,M500028,S100006,DAL1,MX01,15.45,USD,1,23,1,2025-09-08,2028-07-26
IR0000216,M500028,S100028,DAL1,US01,15.27,USD,10,29,250,2025-12-19,2026-12-31
IR0000217,M500028,S100038,DAL1,CA01,14.00,USD,10,33,1,2024-05-03,2027-12-01
IR0000218,M500028,S100029,MTY1,US01,17.45,USD,10,36,1,2025-02-26,2027-09-10
IR0000219,M500028,S100038,MTY1,CA01,11.23,USD,1,38,1,2025-06-05,2027-12-11
IR0000220,M500028,S100044,MTY1,MX01,12.02,USD,1,21,100,2025-10-19,2028-11-05
IR0000221,M500028,S100007,KCH1,CA01,12.28,USD,100,12,250,2025-05-11,2028-10-15
IR0000222,M500028,S100029,KCH1,US01,16.57,USD,100,22,100,2026-02-04,2028-02-06
IR0000223,M500028,S100010,PHX1,US01,17.64,USD,100,6,100,2024-06-21,2026-09-26
IR0000224,M500029,S100013,KCH1,US01,47.66,USD,10,45,50,2024-09-15,2026-10-08
IR0000225,M500029,S100004,DAL1,CA01,53.67,USD,1,38,10,2025-04-29,2027-08-30
IR0000226,M500029,S100046,MTY1,CA01,46.07,USD,100,61,50,2025-07-31,2026-09-20
IR0000227,M500030,S100028,PHX1,US01,58.33,USD,100,54,250,2026-01-18,2027-03-23
IR0000228,M500030,S100046,PHX1,CA01,72.80,USD,10,61,10,2025-09-10,2027-11-19
IR0000229,M500030,S100039,PHX1,US01,63.80,USD,1,63,1,2025-02-21,2028-04-16
IR0000230,M500030,S100017,PHX1,CA01,60.31,USD,10,51,50,2026-01-16,2026-10-23
IR0000231,M500030,S100041,DAL1,MX01,62.68,USD,10,85,50,2025-12-10,2026-12-23
IR0000232,M500030,S100038,DAL1,MX01,56.29,USD,1,99,250,2026-01-28,2028-09-30
IR0000233,M500030,S100002,DAL1,MX01,70.47,USD,100,102,50,2025-12-10,2028-08-27
IR0000234,M500030,S100021,AUS1,US01,57.84,USD,1,70,50,2025-06-07,2028-07-09
IR0000235,M500030,S100038,KCH1,CA01,75.41,USD,10,99,250,2025-04-19,2028-06-18
IR0000236,M500030,S100041,MTY1,US01,72.09,USD,10,100,250,2024-10-31,2028-04-21
IR0000237,M500030,S100015,MTY1,CA01,74.80,USD,1,85,10,2025-04-24,2026-12-08
IR0000238,M500030,S100042,MTY1,CA01,62.52,USD,10,88,10,2025-04-30,2026-10-15
IR0000239,M500030,S100005,MTY1,CA01,61.29,USD,1,97,250,2025-08-23,2028-10-14
IR0000240,M500031,S100038,PHX1,CA01,3.36,USD,10,24,1,2024-11-18,2026-09-10
IR0000241,M500031,S100037,PHX1,MX01,3.89,USD,100,25,1,2024-10-27,2026-10-17
IR0000242,M500031,S100008,PHX1,US01,4.57,USD,100,20,50,2025-11-18,2027-10-20
IR0000243,M500031,S100035,MTY1,MX01,4.41,USD,100,15,250,2025-11-24,2027-04-23
IR0000244,M500031,S100010,DAL1,CA01,4.73,USD,100,2,1,2024-08-16,2028-01-23
IR0000245,M500031,S100008,DAL1,CA01,4.02,USD,1,5,100,2025-01-05,2027-05-19
IR0000246,M500031,S100006,DAL1,MX01,4.39,USD,1,20,100,2025-02-18,2028-02-11
IR0000247,M500031,S100029,DAL1,CA01,4.74,USD,100,7,1,2024-09-16,2027-09-12
IR0000248,M500031,S100017,AUS1,CA01,3.91,USD,1,16,10,2024-08-13,2026-10-12
IR0000249,M500032,S100037,MTY1,US01,4.65,USD,100,79,250,2025-11-16,2028-10-16
IR0000250,M500032,S100006,MTY1,MX01,3.75,USD,100,68,100,2025-09-01,2028-05-01
IR0000251,M500032,S100020,MTY1,MX01,4.64,USD,10,84,1,2025-01-12,2028-04-09
IR0000252,M500032,S100039,MTY1,MX01,3.63,USD,100,67,50,2025-05-20,2026-10-09
IR0000253,M500032,S100038,PHX1,US01,3.87,USD,100,96,10,2024-12-11,2026-12-19
IR0000254,M500032,S100032,DAL1,MX01,3.67,USD,1,62,250,2024-07-31,2028-03-19
IR0000255,M500032,S100019,DAL1,MX01,3.70,USD,10,68,1,2024-04-14,2028-07-12
IR0000256,M500032,S100045,AUS1,CA01,4.65,USD,10,31,50,2025-01-21,2028-03-07
IR0000257,M500032,S100041,AUS1,US01,3.11,USD,1,35,250,2024-09-12,2027-07-11
IR0000258,M500032,S100019,AUS1,US01,3.28,USD,10,49,10,2025-11-05,2027-09-25
IR0000259,M500032,S100040,AUS1,CA01,3.96,USD,1,31,250,2024-05-13,2027-10-16
IR0000260,M500032,S100018,KCH1,MX01,3.07,USD,10,17,50,2024-08-21,2028-08-08
IR0000261,M500032,S100035,KCH1,US01,4.75,USD,100,27,250,2025-01-09,2027-12-30
IR0000262,M500033,S100028,KCH1,US01,4.76,USD,1,33,250,2026-01-26,2028-05-25
IR0000263,M500033,S100023,MTY1,US01,5.75,USD,1,14,10,2024-06-13,2028-06-11
IR0000264,M500033,S100043,MTY1,CA01,6.17,USD,10,12,10,2024-10-19,2028-08-31
IR0000265,M500033,S100017,AUS1,CA01,4.84,USD,100,28,10,2025-03-26,2028-03-17
IR0000266,M500033,S100018,PHX1,US01,5.07,USD,100,22,10,2025-09-22,2027-05-21
IR0000267,M500033,S100049,PHX1,US01,5.92,USD,10,33,1,2025-04-27,2027-06-02
IR0000268,M500033,S100020,PHX1,MX01,5.20,USD,100,23,250,2024-10-24,2028-10-07
IR0000269,M500034,S100045,PHX1,MX01,8.60,USD,100,8,100,2024-08-15,2028-04-03
IR0000270,M500034,S100017,PHX1,US01,8.87,USD,1,22,50,2024-11-02,2028-03-12
IR0000271,M500034,S100034,KCH1,CA01,11.08,USD,100,22,250,2025-08-12,2027-10-03
IR0000272,M500034,S100007,KCH1,MX01,10.34,USD,100,22,100,2025-06-08,2028-08-10
IR0000273,M500034,S100015,KCH1,MX01,9.93,USD,1,15,50,2024-09-17,2027-09-20
IR0000274,M500034,S100021,KCH1,CA01,12.36,USD,1,8,1,2024-06-25,2027-05-20
IR0000275,M500034,S100047,DAL1,CA01,13.30,USD,1,39,1,2025-08-17,2026-10-24
IR0000276,M500034,S100039,DAL1,US01,10.73,USD,10,28,10,2025-02-23,2026-12-20
IR0000277,M500034,S100014,AUS1,MX01,9.67,USD,10,38,1,2024-04-25,2027-01-01
IR0000278,M500034,S100027,AUS1,US01,8.51,USD,100,39,250,2024-10-08,2026-09-02
IR0000279,M500034,S100021,AUS1,MX01,13.18,USD,10,24,1,2025-10-01,2027-06-27
