mrp_element_id,material_id,plant,mrp_element_type,mrp_element_ref,requirement_date,receipt_qty,requirement_qty,available_qty_after
MRP000000036,M500121,MTY1,POITEM,4500000004/00010/0001,2026-02-12,0,0,
MRP000000037,M500025,DAL1,POITEM,4500000004/00020/0001,2026-04-08,32,0,
MRP000000038,M500025,DAL1,POITEM,4500000004/00020/0002,2026-05-05,50,0,
MRP000000039,M500176,DAL1,POITEM,4500000004/00030/0001,2026-03-10,5,0,
MRP000000040,M500176,DAL1,POITEM,4500000004/00030/0002,2026-03-17,9,0,
MRP000000041,M500176,DAL1,POITEM,4500000004/00030/0003,2026-03-24,0,0,
MRP000000042,M500259,AUS1,POITEM,4500000004/00040/0001,2026-03-28,1,0,
MRP000000043,M500259,AUS1,POITEM,4500000004/00040/0002,2026-04-05,11,0,
MRP000000044,M500259,AUS1,POITEM,4500000004/00040/0003,2026-04-10,24,0,
MRP000000045,M500160,DAL1,POITEM,4500000004/00050/0001,2026-02-12,23,0,
MRP000000046,M500160,DAL1,POITEM,4500000004/00050/0002,2026-02-10,0,0,
MRP000000047,M500121,MTY1,POITEM,4500000004/00060/0001,2026-03-18,47,0,
MRP000000048,M500121,MTY1,POITEM,4500000004/00060/0002,2026-05-20,19,0,
MRP000000049,M500121,MTY1,POITEM,4500000004/00060/0003,2026-03-17,0,0,
MRP000000050,M500244,KCH1,POITEM,4500000005/00010/0001,2026-05-26,0,0,
MRP000000051,M500244,KCH1,POITEM,4500000005/00010/0002,2026-05-24,0,0,
MRP000000052,M500124,DAL1,POITEM,4500000005/00020/0001,2026-06-02,76,0,
MRP000000053,M500124,DAL1,POITEM,4500000005/00020/0002,2026-06-08,60,0,
MRP000000054,M500124,DAL1,POITEM,4500000005/00020/0003,2026-06-12,264,0,
MRP000000055,M500090,MTY1,POITEM,4500000005/00030/0001,2026-05-07,0,0,
MRP000000056,M500090,MTY1,POITEM,4500000005/00030/0002,2026-07-23,9,0,
MRP000000057,M500090,MTY1,POITEM,4500000005/00030/0003,2026-07-15,52,0,
MRP000000058,M500265,MTY1,POITEM,4500000006/00010/0001,2026-04-30,33,0,
MRP000000059,M500093,KCH1,POITEM,4500000007/00010/0001,2026-05-03,2,0,
MRP000000060,M500093,KCH1,POITEM,4500000007/00010/0002,2026-05-06,0,0,
MRP000000061,M500093,KCH1,POITEM,4500000007/00010/0003,2026-05-05,13,0,
MRP000000062,M500102,DAL1,POITEM,4500000008/00010/0001,2026-06-01,4000,0,
MRP000000063,M500016,MTY1,POITEM,4500000008/00020/0001,2026-07-07,200,0,
MRP000000064,M500186,AUS1,POITEM,4500000008/00030/0001,2026-05-20,3,0,
MRP000000065,M500186,AUS1,POITEM,4500000008/00030/0002,2026-05-18,2,0,
MRP000000066,M500186,AUS1,POITEM,4500000008/00030/0003,2026-05-24,23,0,
MRP000000067,M500222,PHX1,POITEM,4500000008/00040/0001,2026-05-05,0,0,
MRP000000068,M500222,PHX1,POITEM,4500000008/00040/0002,2026-05-06,10,0,
MRP000000069,M500134,MTY1,POITEM,4500000008/00050/0001,2026-04-20,0,0,
MRP000000070,M500266,KCH1,POITEM,4500000008/00060/0001,2026-06-10,203,0,
MRP000000071,M500266,KCH1,POITEM,4500000008/00060/0002,2026-06-13,101,0,
MRP000000072,M500266,KCH1,POITEM,4500000008/00060/0003,2026-05-04,0,0,
MRP000000073,M500259,DAL1,POITEM,4500000009/00010/0001,2026-06-20,466,0,
MRP000000074,M500259,DAL1,POITEM,4500000009/00010/0002,2026-06-20,303,0,
MRP000000075,M500259,DAL1,POITEM,4500000009/00010/0003,2026-07-03,109,0,
MRP000000076,M500210,KCH1,POITEM,4500000009/00020/0001,2026-07-01,0,0,
MRP000000077,M500210,KCH1,POITEM,4500000009/00020/0002,2026-07-01,0,0,
MRP000000078,M500239,PHX1,POITEM,4500000009/00030/0001,2026-07-31,63,0,
MRP000000079,M500239,PHX1,POITEM,4500000009/00030/0002,2026-08-01,185,0,
MRP000000080,M500239,PHX1,POITEM,4500000009/00030/0003,2026-08-13,130,0,
MRP000000081,M500072,DAL1,POITEM,4500000009/00040/0001,2026-07-21,48,0,
MRP000000082,M500072,DAL1,POITEM,4500000009/00040/0002,2026-07-23,35,0,
MRP000000083,M500072,DAL1,POITEM,4500000009/00040/0003,2026-07-19,52,0,
MRP000000084,M500131,KCH1,POITEM,4500000009/00050/0001,2026-05-16,0,0,
MRP000000085,M500131,KCH1,POITEM,4500000009/00050/0002,2026-06-21,0,0,
MRP000000086,M500069,PHX1,POITEM,4500000009/00060/0001,2026-08-15,23,0,
MRP000000087,M500265,DAL1,POITEM,4500000009/00070/0001,2026-06-22,35,0,
MRP000000088,M500265,DAL1,POITEM,4500000009/00070/0002,2026-06-24,93,0,
MRP000000089,M500265,DAL1,POITEM,4500000009/00070/0003,2026-07-03,302,0,
MRP000000090,M500227,MTY1,POITEM,4500000010/00010/0001,2026-05-01,3,0,
MRP000000091,M500227,MTY1,POITEM,4500000010/00010/0002,2026-05-23,0,0,
MRP000000092,M500227,MTY1,POITEM,4500000010/00010/0003,2026-05-25,0,0,
MRP000000093,M500163,MTY1,POITEM,4500000010/00020/0001,2026-03-31,0,0,
MRP000000094,M500244,MTY1,POITEM,4500000010/00030/0001,2026-03-24,49,0,
MRP000000095,M500044,KCH1,POITEM,4500000010/00040/0001,2026-04-05,1,0,
MRP000000096,M500044,KCH1,POITEM,4500000010/00040/0002,2026-05-24,7,0,
MRP000000097,M500049,DAL1,POITEM,4500000011/00010/0001,2026-06-26,7,0,
MRP000000098,M500049,DAL1,POITEM,4500000011/00010/0002,2026-05-23,18,0,
MRP000000099,M500265,PHX1,POITEM,4500000011/00020/0001,2026-06-22,21,0,
MRP000000100,M500265,PHX1,POITEM,4500000011/00020/0002,2026-07-02,0,0,
MRP000000101,M500057,AUS1,POITEM,4500000011/00030/0001,2026-05-15,60,0,
MRP000000102,M500161,PHX1,POITEM,4500000011/00040/0001,2026-06-14,648,0,
MRP000000103,M500161,PHX1,POITEM,4500000011/00040/0002,2026-06-26,483,0,
MRP000000104,M500152,AUS1,POITEM,4500000011/00050/0001,2026-04-29,585,0,
MRP000000105,M500026,AUS1,POITEM,4500000011/00060/0001,2026-06-28,1069,0,
MRP000000106,M500022,PHX1,POITEM,4500000012/00010/0001,2026-04-19,1,0,
MRP000000107,M500022,PHX1,POITEM,4500000012/00010/0002,2026-05-26,0,0,
MRP000000108,M500274,MTY1,POITEM,4500000012/00020/0001,2026-05-11,3,0,
MRP000000109,M500274,MTY1,POITEM,4500000012/00020/0002,2026-05-13,4,0,
MRP000000110,M500274,MTY1,POITEM,4500000012/00020/0003,2026-05-03,0,0,
MRP000000111,M500191,KCH1,POITEM,4500000012/00030/0001,2026-05-13,0,0,
MRP000000112,M500123,DAL1,POITEM,4500000013/00010/0001,2026-05-28,334,0,
MRP000000113,M500123,DAL1,POITEM,4500000013/00010/0002,2026-06-10,175,0,
MRP000000114,M500123,DAL1,POITEM,4500000013/00010/0003,2026-06-01,491,0,
MRP000000115,M500084,PHX1,POITEM,4500000013/00020/0001,2026-05-03,1,0,
MRP000000116,M500084,PHX1,POITEM,4500000013/00020/0002,2026-05-17,0,0,
MRP000000117,M500084,PHX1,POITEM,4500000013/00020/0003,2026-05-08,3,0,
MRP000000118,M500126,MTY1,POITEM,4500000013/00030/0001,2026-06-20,1000,0,
MRP000000119,M500154,AUS1,POITEM,4500000014/00010/0001,2026-05-16,0,0,
MRP000000120,M500154,AUS1,POITEM,4500000014/00010/0002,2026-05-27,60,0,
MRP000000121,M500095,DAL1,POITEM,4500000014/00020/0001,2026-05-14,0,0,
MRP000000122,M500095,DAL1,POITEM,4500000014/00020/0002,2026-05-11,0,0,
MRP000000123,M500099,PHX1,POITEM,4500000014/00030/0001,2026-02-24,4,0,
MRP000000124,M500099,PHX1,POITEM,4500000014/00030/0002,2026-02-24,1,0,
MRP000000125,M500228,AUS1,POITEM,4500000014/00040/0001,2026-03-05,40,0,
MRP000000126,M500064,MTY1,POITEM,4500000014/00050/0001,2026-03-29,0,0,
MRP000000127,M500064,MTY1,POITEM,4500000014/00050/0002,2026-03-29,0,0,
MRP000000128,M500064,MTY1,POITEM,4500000014/00050/0003,2026-04-10,9,0,
MRP000000129,M500142,MTY1,POITEM,4500000014/00060/0001,2026-05-16,0,0,
MRP000000130,M500142,MTY1,POITEM,4500000014/00060/0002,2026-05-15,6,0,
MRP000000131,M500174,KCH1,POITEM,4500000015/00010/0001,2026-07-04,1000,0,
MRP000000132,M500014,DAL1,POITEM,4500000015/00020/0001,2026-05-18,3,0,
MRP000000133,M500014,DAL1,POITEM,4500000015/00020/0002,2026-06-19,24,0,
MRP000000134,M500002,MTY1,POITEM,4500000016/00010/0001,2026-05-25,1,0,
MRP000000135,M500002,MTY1,POITEM,4500000016/00010/0002,2026-05-21,0,0,
MRP000000136,M500107,MTY1,POITEM,4500000016/00020/0001,2026-03-27,6,0,
MRP000000137,M500107,MTY1,POITEM,4500000016/00020/0002,2026-04-01,2,0,
MRP000000138,M500107,MTY1,POITEM,4500000016/00020/0003,2026-03-26,14,0,
MRP000000139,M500070,AUS1,POITEM,4500000016/00030/0001,2026-05-25,0,0,
MRP000000140,M500070,AUS1,POITEM,4500000016/00030/0002,2026-03-06,0,0,
MRP000000141,M500227,AUS1,POITEM,4500000016/00040/0001,2026-03-02,0,0,
MRP000000142,M500227,AUS1,POITEM,4500000016/00040/0002,2026-03-05,0,0,
MRP000000143,M500196,DAL1,POITEM,4500000016/00050/0001,2026-05-07,137,0,
MRP000000144,M500156,AUS1,POITEM,4500000017/00010/0001,2026-05-28,66,0,
MRP000000145,M500156,AUS1,POITEM,4500000017/00010/0002,2026-06-02,434,0,
MRP000000146,M500196,DAL1,POITEM,4500000017/00020/0001,2026-07-03,3,0,
MRP000000147,M500196,DAL1,POITEM,4500000017/00020/0002,2026-07-08,2,0,
MRP000000148,M500196,DAL1,POITEM,4500000017/00020/0003,2026-07-08,5,0,
MRP000000149,M500034,MTY1,POITEM,4500000017/00030/0001,2026-07-16,3,0,
MRP000000150,M500034,MTY1,POITEM,4500000017/00030/0002,2026-07-25,77,0,
MRP000000151,M500094,PHX1,POITEM,4500000017/00040/0001,2026-05-12,0,0,
MRP000000152,M500226,AUS1,POITEM,4500000018/00010/0001,2026-02-12,80,0,
MRP000000153,M500226,AUS1,POITEM,4500000018/00010/0002,2026-02-24,30,0,
MRP000000154,M500226,AUS1,POITEM,4500000018/00010/0003,2026-02-20,18,0,
MRP000000155,M500247,AUS1,POITEM,4500000018/00020/0001,2026-04-10,3,0,
MRP000000156,M500247,AUS1,POITEM,4500000018/00020/0002,2026-04-24,0,0,
MRP000000157,M500247,AUS1,POITEM,4500000018/00020/0003,2026-04-11,2,0,
MRP000000158,M500038,KCH1,POITEM,4500000018/00030/0001,2026-04-29,286,0,
MRP000000159,M500128,AUS1,POITEM,4500000018/00040/0001,2026-04-27,27,0,
MRP000000160,M500128,AUS1,POITEM,4500000018/00040/0002,2026-04-27,4,0,
MRP000000161,M500128,AUS1,POITEM,4500000018/00040/0003,2026-05-18,29,0,
MRP000000162,M500056,MTY1,POITEM,4500000018/00050/0001,2026-02-17,58,0,
MRP000000163,M500213,PHX1,POITEM,4500000019/00010/0001,2026-06-04,12,0,
MRP000000164,M500062,AUS1,POITEM,4500000019/00020/0001,2026-06-09,41,0,
MRP000000165,M500062,AUS1,POITEM,4500000019/00020/0002,2026-06-10,70,0,
MRP000000166,M500281,AUS1,POITEM,4500000019/00030/0001,2026-07-19,1,0,
MRP000000167,M500281,AUS1,POITEM,4500000019/00030/0002,2026-05-13,45,0,
MRP000000168,M500143,AUS1,POITEM,4500000019/00040/0001,2026-07-03,0,0,
MRP000000169,M500210,KCH1,POITEM,4500000019/00050/0001,2026-05-21,9,0,
MRP000000170,M500210,KCH1,POITEM,4500000019/00050/0002,2026-05-30,37,0,
MRP000000171,M500148,AUS1,POITEM,4500000019/00060/0001,2026-08-06,27,0,
MRP000000172,M500148,AUS1,POITEM,4500000019/00060/0002,2026-08-05,0,0,
MRP000000173,M500148,AUS1,POITEM,4500000019/00060/0003,2026-08-11,0,0,
MRP000000174,M500148,AUS1,POITEM,4500000019/00070/0001,2026-05-08,298,0,
MRP000000175,M500089,KCH1,POITEM,4500000020/00010/0001,2026-05-07,24,0,
MRP000000176,M500089,KCH1,POITEM,4500000020/00010/0002,2026-05-30,929,0,
MRP000000177,M500057,MTY1,POITEM,4500000020/00020/0001,2026-03-10,23,0,
MRP000000178,M500057,MTY1,POITEM,4500000020/00020/0002,2026-05-12,23,0,
MRP000000179,M500276,MTY1,POITEM,4500000020/00030/0001,2026-05-14,0,0,
MRP000000180,M500085,MTY1,POITEM,4500000020/00040/0001,2026-03-28,16,0,
MRP000000181,M500085,MTY1,POITEM,4500000020/00040/0002,2026-05-14,0,0,
MRP000000182,M500058,DAL1,POITEM,4500000020/00050/0001,2026-03-16,45,0,
MRP000000183,M500251,PHX1,POITEM,4500000020/00060/0001,2026-05-12,8,0,
MRP000000184,M500251,PHX1,POITEM,4500000020/00060/0002,2026-05-09,88,0,
MRP000000185,M500037,PHX1,POITEM,4500000021/00010/0001,2026-05-04,64,0,
MRP000000186,M500037,PHX1,POITEM,4500000021/00010/0002,2026-05-24,42,0,
MRP000000187,M500037,PHX1,POITEM,4500000021/00010/0003,2026-05-26,424,0,
MRP000000188,M500165,DAL1,POITEM,4500000021/00020/0001,2026-05-30,75,0,
MRP000000189,M500165,DAL1,POITEM,4500000021/00020/0002,2026-06-10,134,0,
MRP000000190,M500033,KCH1,POITEM,4500000021/00030/0001,2026-05-12,16,0,
MRP000000191,M500033,KCH1,POITEM,4500000021/00030/0002,2026-05-25,17,0,
MRP000000192,M500033,KCH1,POITEM,4500000021/00030/0003,2026-05-10,53,0,
MRP000000193,M500127,AUS1,POITEM,4500000021/00040/0001,2026-06-01,2,0,
MRP000000194,M500127,AUS1,POITEM,4500000021/00040/0002,2026-06-15,3,0,
MRP000000195,M500034,MTY1,POITEM,4500000021/00050/0001,2026-04-29,352,0,
MRP000000196,M500034,MTY1,POITEM,4500000021/00050/0002,2026-05-08,0,0,
MRP000000197,M500030,PHX1,POITEM,4500000021/00060/0001,2026-06-12,133,0,
MRP000000198,M500030,PHX1,POITEM,4500000021/00060/0002,2026-06-23,250,0,
MRP000000199,M500132,DAL1,POITEM,4500000022/00010/0001,2026-04-19,4,0,
MRP000000200,M500132,DAL1,POITEM,4500000022/00010/0002,2026-05-02,1,0,
MRP000000201,M500132,DAL1,POITEM,4500000022/00010/0003,2026-04-29,5,0,
MRP000000202,M500057,MTY1,POITEM,4500000022/00020/0001,2026-05-02,0,0,
MRP000000203,M500057,MTY1,POITEM,4500000022/00020/0002,2026-05-01,24,0,
MRP000000204,M500057,MTY1,POITEM,4500000022/00020/0003,2026-05-02,0,0,
MRP000000205,M500251,PHX1,POITEM,4500000022/00030/0001,2026-06-07,321,0,
MRP000000206,M500251,PHX1,POITEM,4500000022/00030/0002,2026-06-17,26,0,
MRP000000207,M500251,PHX1,POITEM,4500000022/00030/0003,2026-06-13,653,0,
MRP000000208,M500289,AUS1,POITEM,4500000022/00040/0001,2026-05-06,0,0,
MRP000000209,M500289,AUS1,POITEM,4500000022/00040/0002,2026-05-26,12,0,
MRP000000210,M500074,AUS1,POITEM,4500000023/00010/0001,2026-06-19,6,0,
MRP000000211,M500074,AUS1,POITEM,4500000023/00010/0002,2026-06-24,13,0,
MRP000000212,M500074,AUS1,POITEM,4500000023/00010/0003,2026-07-01,35,0,
MRP000000213,M500009,AUS1,POITEM,4500000023/00020/0001,2026-07-15,8,0,
MRP000000214,M500260,KCH1,POITEM,4500000023/00030/0001,2026-07-12,15,0,
MRP000000215,M500131,MTY1,POITEM,4500000023/00040/0001,2026-07-01,64,0,
MRP000000216,M500131,MTY1,POITEM,4500000023/00040/0002,2026-06-28,8,0,
MRP000000217,M500131,MTY1,POITEM,4500000023/00040/0003,2026-07-11,100,0,
MRP000000218,M500298,DAL1,POITEM,4500000023/00050/0001,2026-05-01,10,0,
MRP000000219,M500298,DAL1,POITEM,4500000023/00050/0002,2026-05-14,24,0,
MRP000000220,M500298,DAL1,POITEM,4500000023/00050/0003,2026-04-28,1,0,
MRP000000221,M500044,PHX1,POITEM,4500000024/00010/0001,2026-04-27,52,0,
MRP000000222,M500044,PHX1,POITEM,4500000024/00010/0002,2026-04-26,49,0,
MRP000000223,M500218,DAL1,POITEM,4500000024/00020/0001,2026-02-24,22,0,
MRP000000224,M500008,KCH1,POITEM,4500000024/00030/0001,2026-02-27,149,0,
MRP000000225,M500273,KCH1,POITEM,4500000024/00040/0001,2026-04-22,16,0,
MRP000000226,M500273,KCH1,POITEM,4500000024/00040/0002,2026-05-09,5,0,
MRP000000227,M500273,KCH1,POITEM,4500000024/00040/0003,2026-04-21,0,0,
MRP000000228,M500266,PHX1,POITEM,4500000024/00050/0001,2026-04-01,1,0,
MRP000000229,M500266,PHX1,POITEM,4500000024/00050/0002,2026-04-10,1,0,
MRP000000230,M500266,PHX1,POITEM,4500000024/00050/0003,2026-03-29,0,0,
MRP000000231,M500262,KCH1,POITEM,4500000024/00060/0001,2026-05-10,7,0,
MRP000000232,M500262,KCH1,POITEM,4500000024/00060/0002,2026-05-19,14,0,
MRP000000233,M500014,DAL1,POITEM,4500000024/00070/0001,2026-03-19,39,0,
MRP000000234,M500212,KCH1,POITEM,4500000025/00010/0001,2026-03-31,0,0,
MRP000000235,M500212,KCH1,POITEM,4500000025/00010/0002,2026-04-10,0,0,
MRP000000236,M500204,PHX1,POITEM,4500000025/00020/0001,2026-03-06,0,0,
MRP000000237,M500204,PHX1,POITEM,4500000025/00020/0002,2026-03-11,57,0,
MRP000000238,M500274,MTY1,POITEM,4500000025/00030/0001,2026-05-24,10,0,
MRP000000239,M500274,MTY1,POITEM,4500000025/00030/0002,2026-05-14,0,0,
MRP000000240,M500274,MTY1,POITEM,4500000025/00030/0003,2026-05-30,94,0,
MRP000000241,M500081,KCH1,POITEM,4500000025/00040/0001,2026-03-05,1,0,
MRP000000242,M500081,KCH1,POITEM,4500000025/00040/0002,2026-03-06,9,0,
MRP000000243,M500144,KCH1,POITEM,4500000026/00010/0001,2026-05-03,2,0,
MRP000000244,M500236,KCH1,POITEM,4500000026/00020/0001,2026-06-18,4,0,
MRP000000245,M500236,KCH1,POITEM,4500000026/00020/0002,2026-06-17,6,0,
MRP000000246,M500227,DAL1,POITEM,4500000027/00010/0001,2026-05-20,0,0,
MRP000000247,M500227,DAL1,POITEM,4500000027/00010/0002,2026-05-12,0,0,
MRP000000248,M500140,DAL1,POITEM,4500000027/00020/0001,2026-05-09,0,0,
MRP000000249,M500140,DAL1,POITEM,4500000027/00020/0002,2026-05-05,17,0,
MRP000000250,M500066,DAL1,POITEM,4500000027/00030/0001,2026-07-07,202,0,
MRP000000251,M500066,DAL1,POITEM,4500000027/00030/0002,2026-07-09,0,0,
MRP000000252,M500220,KCH1,POITEM,4500000028/00010/0001,2026-07-09,499,0,
MRP000000253,M500220,KCH1,POITEM,4500000028/00010/0002,2026-07-17,501,0,
MRP000000254,M500293,DAL1,POITEM,4500000028/00020/0001,2026-06-21,695,0,
MRP000000255,M500293,DAL1,POITEM,4500000028/00020/0002,2026-06-23,2305,0,
MRP000000256,M500132,AUS1,POITEM,4500000028/00030/0001,2026-06-07,420,0,
MRP000000257,M500132,AUS1,POITEM,4500000028/00030/0002,2026-06-16,263,0,
MRP000000258,M500132,AUS1,POITEM,4500000028/00030/0003,2026-06-19,317,0,
MRP000000259,M500205,KCH1,POITEM,4500000028/00040/0001,2026-05-14,0,0,
MRP000000260,M500205,KCH1,POITEM,4500000028/00040/0002,2026-05-17,0,0,
MRP000000261,M500009,MTY1,POITEM,4500000028/00050/0001,2026-08-05,918,0,
MRP000000262,M500009,MTY1,POITEM,4500000028/00050/0002,2026-08-10,196,0,
MRP000000263,M500009,MTY1,POITEM,4500000028/00050/0003,2026-08-15,886,0,
MRP000000264,M500142,DAL1,POITEM,4500000029/00010/0001,2026-05-15,17,0,
MRP000000265,M500019,AUS1,POITEM,4500000029/00020/0001,2026-06-08,200,0,
MRP000000266,M500022,PHX1,POITEM,4500000029/00030/0001,2026-05-22,135,0,
MRP000000267,M500022,PHX1,POITEM,4500000029/00030/0002,2026-06-20,656,0,
MRP000000268,M500085,KCH1,POITEM,4500000029/00040/0001,2026-05-17,27,0,
MRP000000269,M500208,AUS1,POITEM,4500000029/00050/0001,2026-05-09,1,0,
MRP000000270,M500208,AUS1,POITEM,4500000029/00050/0002,2026-04-26,84,0,
MRP000000271,M500104,PHX1,POITEM,4500000029/00060/0001,2026-05-30,300,0,
MRP000000272,M500181,AUS1,POITEM,4500000029/00070/0001,2026-07-09,5,0,
MRP000000273,M500181,AUS1,POITEM,4500000029/00070/0002,2026-05-18,0,0,
MRP000000274,M500230,PHX1,POITEM,4500000030/00010/0001,2026-04-27,4,0,
MRP000000275,M500230,PHX1,POITEM,4500000030/00010/0002,2026-05-07,8,0,
MRP000000276,M500230,PHX1,POITEM,4500000030/00010/0003,2026-05-02,8,0,
MRP000000277,M500122,PHX1,POITEM,4500000030/00020/0001,2026-03-31,1,0,
MRP000000278,M500122,PHX1,POITEM,4500000030/00020/0002,2026-04-14,236,0,
MRP000000279,M500122,PHX1,POITEM,4500000030/00020/0003,2026-05-08,0,0,
MRP000000280,M500259,DAL1,POITEM,4500000030/00030/0001,2026-03-09,3,0,
MRP000000281,M500259,DAL1,POITEM,4500000030/00030/0002,2026-03-11,0,0,
MRP000000282,M500025,MTY1,POITEM,4500000030/00040/0001,2026-05-09,0,0,
MRP000000283,M500025,MTY1,POITEM,4500000030/00040/0002,2026-04-25,1,0,
MRP000000284,M500025,MTY1,POITEM,4500000030/00040/0003,2026-04-28,8,0,
MRP000000285,M500109,KCH1,POITEM,4500000030/00050/0001,2026-03-24,10,0,
MRP000000286,M500028,DAL1,POITEM,4500000030/00060/0001,2026-04-10,106,0,
MRP000000287,M500028,DAL1,POITEM,4500000030/00060/0002,2026-04-22,335,0,
MRP000000288,M500020,PHX1,POITEM,4500000030/00070/0001,2026-02-23,53,0,
MRP000000289,M500016,MTY1,POITEM,4500000031/00010/0001,2026-04-12,0,0,
MRP000000290,M500131,KCH1,POITEM,4500000031/00020/0001,2026-04-12,4,0,
MRP000000291,M500096,PHX1,POITEM,4500000031/00030/0001,2026-05-05,103,0,
MRP000000292,M500096,PHX1,POITEM,4500000031/00030/0002,2026-05-13,5,0,
MRP000000293,M500096,PHX1,POITEM,4500000031/00030/0003,2026-04-26,0,0,
MRP000000294,M500150,DAL1,POITEM,4500000031/00040/0001,2026-04-25,0,0,
MRP000000295,M500150,DAL1,POITEM,4500000031/00040/0002,2026-05-04,0,0,
MRP000000296,M500096,PHX1,POITEM,4500000031/00050/0001,2026-04-15,0,0,
MRP000000297,M500096,PHX1,POITEM,4500000031/00050/0002,2026-05-04,2,0,
MRP000000298,M500096,PHX1,POITEM,4500000031/00050/0003,2026-05-11,3,0,
MRP000000299,M500254,AUS1,POITEM,4500000032/00010/0001,2026-06-12,5,0,
MRP000000300,M500254,AUS1,POITEM,4500000032/00010/0002,2026-06-21,55,0,
MRP000000301,M500153,KCH1,POITEM,4500000032/00020/0001,2026-05-04,27,0,
MRP000000302,M500153,KCH1,POITEM,4500000032/00020/0002,2026-05-13,171,0,
MRP000000303,M500297,AUS1,POITEM,4500000032/00030/0001,2026-05-24,1,0,
MRP000000304,M500297,AUS1,POITEM,4500000032/00030/0002,2026-05-13,0,0,
MRP000000305,M500297,AUS1,POITEM,4500000032/00030/0003,2026-05-11,5,0,
MRP000000306,M500057,DAL1,POITEM,4500000032/00040/0001,2026-05-14,0,0,
MRP000000307,M500057,DAL1,POITEM,4500000032/00040/0002,2026-06-18,73,0,
MRP000000308,M500299,PHX1,POITEM,4500000032/00050/0001,2026-05-19,0,0,
MRP000000309,M500299,PHX1,POITEM,4500000032/00050/0002,2026-05-17,0,0,
MRP000000310,M500080,AUS1,POITEM,4500000032/00060/0001,2026-03-29,0,0,
MRP000000311,M500080,AUS1,POITEM,4500000032/00060/0002,2026-03-26,7,0,
MRP000000312,M500080,AUS1,POITEM,4500000032/00060/0003,2026-05-13,197,0,
MRP000000313,M500065,PHX1,POITEM,4500000033/00010/0001,2026-07-04,6,0,
MRP000000314,M500065,PHX1,POITEM,4500000033/00010/0002,2026-07-05,0,0,
MRP000000315,M500065,PHX1,POITEM,4500000033/00010/0003,2026-07-13,208,0,
