movement_id,material_id,plant,storage_location,movement_type,posting_date,quantity,reference_doc
IM000000034,M500176,DAL1,0001,101,2026-03-25,118,5000000034
IM000000035,M500259,AUS1,0001,101,2026-04-01,11,5000000035
IM000000036,M500259,AUS1,0001,101,2026-04-11,39,5000000036
IM000000037,M500259,AUS1,0001,101,2026-04-12,114,5000000037
IM000000038,M500160,DAL1,0001,101,2026-02-15,80,5000000038
IM000000039,M500160,DAL1,0001,101,2026-02-18,897,5000000039
IM000000040,M500121,MTY1,0001,101,2026-03-21,108,5000000040
IM000000041,M500121,MTY1,0001,101,2026-05-19,35,5000000041
IM000000042,M500121,MTY1,0001,101,2026-03-23,191,5000000042
IM000000043,M500244,KCH1,0001,101,2026-05-25,35,5000000043
IM000000044,M500244,KCH1,0001,101,2026-05-28,1965,5000000044
IM000000045,M500090,MTY1,0001,101,2026-05-14,19,5000000045
IM000000046,M500265,MTY1,0001,101,2026-05-05,717,5000000046
IM000000047,M500093,KCH1,0001,101,2026-05-03,7,5000000047
IM000000048,M500093,KCH1,0001,101,2026-05-09,48,5000000048
IM000000049,M500093,KCH1,0001,101,2026-05-11,180,5000000049
IM000000050,M500186,AUS1,0001,101,2026-05-23,14,5000000050
IM000000051,M500186,AUS1,0001,101,2026-05-19,10,5000000051
IM000000052,M500186,AUS1,0001,101,2026-05-23,8,5000000052
IM000000053,M500222,PHX1,0001,101,2026-05-04,19,5000000053
IM000000054,M500222,PHX1,0001,101,2026-05-04,11,5000000054
IM000000055,M500134,MTY1,0001,101,2026-04-23,10,5000000055
IM000000056,M500266,KCH1,0001,101,2026-05-26,196,5000000056
IM000000057,M500259,DAL1,0001,101,2026-06-24,721,5000000057
IM000000058,M500259,DAL1,0001,101,2026-06-22,823,5000000058
IM000000059,M500259,DAL1,0001,101,2026-07-08,1578,5000000059
IM000000060,M500210,KCH1,0001,101,2026-07-08,134,5000000060
IM000000061,M500210,KCH1,0001,101,2026-07-03,866,5000000061
IM000000062,M500239,PHX1,0001,101,2026-07-31,64,5000000062
IM000000063,M500239,PHX1,0001,101,2026-05-28,553,5000000063
IM000000064,M500239,PHX1,0001,101,2026-08-21,1005,5000000064
IM000000065,M500072,DAL1,0001,101,2026-07-29,18,5000000065
IM000000066,M500072,DAL1,0001,101,2026-07-29,29,5000000066
IM000000067,M500072,DAL1,0001,101,2026-07-24,18,5000000067
IM000000068,M500131,KCH1,0001,101,2026-05-23,25,5000000068
IM000000069,M500131,KCH1,0001,101,2026-06-27,175,5000000069
IM000000070,M500069,PHX1,0001,101,2026-08-16,177,5000000070
IM000000071,M500265,DAL1,0001,101,2026-05-27,13,5000000071
IM000000072,M500265,DAL1,0001,101,2026-06-22,108,5000000072
IM000000073,M500265,DAL1,0001,101,2026-07-02,449,5000000073
IM000000074,M500227,MTY1,0001,101,2026-05-09,2,5000000074
IM000000075,M500227,MTY1,0001,101,2026-05-30,1,5000000075
IM000000076,M500227,MTY1,0001,101,2026-05-23,4,5000000076
IM000000077,M500163,MTY1,0001,101,2026-04-05,20,5000000077
IM000000078,M500244,MTY1,0001,101,2026-03-29,451,5000000078
IM000000079,M500044,KCH1,0001,101,2026-04-08,2,5000000079
IM000000080,M500044,KCH1,0001,101,2026-05-30,30,5000000080
IM000000081,M500049,DAL1,0001,101,2026-06-24,13,5000000081
IM000000082,M500049,DAL1,0001,101,2026-05-29,62,5000000082
IM000000083,M500265,PHX1,0001,101,2026-06-24,28,5000000083
IM000000084,M500265,PHX1,0001,101,2026-07-01,51,5000000084
IM000000085,M500057,AUS1,0001,101,2026-05-26,140,5000000085
IM000000086,M500161,PHX1,0001,101,2026-06-19,651,5000000086
IM000000087,M500161,PHX1,0001,101,2026-07-02,1218,5000000087
IM000000088,M500152,AUS1,0001,101,2026-05-26,415,5000000088
IM000000089,M500026,AUS1,0001,101,2026-07-06,2931,5000000089
IM000000090,M500022,PHX1,0001,101,2026-05-26,5,5000000090
IM000000091,M500022,PHX1,0001,101,2026-06-03,54,5000000091
IM000000092,M500274,MTY1,0001,101,2026-05-18,23,5000000092
IM000000093,M500274,MTY1,0001,101,2026-05-12,8,5000000093
IM000000094,M500274,MTY1,0001,101,2026-05-04,462,5000000094
IM000000095,M500191,KCH1,0001,101,2026-05-25,40,5000000095
IM000000096,M500084,PHX1,0001,101,2026-05-05,1,5000000096
IM000000097,M500084,PHX1,0001,101,2026-05-23,1,5000000097
IM000000098,M500084,PHX1,0001,101,2026-05-10,4,5000000098
IM000000099,M500154,AUS1,0001,101,2026-05-27,232,5000000099
IM000000100,M500154,AUS1,0001,101,2026-05-29,208,5000000100
IM000000101,M500095,DAL1,0001,101,2026-05-16,360,5000000101
IM000000102,M500095,DAL1,0001,101,2026-05-19,1640,5000000102
IM000000103,M500099,PHX1,0001,101,2026-02-23,4,5000000103
IM000000104,M500099,PHX1,0001,101,2026-02-26,11,5000000104
IM000000105,M500228,AUS1,0001,101,2026-03-09,260,5000000105
IM000000106,M500064,MTY1,0001,101,2026-04-03,37,5000000106
IM000000107,M500064,MTY1,0001,101,2026-04-01,3,5000000107
IM000000108,M500064,MTY1,0001,101,2026-04-14,51,5000000108
IM000000109,M500142,MTY1,0001,101,2026-05-19,4,5000000109
IM000000110,M500142,MTY1,0001,101,2026-05-17,90,5000000110
IM000000111,M500014,DAL1,0001,101,2026-05-19,13,5000000111
IM000000112,M500002,MTY1,0001,101,2026-05-31,8,5000000112
IM000000113,M500002,MTY1,0001,101,2026-05-25,31,5000000113
IM000000114,M500107,MTY1,0001,101,2026-04-04,6,5000000114
IM000000115,M500107,MTY1,0001,101,2026-04-06,8,5000000115
IM000000116,M500107,MTY1,0001,101,2026-03-31,44,5000000116
IM000000117,M500070,AUS1,0001,101,2026-05-26,13,5000000117
IM000000118,M500070,AUS1,0001,101,2026-03-09,17,5000000118
IM000000119,M500227,AUS1,0001,101,2026-03-02,24,5000000119
IM000000120,M500227,AUS1,0001,101,2026-03-13,56,5000000120
IM000000121,M500196,DAL1,0001,101,2026-05-10,1363,5000000121
IM000000122,M500094,PHX1,0001,101,2026-05-11,300,5000000122
IM000000123,M500226,AUS1,0001,101,2026-02-20,115,5000000123
IM000000124,M500226,AUS1,0001,101,2026-03-01,50,5000000124
IM000000125,M500226,AUS1,0001,101,2026-02-27,107,5000000125
IM000000126,M500247,AUS1,0001,101,2026-04-11,1,5000000126
IM000000127,M500247,AUS1,0001,101,2026-04-24,2,5000000127
IM000000128,M500247,AUS1,0001,101,2026-04-11,2,5000000128
IM000000129,M500038,KCH1,0001,101,2026-04-27,714,5000000129
IM000000130,M500128,AUS1,0001,101,2026-05-25,9,5000000130
IM000000131,M500128,AUS1,0001,101,2026-05-18,31,5000000131
IM000000132,M500056,MTY1,0001,101,2026-02-16,42,5000000132
IM000000133,M500213,PHX1,0001,101,2026-06-03,8,5000000133
IM000000134,M500062,AUS1,0001,101,2026-06-08,55,5000000134
IM000000135,M500062,AUS1,0001,101,2026-06-11,134,5000000135
IM000000136,M500281,AUS1,0001,101,2026-07-20,12,5000000136
IM000000137,M500281,AUS1,0001,101,2026-05-21,22,5000000137
IM000000138,M500143,AUS1,0001,101,2026-07-03,1000,5000000138
IM000000139,M500210,KCH1,0001,101,2026-05-27,38,5000000139
IM000000140,M500210,KCH1,0001,101,2026-05-28,16,5000000140
IM000000141,M500148,AUS1,0001,101,2026-08-09,109,5000000141
IM000000142,M500148,AUS1,0001,101,2026-08-09,52,5000000142
IM000000143,M500148,AUS1,0001,101,2026-08-17,312,5000000143
IM000000144,M500148,AUS1,0001,101,2026-05-11,452,5000000144
IM000000145,M500089,KCH1,0001,101,2026-05-15,47,5000000145
IM000000146,M500057,MTY1,0001,101,2026-03-17,59,5000000146
IM000000147,M500057,MTY1,0001,101,2026-05-16,95,5000000147
IM000000148,M500276,MTY1,0001,101,2026-05-12,1000,5000000148
IM000000149,M500085,MTY1,0001,101,2026-04-05,236,5000000149
IM000000150,M500085,MTY1,0001,101,2026-05-15,1248,5000000150
IM000000151,M500058,DAL1,0001,101,2026-03-21,1955,5000000151
IM000000152,M500251,PHX1,0001,101,2026-05-12,26,5000000152
IM000000153,M500251,PHX1,0001,101,2026-05-11,278,5000000153
IM000000154,M500037,PHX1,0001,101,2026-05-07,158,5000000154
IM000000155,M500037,PHX1,0001,101,2026-05-28,494,5000000155
IM000000156,M500037,PHX1,0001,101,2026-06-03,818,5000000156
IM000000157,M500165,DAL1,0001,101,2026-06-02,215,5000000157
IM000000158,M500165,DAL1,0001,101,2026-06-10,576,5000000158
IM000000159,M500033,KCH1,0001,101,2026-05-11,23,5000000159
IM000000160,M500033,KCH1,0001,101,2026-05-23,15,5000000160
IM000000161,M500033,KCH1,0001,101,2026-05-09,26,5000000161
IM000000162,M500127,AUS1,0001,101,2026-06-09,4,5000000162
IM000000163,M500127,AUS1,0001,101,2026-06-20,11,5000000163
IM000000164,M500034,MTY1,0001,101,2026-05-03,73,5000000164
IM000000165,M500034,MTY1,0001,101,2026-05-12,575,5000000165
IM000000166,M500030,PHX1,0001,101,2026-05-25,324,5000000166
IM000000167,M500030,PHX1,0001,101,2026-06-24,293,5000000167
IM000000168,M500132,DAL1,0001,101,2026-04-18,15,5000000168
IM000000169,M500132,DAL1,0001,101,2026-05-08,2,5000000169
IM000000170,M500132,DAL1,0001,101,2026-05-28,13,5000000170
IM000000171,M500057,MTY1,0001,101,2026-05-09,47,5000000171
IM000000172,M500057,MTY1,0001,101,2026-05-09,92,5000000172
IM000000173,M500057,MTY1,0001,101,2026-05-06,337,5000000173
IM000000174,M500289,AUS1,0001,101,2026-05-14,284,5000000174
IM000000175,M500289,AUS1,0001,101,2026-05-25,454,5000000175
IM000000176,M500074,AUS1,0001,101,2026-06-20,6,5000000176
IM000000177,M500074,AUS1,0001,101,2026-06-25,13,5000000177
IM000000178,M500074,AUS1,0001,101,2026-07-09,7,5000000178
IM000000179,M500009,AUS1,0001,101,2026-07-21,32,5000000179
IM000000180,M500260,KCH1,0001,101,2026-07-11,25,5000000180
IM000000181,M500131,MTY1,0001,101,2026-07-04,159,5000000181
IM000000182,M500131,MTY1,0001,101,2026-06-30,32,5000000182
IM000000183,M500131,MTY1,0001,101,2026-05-25,137,5000000183
IM000000184,M500298,DAL1,0001,101,2026-05-08,74,5000000184
IM000000185,M500298,DAL1,0001,101,2026-05-12,33,5000000185
IM000000186,M500298,DAL1,0001,101,2026-05-04,58,5000000186
IM000000187,M500044,PHX1,0001,101,2026-05-03,94,5000000187
IM000000188,M500044,PHX1,0001,101,2026-05-03,305,5000000188
IM000000189,M500218,DAL1,0001,101,2026-02-22,18,5000000189
IM000000190,M500008,KCH1,0001,101,2026-02-26,601,5000000190
IM000000191,M500273,KCH1,0001,101,2026-04-23,21,5000000191
IM000000192,M500273,KCH1,0001,101,2026-05-07,6,5000000192
IM000000193,M500273,KCH1,0001,101,2026-04-28,32,5000000193
IM000000194,M500266,PHX1,0001,101,2026-04-08,1,5000000194
IM000000195,M500266,PHX1,0001,101,2026-04-08,2,5000000195
IM000000196,M500266,PHX1,0001,101,2026-03-27,5,5000000196
IM000000197,M500262,KCH1,0001,101,2026-05-08,19,5000000197
IM000000198,M500262,KCH1,0001,101,2026-05-18,20,5000000198
IM000000199,M500014,DAL1,0001,101,2026-05-27,261,5000000199
IM000000200,M500212,KCH1,0001,101,2026-03-29,7,5000000200
IM000000201,M500212,KCH1,0001,101,2026-04-09,43,5000000201
IM000000202,M500204,PHX1,0001,101,2026-03-09,32,5000000202
IM000000203,M500204,PHX1,0001,101,2026-03-19,111,5000000203
IM000000204,M500274,MTY1,0001,101,2026-05-22,51,5000000204
IM000000205,M500274,MTY1,0001,101,2026-05-16,45,5000000205
IM000000206,M500081,KCH1,0001,101,2026-03-13,48,5000000206
IM000000207,M500081,KCH1,0001,101,2026-03-10,42,5000000207
IM000000208,M500144,KCH1,0001,101,2026-05-07,8,5000000208
IM000000209,M500227,DAL1,0001,101,2026-05-22,6,5000000209
IM000000210,M500227,DAL1,0001,101,2026-05-13,14,5000000210
IM000000211,M500140,DAL1,0001,101,2026-05-08,4,5000000211
IM000000212,M500140,DAL1,0001,101,2026-05-08,79,5000000212
IM000000213,M500066,DAL1,0001,101,2026-05-27,403,5000000213
IM000000214,M500066,DAL1,0001,101,2026-07-08,1395,5000000214
IM000000215,M500205,KCH1,0001,101,2026-05-12,14,5000000215
IM000000216,M500205,KCH1,0001,101,2026-05-25,86,5000000216
IM000000217,M500142,DAL1,0001,101,2026-05-14,233,5000000217
IM000000218,M500022,PHX1,0001,101,2026-05-23,209,5000000218
IM000000219,M500085,KCH1,0001,101,2026-05-25,173,5000000219
IM000000220,M500208,AUS1,0001,101,2026-05-12,3,5000000220
IM000000221,M500208,AUS1,0001,101,2026-04-30,162,5000000221
IM000000222,M500181,AUS1,0001,101,2026-05-26,5,5000000222
IM000000223,M500230,PHX1,0001,101,2026-05-01,8,5000000223
IM000000224,M500230,PHX1,0001,101,2026-05-10,33,5000000224
IM000000225,M500230,PHX1,0001,101,2026-05-10,39,5000000225
IM000000226,M500122,PHX1,0001,101,2026-04-05,4,5000000226
IM000000227,M500122,PHX1,0001,101,2026-04-12,531,5000000227
IM000000228,M500122,PHX1,0001,101,2026-05-09,2228,5000000228
IM000000229,M500259,DAL1,0001,101,2026-03-17,2,5000000229
IM000000230,M500259,DAL1,0001,101,2026-03-14,5,5000000230
IM000000231,M500025,MTY1,0001,101,2026-05-09,14,5000000231
IM000000232,M500025,MTY1,0001,101,2026-04-26,7,5000000232
IM000000233,M500109,KCH1,0001,101,2026-03-22,90,5000000233
IM000000234,M500028,DAL1,0001,101,2026-04-09,325,5000000234
IM000000235,M500028,DAL1,0001,101,2026-04-23,1234,5000000235
IM000000236,M500020,PHX1,0001,101,2026-05-27,47,5000000236
IM000000237,M500016,MTY1,0001,101,2026-04-17,40,5000000237
IM000000238,M500131,KCH1,0001,101,2026-04-14,496,5000000238
IM000000239,M500096,PHX1,0001,101,2026-05-05,224,5000000239
IM000000240,M500096,PHX1,0001,101,2026-05-19,60,5000000240
IM000000241,M500096,PHX1,0001,101,2026-04-27,608,5000000241
IM000000242,M500150,DAL1,0001,101,2026-04-30,1103,5000000242
IM000000243,M500150,DAL1,0001,101,2026-05-02,1897,5000000243
IM000000244,M500096,PHX1,0001,101,2026-04-21,12,5000000244
IM000000245,M500096,PHX1,0001,101,2026-05-02,7,5000000245
IM000000246,M500096,PHX1,0001,101,2026-05-18,6,5000000246
IM000000247,M500153,KCH1,0001,101,2026-05-07,138,5000000247
IM000000248,M500153,KCH1,0001,101,2026-05-18,164,5000000248
IM000000249,M500297,AUS1,0001,101,2026-06-01,3,5000000249
IM000000250,M500297,AUS1,0001,101,2026-05-16,15,5000000250
IM000000251,M500297,AUS1,0001,101,2026-05-27,36,5000000251
IM000000252,M500057,DAL1,0001,101,2026-05-28,27,5000000252
IM000000253,M500299,PHX1,0001,101,2026-05-27,22,5000000253
IM000000254,M500299,PHX1,0001,101,2026-05-18,228,5000000254
IM000000255,M500080,AUS1,0001,101,2026-04-02,179,5000000255
IM000000256,M500080,AUS1,0001,101,2026-03-29,35,5000000256
IM000000257,M500080,AUS1,0001,101,2026-05-13,332,5000000257
IM000000258,M500065,PHX1,0001,101,2026-07-11,6,5000000258
IM000000259,M500065,PHX1,0001,101,2026-05-26,337,5000000259
IM000000260,M500065,PHX1,0001,101,2026-07-15,443,5000000260
IM000000261,M500118,PHX1,0001,101,2026-05-23,1917,5000000261
IM000000262,M500004,KCH1,0001,101,2026-06-26,32,5000000262
IM000000263,M500004,KCH1,0001,101,2026-05-28,68,5000000263
IM000000264,M500224,KCH1,0001,101,2026-05-24,404,5000000264
IM000000265,M500224,KCH1,0001,101,2026-05-20,384,5000000265
IM000000266,M500224,KCH1,0001,101,2026-05-30,1058,5000000266
IM000000267,M500215,AUS1,0001,101,2026-05-18,44,5000000267
IM000000268,M500215,AUS1,0001,101,2026-05-26,1,5000000268
IM000000269,M500215,AUS1,0001,101,2026-04-16,48,5000000269
IM000000270,M500145,KCH1,0001,101,2026-05-06,500,5000000270
IM000000271,M500222,DAL1,0001,101,2026-05-08,107,5000000271
IM000000272,M500222,DAL1,0001,101,2026-05-19,144,5000000272
IM000000273,M500222,DAL1,0001,101,2026-05-14,197,5000000273
IM000000274,M500145,KCH1,0001,101,2026-04-22,672,5000000274
IM000000275,M500145,KCH1,0001,101,2026-04-18,465,5000000275
IM000000276,M500165,MTY1,0001,101,2026-04-17,87,5000000276
IM000000277,M500165,MTY1,0001,101,2026-04-29,35,5000000277
IM000000278,M500165,MTY1,0001,101,2026-05-20,69,5000000278
IM000000279,M500297,MTY1,0001,101,2026-04-03,710,5000000279
IM000000280,M500163,DAL1,0001,101,2026-06-28,4,5000000280
IM000000281,M500163,DAL1,0001,101,2026-05-26,75,5000000281
IM000000282,M500231,KCH1,0001,101,2026-05-22,19,5000000282
IM000000283,M500155,KCH1,0001,101,2026-05-13,77,5000000283
IM000000284,M500117,MTY1,0001,101,2026-07-12,18,5000000284
IM000000285,M500117,MTY1,0001,101,2026-05-25,10,5000000285
IM000000286,M500117,MTY1,0001,101,2026-05-14,14,5000000286
IM000000287,M500218,KCH1,0001,101,2026-05-27,24,5000000287
IM000000288,M500218,KCH1,0001,101,2026-05-15,6,5000000288
IM000000289,M500218,KCH1,0001,101,2026-05-18,23,5000000289
IM000000290,M500102,KCH1,0001,101,2026-05-17,2,5000000290
IM000000291,M500102,KCH1,0001,101,2026-05-21,101,5000000291
IM000000292,M500102,KCH1,0001,101,2026-05-15,143,5000000292
IM000000293,M500112,AUS1,0001,101,2026-03-15,100,5000000293
IM000000294,M500231,AUS1,0001,101,2026-05-29,4000,5000000294
IM000000295,M500236,KCH1,0001,101,2026-03-19,211,5000000295
IM000000296,M500236,KCH1,0001,101,2026-03-25,174,5000000296
IM000000297,M500236,KCH1,0001,101,2026-03-18,365,5000000297
IM000000298,M500067,KCH1,0001,101,2026-04-26,3000,5000000298
IM000000299,M500220,KCH1,0001,101,2026-03-17,14,5000000299
IM000000300,M500266,AUS1,0001,101,2026-04-26,9,5000000300
IM000000301,M500266,AUS1,0001,101,2026-04-27,294,5000000301
IM000000302,M500266,AUS1,0001,101,2026-04-20,442,5000000302
IM000000303,M500094,KCH1,0001,101,2026-06-23,3073,5000000303
IM000000304,M500186,MTY1,0001,101,2026-05-21,32,5000000304
IM000000305,M500177,DAL1,0001,101,2026-06-25,1,5000000305
IM000000306,M500177,DAL1,0001,101,2026-07-01,37,5000000306
IM000000307,M500220,DAL1,0001,101,2026-05-21,100,5000000307
IM000000308,M500290,AUS1,0001,101,2026-05-12,162,5000000308
IM000000309,M500098,KCH1,0001,101,2026-05-27,970,5000000309
IM000000310,M500146,KCH1,0001,101,2026-05-08,1000,5000000310
IM000000311,M500155,AUS1,0001,101,2026-05-16,8,5000000311
IM000000312,M500155,AUS1,0001,101,2026-05-29,21,5000000312
IM000000313,M500211,MTY1,0001,101,2026-05-20,2000,5000000313
IM000000314,M500109,AUS1,0001,101,2026-05-31,9,5000000314
IM000000315,M500218,KCH1,0001,101,2026-05-13,87,5000000315
IM000000316,M500024,PHX1,0001,101,2026-07-10,46,5000000316
IM000000317,M500157,MTY1,0001,101,2026-05-02,100,5000000317
IM000000318,M500177,AUS1,0001,101,2026-05-16,79,5000000318
IM000000319,M500236,AUS1,0001,101,2026-05-15,598,5000000319
IM000000320,M500062,KCH1,0001,101,2026-04-25,5,5000000320
IM000000321,M500062,KCH1,0001,101,2026-04-27,379,5000000321
IM000000322,M500187,DAL1,0001,101,2026-05-25,58,5000000322
IM000000323,M500187,DAL1,0001,101,2026-05-26,1288,5000000323
IM000000324,M500102,DAL1,0001,101,2026-04-26,19,5000000324
IM000000325,M500102,DAL1,0001,101,2026-05-25,2,5000000325
IM000000326,M500102,DAL1,0001,101,2026-04-21,9,5000000326
IM000000327,M500100,KCH1,0001,101,2026-05-19,48,5000000327
IM000000328,M500271,MTY1,0001,101,2026-03-22,9,5000000328
IM000000329,M500271,MTY1,0001,101,2026-04-01,48,5000000329
IM000000330,M500247,MTY1,0001,101,2026-03-29,98,5000000330
IM000000331,M500247,MTY1,0001,101,2026-04-09,16,5000000331
IM000000332,M500247,MTY1,0001,101,2026-04-13,121,5000000332
IM000000333,M500117,MTY1,0001,101,2026-03-10,2000,5000000333
IM000000334,M500106,KCH1,0001,101,2026-05-26,216,5000000334
IM000000335,M500082,MTY1,0001,101,2026-05-26,2,5000000335
IM000000336,M500082,MTY1,0001,101,2026-04-17,6,5000000336
IM000000337,M500082,MTY1,0001,101,2026-05-22,9,5000000337
IM000000338,M500038,KCH1,0001,101,2026-05-17,210,5000000338
IM000000339,M500131,DAL1,0001,101,2026-04-06,794,5000000339
IM000000340,M500286,KCH1,0001,101,2026-05-11,81,5000000340
IM000000341,M500187,AUS1,0001,101,2026-05-27,25,5000000341
IM000000342,M500187,AUS1,0001,101,2026-05-03,36,5000000342
IM000000343,M500187,AUS1,0001,101,2026-04-24,75,5000000343
IM000000344,M500225,AUS1,0001,101,2026-03-26,1334,5000000344
IM000000345,M500120,AUS1,0001,101,2026-07-06,147,5000000345
IM000000346,M500085,AUS1,0001,101,2026-05-28,850,5000000346
IM000000347,M500085,AUS1,0001,101,2026-07-02,1973,5000000347
IM000000348,M500261,DAL1,0001,101,2026-05-30,89,5000000348
IM000000349,M500261,DAL1,0001,101,2026-07-24,173,5000000349
IM000000350,M500135,DAL1,0001,101,2026-05-20,2,5000000350
IM000000351,M500135,DAL1,0001,101,2026-05-20,2,5000000351
IM000000352,M500135,DAL1,0001,101,2026-06-05,9,5000000352
IM000000353,M500234,PHX1,0001,101,2026-04-17,441,5000000353
IM000000354,M500033,KCH1,0001,101,2026-06-07,166,5000000354
IM000000355,M500004,AUS1,0001,101,2026-05-30,278,5000000355
IM000000356,M500004,AUS1,0001,101,2026-03-28,462,5000000356
IM000000357,M500184,KCH1,0001,101,2026-05-03,24,5000000357
IM000000358,M500184,KCH1,0001,101,2026-05-19,32,5000000358
IM000000359,M500080,AUS1,0001,101,2026-05-20,18,5000000359
IM000000360,M500282,PHX1,0001,101,2026-05-28,200,5000000360
IM000000361,M500244,PHX1,0001,101,2026-05-09,1038,5000000361
IM000000362,M500272,PHX1,0001,101,2026-03-24,2,5000000362
IM000000363,M500272,PHX1,0001,101,2026-03-26,1,5000000363
IM000000364,M500272,PHX1,0001,101,2026-05-28,1,5000000364
IM000000365,M500045,PHX1,0001,101,2026-06-04,184,5000000365
IM000000366,M500045,PHX1,0001,101,2026-05-18,422,5000000366
IM000000367,M500045,PHX1,0001,101,2026-05-22,678,5000000367
IM000000368,M500221,KCH1,0001,101,2026-05-23,62,5000000368
IM000000369,M500221,KCH1,0001,101,2026-04-15,197,5000000369
IM000000370,M500221,KCH1,0001,101,2026-04-15,706,5000000370
IM000000371,M500036,MTY1,0001,101,2026-04-07,170,5000000371
IM000000372,M500036,MTY1,0001,101,2026-04-03,611,5000000372
IM000000373,M500191,KCH1,0001,101,2026-05-25,773,5000000373
IM000000374,M500191,KCH1,0001,101,2026-05-16,1227,5000000374
IM000000375,M500240,PHX1,0001,101,2026-05-05,150,5000000375
IM000000376,M500201,PHX1,0001,101,2026-05-24,72,5000000376
IM000000377,M500159,DAL1,0001,101,2026-03-06,159,5000000377
IM000000378,M500159,DAL1,0001,101,2026-03-22,735,5000000378
IM000000379,M500065,PHX1,0001,101,2026-03-30,7,5000000379
IM000000380,M500065,PHX1,0001,101,2026-03-27,3,5000000380
IM000000381,M500065,PHX1,0001,101,2026-03-27,8,5000000381
IM000000382,M500275,AUS1,0001,101,2026-03-10,990,5000000382
IM000000383,M500158,MTY1,0001,101,2026-05-23,10,5000000383
IM000000384,M500158,MTY1,0001,101,2026-05-07,21,5000000384
IM000000385,M500235,PHX1,0001,101,2026-04-27,26,5000000385
IM000000386,M500235,PHX1,0001,101,2026-05-01,30,5000000386
IM000000387,M500235,PHX1,0001,101,2026-05-21,144,5000000387
IM000000388,M500090,AUS1,0001,101,2026-05-30,500,5000000388
IM000000389,M500130,AUS1,0001,101,2026-04-06,18,5000000389
IM000000390,M500130,AUS1,0001,101,2026-04-13,5,5000000390
IM000000391,M500130,AUS1,0001,101,2026-04-21,16,5000000391
IM000000392,M500088,DAL1,0001,101,2026-05-09,25,5000000392
IM000000393,M500088,DAL1,0001,101,2026-05-14,6,5000000393
IM000000394,M500088,DAL1,0001,101,2026-05-18,29,5000000394
IM000000395,M500088,DAL1,0001,101,2026-05-10,9,5000000395
IM000000396,M500088,DAL1,0001,101,2026-05-10,134,5000000396
IM000000397,M500113,DAL1,0001,101,2026-05-12,4,5000000397
IM000000398,M500264,DAL1,0001,101,2026-05-28,60,5000000398
IM000000399,M500264,DAL1,0001,101,2026-05-28,20,5000000399
IM000000400,M500264,DAL1,0001,101,2026-07-24,41,5000000400
IM000000401,M500228,AUS1,0001,101,2026-05-25,5,5000000401
IM000000402,M500228,AUS1,0001,101,2026-06-10,10,5000000402
IM000000403,M500228,AUS1,0001,101,2026-06-10,10,5000000403
IM000000404,M500220,PHX1,0001,101,2026-05-23,57,5000000404
IM000000405,M500103,DAL1,0001,101,2026-06-14,8,5000000405
IM000000406,M500103,DAL1,0001,101,2026-06-14,23,5000000406
IM000000407,M500158,DAL1,0001,101,2026-05-30,46,5000000407
IM000000408,M500158,DAL1,0001,101,2026-06-06,24,5000000408
