exception_id,exception_type,severity,status,po_number,item_number,material_id,plant,supplier_id,detected_on,due_date,days_past_due,root_cause,financial_impact_estimate,assigned_buyer
EX00000019,ACK_MISSING,MEDIUM,ACTION_DRAFTED,4500000004,00010,M500121,MTY1,S100008,2026-06-30,2026-03-17,105,Supplier acknowledgement missing after PO creation.,0.00,SYSTEM
EX00000020,PO_OVERDUE,HIGH,IN_REVIEW,4500000004,00020,M500025,DAL1,S100008,2026-06-30,2026-05-11,50,Open schedule quantity 32 is past due by 50 days.,260.48,SYSTEM
EX00000021,PO_OVERDUE,HIGH,NEW,4500000004,00030,M500176,DAL1,S100008,2026-06-30,2026-04-12,79,Open schedule quantity 5 is past due by 79 days.,50.60,SYSTEM
EX00000022,PO_OVERDUE,HIGH,IN_REVIEW,4500000004,00030,M500176,DAL1,S100008,2026-06-30,2026-04-19,72,Open schedule quantity 9 is past due by 72 days.,91.08,SYSTEM
EX00000023,PO_OVERDUE,HIGH,RESOLVED,4500000004,00040,M500259,AUS1,S100008,2026-06-30,2026-05-08,53,Open schedule quantity 11 is past due by 53 days.,206.47,SYSTEM
EX00000024,PO_OVERDUE,HIGH,NEW,4500000004,00040,M500259,AUS1,S100008,2026-06-30,2026-05-13,48,Open schedule quantity 24 is past due by 48 days.,450.48,SYSTEM
EX00000025,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000004,00050,M500160,DAL1,S100008,2026-06-30,2026-03-17,105,Open schedule quantity 23 is past due by 105 days.,354.66,SYSTEM
EX00000026,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000004,00060,M500121,MTY1,S100008,2026-06-30,2026-04-20,71,Open schedule quantity 47 is past due by 71 days.,671.16,SYSTEM
EX00000027,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000004,00060,M500121,MTY1,S100008,2026-06-30,2026-06-22,8,Open schedule quantity 19 is past due by 8 days.,271.32,SYSTEM
EX00000028,ACK_MISSING,MEDIUM,IN_REVIEW,4500000005,00020,M500124,DAL1,S100031,2026-06-30,2026-07-05,0,Supplier acknowledgement missing after PO creation.,197.60,JSMITH
EX00000029,ACK_MISSING,MEDIUM,NEW,4500000005,00020,M500124,DAL1,S100031,2026-06-30,2026-07-11,0,Supplier acknowledgement missing after PO creation.,156.00,JSMITH
EX00000030,ACK_MISSING,MEDIUM,NEW,4500000005,00020,M500124,DAL1,S100031,2026-06-30,2026-07-15,0,Supplier acknowledgement missing after PO creation.,686.40,JSMITH
EX00000031,PO_OVERDUE,HIGH,NEW,4500000007,00010,M500093,KCH1,S100019,2026-06-30,2026-06-05,25,Open schedule quantity 2 is past due by 25 days.,15.78,SYSTEM
EX00000032,ACK_MISSING,MEDIUM,IN_REVIEW,4500000007,00010,M500093,KCH1,S100019,2026-06-30,2026-06-08,22,Supplier acknowledgement missing after PO creation.,0.00,SYSTEM
EX00000033,PO_OVERDUE,HIGH,NEW,4500000007,00010,M500093,KCH1,S100019,2026-06-30,2026-06-07,23,Open schedule quantity 13 is past due by 23 days.,102.57,SYSTEM
EX00000034,ACK_MISSING,MEDIUM,NEW,4500000008,00010,M500102,DAL1,S100023,2026-06-30,2026-07-04,0,Supplier acknowledgement missing after PO creation.,814480.00,SYSTEM
EX00000035,PO_OVERDUE,HIGH,RESOLVED,4500000008,00030,M500186,AUS1,S100023,2026-06-30,2026-06-22,8,Open schedule quantity 3 is past due by 8 days.,21.36,SYSTEM
EX00000036,PO_OVERDUE,HIGH,NEW,4500000008,00030,M500186,AUS1,S100023,2026-06-30,2026-06-20,10,Open schedule quantity 2 is past due by 10 days.,14.24,SYSTEM
EX00000037,PO_OVERDUE,MEDIUM,IN_REVIEW,4500000008,00030,M500186,AUS1,S100023,2026-06-30,2026-06-26,4,Open schedule quantity 23 is past due by 4 days.,163.76,SYSTEM
EX00000038,PO_OVERDUE,HIGH,NEW,4500000008,00040,M500222,PHX1,S100023,2026-06-30,2026-06-08,22,Open schedule quantity 10 is past due by 22 days.,27.70,SYSTEM
EX00000039,SUPPLIER_COMMIT_LATE,HIGH,NEW,4500000009,00020,M500210,KCH1,S100034,2026-06-30,2026-08-03,0,Supplier committed date is later than requested delivery date.,0.00,MWONG
EX00000040,ACK_MISSING,MEDIUM,IN_REVIEW,4500000009,00050,M500131,KCH1,S100034,2026-06-30,2026-06-18,12,Supplier acknowledgement missing after PO creation.,0.00,MWONG
EX00000041,ACK_MISSING,MEDIUM,RESOLVED,4500000009,00050,M500131,KCH1,S100034,2026-06-30,2026-07-24,0,Supplier acknowledgement missing after PO creation.,0.00,MWONG
EX00000042,ACK_MISSING,MEDIUM,RESOLVED,4500000009,00060,M500069,PHX1,S100034,2026-06-30,2026-09-17,0,Supplier acknowledgement missing after PO creation.,326.60,MWONG
EX00000043,PO_OVERDUE,HIGH,IN_REVIEW,4500000010,00010,M500227,MTY1,S100025,2026-06-30,2026-06-03,27,Open schedule quantity 3 is past due by 27 days.,51.57,MWONG
EX00000044,ACK_MISSING,MEDIUM,IN_REVIEW,4500000010,00010,M500227,MTY1,S100025,2026-06-30,2026-06-27,3,Supplier acknowledgement missing after PO creation.,0.00,MWONG
EX00000045,SUPPLIER_COMMIT_LATE,HIGH,IN_REVIEW,4500000010,00020,M500163,MTY1,S100025,2026-06-30,2026-05-03,58,Supplier committed date is later than requested delivery date.,0.00,MWONG
EX00000046,PO_OVERDUE,HIGH,NEW,4500000010,00030,M500244,MTY1,S100025,2026-06-30,2026-04-26,65,Open schedule quantity 49 is past due by 65 days.,42.63,MWONG
EX00000047,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000010,00040,M500044,KCH1,S100025,2026-06-30,2026-05-08,53,Open schedule quantity 1 is past due by 53 days.,4.37,MWONG
EX00000048,PO_OVERDUE,MEDIUM,RESOLVED,4500000011,00010,M500049,DAL1,S100006,2026-06-30,2026-06-25,5,Open schedule quantity 18 is past due by 5 days.,313.38,LGARCIA
EX00000049,ACK_MISSING,MEDIUM,NEW,4500000011,00020,M500265,PHX1,S100006,2026-06-30,2026-07-25,0,Supplier acknowledgement missing after PO creation.,295.26,LGARCIA
EX00000050,PO_OVERDUE,HIGH,NEW,4500000011,00030,M500057,AUS1,S100006,2026-06-30,2026-06-17,13,Open schedule quantity 60 is past due by 13 days.,75.60,LGARCIA
EX00000051,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000011,00050,M500152,AUS1,S100006,2026-06-30,2026-06-01,29,Open schedule quantity 585 is past due by 29 days.,8365.50,LGARCIA
EX00000052,PO_OVERDUE,HIGH,RESOLVED,4500000012,00010,M500022,PHX1,S100011,2026-06-30,2026-05-22,39,Open schedule quantity 1 is past due by 39 days.,13.63,APATEL
EX00000053,PO_OVERDUE,HIGH,IN_REVIEW,4500000012,00020,M500274,MTY1,S100011,2026-06-30,2026-06-13,17,Open schedule quantity 3 is past due by 17 days.,238.86,APATEL
EX00000054,PO_OVERDUE,HIGH,NEW,4500000012,00020,M500274,MTY1,S100011,2026-06-30,2026-06-15,15,Open schedule quantity 4 is past due by 15 days.,318.48,APATEL
EX00000055,PO_OVERDUE,MEDIUM,ACTION_DRAFTED,4500000014,00010,M500154,AUS1,S100038,2026-06-30,2026-06-29,1,Open schedule quantity 60 is past due by 1 days.,1096.80,MWONG
EX00000056,PO_OVERDUE,HIGH,NEW,4500000014,00030,M500099,PHX1,S100038,2026-06-30,2026-03-29,93,Open schedule quantity 1 is past due by 93 days.,32.50,MWONG
EX00000057,PO_OVERDUE,HIGH,NEW,4500000014,00040,M500228,AUS1,S100038,2026-06-30,2026-04-07,84,Open schedule quantity 40 is past due by 84 days.,1126.00,MWONG
EX00000058,PO_OVERDUE,HIGH,NEW,4500000014,00050,M500064,MTY1,S100038,2026-06-30,2026-05-13,48,Open schedule quantity 9 is past due by 48 days.,57.60,MWONG
EX00000059,PO_OVERDUE,HIGH,NEW,4500000014,00060,M500142,MTY1,S100038,2026-06-30,2026-06-17,13,Open schedule quantity 6 is past due by 13 days.,149.16,MWONG
EX00000060,PO_OVERDUE,HIGH,NEW,4500000015,00020,M500014,DAL1,S100036,2026-06-30,2026-06-20,10,Open schedule quantity 3 is past due by 10 days.,16.08,LGARCIA
EX00000061,PO_OVERDUE,MEDIUM,IN_REVIEW,4500000016,00010,M500002,MTY1,S100007,2026-06-30,2026-06-27,3,Open schedule quantity 1 is past due by 3 days.,14.83,MWONG
EX00000062,PO_OVERDUE,HIGH,NEW,4500000016,00020,M500107,MTY1,S100007,2026-06-30,2026-05-04,57,Open schedule quantity 2 is past due by 57 days.,7.76,MWONG
EX00000063,ACK_MISSING,MEDIUM,NEW,4500000016,00040,M500227,AUS1,S100007,2026-06-30,2026-04-04,87,Supplier acknowledgement missing after PO creation.,0.00,MWONG
EX00000064,ACK_MISSING,MEDIUM,IN_REVIEW,4500000016,00040,M500227,AUS1,S100007,2026-06-30,2026-04-07,84,Supplier acknowledgement missing after PO creation.,0.00,MWONG
EX00000065,PO_OVERDUE,HIGH,RESOLVED,4500000016,00050,M500196,DAL1,S100007,2026-06-30,2026-06-09,21,Open schedule quantity 137 is past due by 21 days.,1285.06,MWONG
EX00000066,ACK_MISSING,MEDIUM,IN_REVIEW,4500000017,00030,M500034,MTY1,S100028,2026-06-30,2026-08-18,0,Supplier acknowledgement missing after PO creation.,35.58,JSMITH
EX00000067,ACK_MISSING,MEDIUM,NEW,4500000017,00040,M500094,PHX1,S100028,2026-06-30,2026-06-14,16,Supplier acknowledgement missing after PO creation.,0.00,JSMITH
EX00000068,PO_OVERDUE,HIGH,IN_REVIEW,4500000018,00010,M500226,AUS1,S100046,2026-06-30,2026-03-29,93,Open schedule quantity 30 is past due by 93 days.,120.90,MWONG
EX00000069,PO_OVERDUE,HIGH,RESOLVED,4500000018,00010,M500226,AUS1,S100046,2026-06-30,2026-03-25,97,Open schedule quantity 18 is past due by 97 days.,72.54,MWONG
EX00000070,PO_OVERDUE,HIGH,IN_REVIEW,4500000018,00020,M500247,AUS1,S100046,2026-06-30,2026-05-14,47,Open schedule quantity 2 is past due by 47 days.,53.58,MWONG
EX00000071,PO_OVERDUE,HIGH,NEW,4500000018,00030,M500038,KCH1,S100046,2026-06-30,2026-06-01,29,Open schedule quantity 286 is past due by 29 days.,26595.14,MWONG
EX00000072,PO_OVERDUE,HIGH,NEW,4500000018,00040,M500128,AUS1,S100046,2026-06-30,2026-05-30,31,Open schedule quantity 27 is past due by 31 days.,527.58,MWONG
EX00000073,PO_OVERDUE,HIGH,IN_REVIEW,4500000018,00040,M500128,AUS1,S100046,2026-06-30,2026-06-20,10,Open schedule quantity 29 is past due by 10 days.,566.66,MWONG
EX00000074,PO_OVERDUE,HIGH,RESOLVED,4500000018,00050,M500056,MTY1,S100046,2026-06-30,2026-03-22,100,Open schedule quantity 58 is past due by 100 days.,1307.90,MWONG
EX00000075,PO_OVERDUE,MEDIUM,NEW,4500000019,00050,M500210,KCH1,S100035,2026-06-30,2026-06-23,7,Open schedule quantity 9 is past due by 7 days.,117.09,LGARCIA
EX00000076,SUPPLIER_COMMIT_LATE,HIGH,RESOLVED,4500000019,00050,M500210,KCH1,S100035,2026-06-30,2026-07-02,0,Supplier committed date is later than requested delivery date.,481.37,LGARCIA
EX00000077,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000019,00070,M500148,AUS1,S100035,2026-06-30,2026-06-10,20,Open schedule quantity 298 is past due by 20 days.,6937.44,LGARCIA
EX00000078,PO_OVERDUE,HIGH,IN_REVIEW,4500000020,00010,M500089,KCH1,S100003,2026-06-30,2026-06-09,21,Open schedule quantity 24 is past due by 21 days.,199.20,APATEL
EX00000079,ACK_MISSING,MEDIUM,NEW,4500000020,00010,M500089,KCH1,S100003,2026-06-30,2026-07-02,0,Supplier acknowledgement missing after PO creation.,7710.70,APATEL
EX00000080,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000020,00020,M500057,MTY1,S100003,2026-06-30,2026-06-14,16,Open schedule quantity 23 is past due by 16 days.,32.89,APATEL
EX00000081,ACK_MISSING,MEDIUM,IN_REVIEW,4500000020,00030,M500276,MTY1,S100003,2026-06-30,2026-06-16,14,Supplier acknowledgement missing after PO creation.,0.00,APATEL
EX00000082,PO_OVERDUE,HIGH,IN_REVIEW,4500000020,00040,M500085,MTY1,S100003,2026-06-30,2026-04-30,61,Open schedule quantity 16 is past due by 61 days.,122.40,APATEL
EX00000083,PO_OVERDUE,HIGH,RESOLVED,4500000020,00050,M500058,DAL1,S100003,2026-06-30,2026-04-18,73,Open schedule quantity 45 is past due by 73 days.,918.45,APATEL
EX00000084,PO_OVERDUE,HIGH,NEW,4500000020,00060,M500251,PHX1,S100003,2026-06-30,2026-06-14,16,Open schedule quantity 8 is past due by 16 days.,22.80,APATEL
EX00000085,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000020,00060,M500251,PHX1,S100003,2026-06-30,2026-06-11,19,Open schedule quantity 88 is past due by 19 days.,250.80,APATEL
EX00000086,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000021,00010,M500037,PHX1,S100028,2026-06-30,2026-06-06,24,Open schedule quantity 64 is past due by 24 days.,81.92,LGARCIA
EX00000087,PO_OVERDUE,MEDIUM,RESOLVED,4500000021,00010,M500037,PHX1,S100028,2026-06-30,2026-06-26,4,Open schedule quantity 42 is past due by 4 days.,53.76,LGARCIA
EX00000088,PO_OVERDUE,MEDIUM,IN_REVIEW,4500000021,00010,M500037,PHX1,S100028,2026-06-30,2026-06-28,2,Open schedule quantity 424 is past due by 2 days.,542.72,LGARCIA
EX00000089,PO_OVERDUE,HIGH,NEW,4500000021,00030,M500033,KCH1,S100028,2026-06-30,2026-06-14,16,Open schedule quantity 16 is past due by 16 days.,94.56,LGARCIA
EX00000090,PO_OVERDUE,MEDIUM,NEW,4500000021,00030,M500033,KCH1,S100028,2026-06-30,2026-06-27,3,Open schedule quantity 17 is past due by 3 days.,100.47,LGARCIA
EX00000091,PO_OVERDUE,HIGH,IN_REVIEW,4500000021,00030,M500033,KCH1,S100028,2026-06-30,2026-06-12,18,Open schedule quantity 53 is past due by 18 days.,313.23,LGARCIA
EX00000092,PO_OVERDUE,HIGH,IN_REVIEW,4500000021,00050,M500034,MTY1,S100028,2026-06-30,2026-06-01,29,Open schedule quantity 352 is past due by 29 days.,4734.40,LGARCIA
EX00000093,ACK_MISSING,MEDIUM,NEW,4500000021,00060,M500030,PHX1,S100028,2026-06-30,2026-07-15,0,Supplier acknowledgement missing after PO creation.,7648.83,LGARCIA
EX00000094,ACK_MISSING,MEDIUM,ACTION_DRAFTED,4500000021,00060,M500030,PHX1,S100028,2026-06-30,2026-07-26,0,Supplier acknowledgement missing after PO creation.,14377.50,LGARCIA
EX00000095,PO_OVERDUE,HIGH,NEW,4500000022,00010,M500132,DAL1,S100003,2026-06-30,2026-05-22,39,Open schedule quantity 4 is past due by 39 days.,59.56,JSMITH
EX00000096,PO_OVERDUE,HIGH,NEW,4500000022,00010,M500132,DAL1,S100003,2026-06-30,2026-06-04,26,Open schedule quantity 1 is past due by 26 days.,14.89,JSMITH
EX00000097,PO_OVERDUE,HIGH,NEW,4500000022,00010,M500132,DAL1,S100003,2026-06-30,2026-06-01,29,Open schedule quantity 5 is past due by 29 days.,74.45,JSMITH
EX00000098,PO_OVERDUE,MEDIUM,IN_REVIEW,4500000022,00040,M500289,AUS1,S100003,2026-06-30,2026-06-28,2,Open schedule quantity 12 is past due by 2 days.,117.24,JSMITH
EX00000099,SUPPLIER_COMMIT_LATE,HIGH,IN_REVIEW,4500000023,00010,M500074,AUS1,S100009,2026-06-30,2026-07-22,0,Supplier committed date is later than requested delivery date.,7.14,LGARCIA
EX00000100,SUPPLIER_COMMIT_LATE,HIGH,NEW,4500000023,00010,M500074,AUS1,S100009,2026-06-30,2026-07-27,0,Supplier committed date is later than requested delivery date.,15.47,LGARCIA
EX00000101,SUPPLIER_COMMIT_LATE,HIGH,NEW,4500000023,00010,M500074,AUS1,S100009,2026-06-30,2026-08-03,0,Supplier committed date is later than requested delivery date.,41.65,LGARCIA
EX00000102,ACK_MISSING,MEDIUM,NEW,4500000023,00040,M500131,MTY1,S100009,2026-06-30,2026-08-03,0,Supplier acknowledgement missing after PO creation.,517.76,LGARCIA
EX00000103,ACK_MISSING,MEDIUM,ACTION_DRAFTED,4500000023,00040,M500131,MTY1,S100009,2026-06-30,2026-07-31,0,Supplier acknowledgement missing after PO creation.,64.72,LGARCIA
EX00000104,ACK_MISSING,MEDIUM,NEW,4500000023,00040,M500131,MTY1,S100009,2026-06-30,2026-08-13,0,Supplier acknowledgement missing after PO creation.,809.00,LGARCIA
EX00000105,PO_OVERDUE,HIGH,NEW,4500000023,00050,M500298,DAL1,S100009,2026-06-30,2026-06-03,27,Open schedule quantity 10 is past due by 27 days.,14.20,LGARCIA
EX00000106,PO_OVERDUE,HIGH,IN_REVIEW,4500000023,00050,M500298,DAL1,S100009,2026-06-30,2026-06-16,14,Open schedule quantity 24 is past due by 14 days.,34.08,LGARCIA
EX00000107,PO_OVERDUE,HIGH,IN_REVIEW,4500000023,00050,M500298,DAL1,S100009,2026-06-30,2026-05-31,30,Open schedule quantity 1 is past due by 30 days.,1.42,LGARCIA
EX00000108,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000024,00010,M500044,PHX1,S100022,2026-06-30,2026-05-30,31,Open schedule quantity 52 is past due by 31 days.,262.60,SYSTEM
EX00000109,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000024,00010,M500044,PHX1,S100022,2026-06-30,2026-05-29,32,Open schedule quantity 49 is past due by 32 days.,247.45,SYSTEM
EX00000110,PO_OVERDUE,HIGH,IN_REVIEW,4500000024,00020,M500218,DAL1,S100022,2026-06-30,2026-03-29,93,Open schedule quantity 22 is past due by 93 days.,249.70,SYSTEM
EX00000111,PO_OVERDUE,HIGH,IN_REVIEW,4500000024,00030,M500008,KCH1,S100022,2026-06-30,2026-04-01,90,Open schedule quantity 149 is past due by 90 days.,2193.28,SYSTEM
EX00000112,PO_OVERDUE,HIGH,NEW,4500000024,00040,M500273,KCH1,S100022,2026-06-30,2026-06-11,19,Open schedule quantity 5 is past due by 19 days.,10.10,SYSTEM
EX00000113,PO_OVERDUE,HIGH,NEW,4500000024,00050,M500266,PHX1,S100022,2026-06-30,2026-05-04,57,Open schedule quantity 1 is past due by 57 days.,1.86,SYSTEM
EX00000114,PO_OVERDUE,HIGH,IN_REVIEW,4500000024,00050,M500266,PHX1,S100022,2026-06-30,2026-05-13,48,Open schedule quantity 1 is past due by 48 days.,1.86,SYSTEM
EX00000115,SUPPLIER_COMMIT_LATE,HIGH,NEW,4500000024,00050,M500266,PHX1,S100022,2026-06-30,2026-05-01,60,Supplier committed date is later than requested delivery date.,0.00,SYSTEM
EX00000116,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000024,00060,M500262,KCH1,S100022,2026-06-30,2026-06-12,18,Open schedule quantity 7 is past due by 18 days.,29.75,SYSTEM
EX00000117,PO_OVERDUE,HIGH,RESOLVED,4500000024,00070,M500014,DAL1,S100022,2026-06-30,2026-04-21,70,Open schedule quantity 39 is past due by 70 days.,176.67,SYSTEM
EX00000118,DELETION_FLAG_ACTIVE,MEDIUM,RESOLVED,4500000025,00010,M500212,KCH1,S100009,2026-06-30,2026-05-13,48,PO item has deletion flag but still appears in open supply view.,0.00,SYSTEM
EX00000119,PO_OVERDUE,HIGH,NEW,4500000025,00020,M500204,PHX1,S100009,2026-06-30,2026-04-13,78,Open schedule quantity 57 is past due by 78 days.,4467.09,SYSTEM
EX00000120,PO_OVERDUE,MEDIUM,IN_REVIEW,4500000025,00030,M500274,MTY1,S100009,2026-06-30,2026-06-26,4,Open schedule quantity 10 is past due by 4 days.,1023.80,SYSTEM
EX00000121,PO_OVERDUE,HIGH,RESOLVED,4500000025,00040,M500081,KCH1,S100009,2026-06-30,2026-04-07,84,Open schedule quantity 1 is past due by 84 days.,7.95,SYSTEM
EX00000122,PO_OVERDUE,HIGH,NEW,4500000025,00040,M500081,KCH1,S100009,2026-06-30,2026-04-08,83,Open schedule quantity 9 is past due by 83 days.,71.55,SYSTEM
EX00000123,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000026,00010,M500144,KCH1,S100049,2026-06-30,2026-06-05,25,Open schedule quantity 2 is past due by 25 days.,34.02,JSMITH
EX00000124,ACK_MISSING,MEDIUM,IN_REVIEW,4500000027,00010,M500227,DAL1,S100014,2026-06-30,2026-06-22,8,Supplier acknowledgement missing after PO creation.,0.00,LGARCIA
EX00000125,ACK_MISSING,MEDIUM,NEW,4500000027,00010,M500227,DAL1,S100014,2026-06-30,2026-06-14,16,Supplier acknowledgement missing after PO creation.,0.00,LGARCIA
EX00000126,PO_OVERDUE,HIGH,NEW,4500000027,00020,M500140,DAL1,S100014,2026-06-30,2026-06-07,23,Open schedule quantity 17 is past due by 23 days.,55.08,LGARCIA
EX00000127,SUPPLIER_COMMIT_LATE,HIGH,IN_REVIEW,4500000028,00020,M500293,DAL1,S100050,2026-06-30,2026-07-24,0,Supplier committed date is later than requested delivery date.,827.05,LGARCIA
EX00000128,SUPPLIER_COMMIT_LATE,HIGH,IN_REVIEW,4500000028,00020,M500293,DAL1,S100050,2026-06-30,2026-07-26,0,Supplier committed date is later than requested delivery date.,2742.95,LGARCIA
EX00000129,ACK_MISSING,MEDIUM,NEW,4500000028,00030,M500132,AUS1,S100050,2026-06-30,2026-07-10,0,Supplier acknowledgement missing after PO creation.,6640.20,LGARCIA
EX00000130,ACK_MISSING,MEDIUM,ACTION_DRAFTED,4500000028,00030,M500132,AUS1,S100050,2026-06-30,2026-07-19,0,Supplier acknowledgement missing after PO creation.,4158.03,LGARCIA
EX00000131,ACK_MISSING,MEDIUM,IN_REVIEW,4500000028,00030,M500132,AUS1,S100050,2026-06-30,2026-07-22,0,Supplier acknowledgement missing after PO creation.,5011.77,LGARCIA
EX00000132,SUPPLIER_COMMIT_LATE,HIGH,ACTION_DRAFTED,4500000028,00040,M500205,KCH1,S100050,2026-06-30,2026-06-16,14,Supplier committed date is later than requested delivery date.,0.00,LGARCIA
EX00000133,SUPPLIER_COMMIT_LATE,HIGH,NEW,4500000028,00040,M500205,KCH1,S100050,2026-06-30,2026-06-19,11,Supplier committed date is later than requested delivery date.,0.00,LGARCIA
EX00000134,PO_OVERDUE,HIGH,IN_REVIEW,4500000029,00040,M500085,KCH1,S100011,2026-06-30,2026-06-19,11,Open schedule quantity 27 is past due by 11 days.,249.48,JSMITH
EX00000135,PO_OVERDUE,HIGH,IN_REVIEW,4500000029,00050,M500208,AUS1,S100011,2026-06-30,2026-05-29,32,Open schedule quantity 84 is past due by 32 days.,1134.00,JSMITH
EX00000136,SUPPLIER_COMMIT_LATE,HIGH,ACTION_DRAFTED,4500000029,00060,M500104,PHX1,S100011,2026-06-30,2026-07-02,0,Supplier committed date is later than requested delivery date.,4635.00,JSMITH
EX00000137,PO_OVERDUE,HIGH,IN_REVIEW,4500000030,00010,M500230,PHX1,S100047,2026-06-30,2026-05-30,31,Open schedule quantity 4 is past due by 31 days.,10.28,APATEL
EX00000138,PO_OVERDUE,HIGH,RESOLVED,4500000030,00010,M500230,PHX1,S100047,2026-06-30,2026-06-09,21,Open schedule quantity 8 is past due by 21 days.,20.56,APATEL
EX00000139,PO_OVERDUE,HIGH,IN_REVIEW,4500000030,00010,M500230,PHX1,S100047,2026-06-30,2026-06-04,26,Open schedule quantity 8 is past due by 26 days.,20.56,APATEL
EX00000140,PO_OVERDUE,HIGH,IN_REVIEW,4500000030,00020,M500122,PHX1,S100047,2026-06-30,2026-05-03,58,Open schedule quantity 1 is past due by 58 days.,33.48,APATEL
EX00000141,PO_OVERDUE,HIGH,NEW,4500000030,00020,M500122,PHX1,S100047,2026-06-30,2026-05-17,44,Open schedule quantity 236 is past due by 44 days.,7901.28,APATEL
EX00000142,PO_OVERDUE,HIGH,NEW,4500000030,00030,M500259,DAL1,S100047,2026-06-30,2026-04-11,80,Open schedule quantity 3 is past due by 80 days.,62.55,APATEL
