material_doc,material_doc_year,po_number,item_number,movement_type,posting_date,received_qty,plant,storage_location,batch_number,created_by,reference_doc
5000000046,2026,4500000006,00010,101,2026-05-05,717,MTY1,0001,,WHUSER1,4500000006
5000000047,2026,4500000007,00010,101,2026-05-03,7,KCH1,0001,,WHUSER2,4500000007
5000000048,2026,4500000007,00010,101,2026-05-09,48,KCH1,0001,,WHUSER1,4500000007
5000000049,2026,4500000007,00010,101,2026-05-11,180,KCH1,0001,,SYSTEM,4500000007
5000000050,2026,4500000008,00030,101,2026-05-23,14,AUS1,0001,,RFSCAN,4500000008
5000000051,2026,4500000008,00030,101,2026-05-19,10,AUS1,0001,,WHUSER2,4500000008
5000000052,2026,4500000008,00030,105,2026-05-23,8,AUS1,0001,,RFSCAN,4500000008
5000000053,2026,4500000008,00040,101,2026-05-04,19,PHX1,0001,,SYSTEM,4500000008
5000000054,2026,4500000008,00040,101,2026-05-04,11,PHX1,0001,,WHUSER1,4500000008
5000000055,2026,4500000008,00050,101,2026-04-23,10,MTY1,0001,,WHUSER1,4500000008
5000000056,2026,4500000008,00060,101,2026-05-26,196,KCH1,0001,,RFSCAN,4500000008
5000000057,2026,4500000009,00010,105,2026-06-24,721,DAL1,0001,B23454,WHUSER2,4500000009
5000000058,2026,4500000009,00010,103,2026-06-22,823,DAL1,0001,B30114,RFSCAN,4500000009
5000000059,2026,4500000009,00010,101,2026-07-08,1578,DAL1,0001,B74000,RFSCAN,4500000009
5000000060,2026,4500000009,00020,101,2026-07-08,134,KCH1,0001,,RFSCAN,4500000009
5000000061,2026,4500000009,00020,101,2026-07-03,866,KCH1,0001,,WHUSER1,4500000009
5000000062,2026,4500000009,00030,101,2026-07-31,64,PHX1,REC1,,WHUSER2,4500000009
5000000063,2026,4500000009,00030,101,2026-05-28,553,PHX1,0001,,WHUSER2,4500000009
5000000064,2026,4500000009,00030,103,2026-08-21,1005,PHX1,0001,,SYSTEM,4500000009
5000000065,2026,4500000009,00040,101,2026-07-29,18,DAL1,0001,,WHUSER2,4500000009
5000000066,2026,4500000009,00040,101,2026-07-29,29,DAL1,0001,,WHUSER1,4500000009
5000000067,2026,4500000009,00040,101,2026-07-24,18,DAL1,0001,,WHUSER1,4500000009
5000000068,2026,4500000009,00050,103,2026-05-23,25,KCH1,0001,B42252,RFSCAN,4500000009
5000000069,2026,4500000009,00050,101,2026-06-27,175,KCH1,0001,B56296,WHUSER1,4500000009
5000000070,2026,4500000009,00060,105,2026-08-16,177,PHX1,0001,,WHUSER1,4500000009
5000000071,2026,4500000009,00070,101,2026-05-27,13,DAL1,0001,,SYSTEM,4500000009
5000000072,2026,4500000009,00070,122,2026-06-22,108,DAL1,0001,,SYSTEM,4500000009
5000000073,2026,4500000009,00070,101,2026-07-02,449,DAL1,0001,,RFSCAN,4500000009
5000000074,2026,4500000010,00010,101,2026-05-09,2,MTY1,0001,,RFSCAN,4500000010
5000000075,2026,4500000010,00010,101,2026-05-30,1,MTY1,0001,,WHUSER2,4500000010
5000000076,2026,4500000010,00010,101,2026-05-23,4,MTY1,0001,,WHUSER2,4500000010
5000000077,2026,4500000010,00020,101,2026-04-05,20,MTY1,0001,B86294,RFSCAN,4500000010
5000000078,2026,4500000010,00030,101,2026-03-29,451,MTY1,0001,,WHUSER1,4500000010
5000000079,2026,4500000010,00040,101,2026-04-08,2,KCH1,0001,,SYSTEM,4500000010
5000000080,2026,4500000010,00040,103,2026-05-30,30,KCH1,0001,,WHUSER1,4500000010
5000000081,2026,4500000011,00010,101,2026-06-24,13,DAL1,0001,,WHUSER1,4500000011
5000000082,2026,4500000011,00010,101,2026-05-29,62,DAL1,0001,,WHUSER1,4500000011
5000000083,2026,4500000011,00020,101,2026-06-24,28,PHX1,0001,,SYSTEM,4500000011
5000000084,2026,4500000011,00020,101,2026-07-01,51,PHX1,0001,,SYSTEM,4500000011
5000000085,2026,4500000011,00030,101,2026-05-26,140,AUS1,0001,,WHUSER1,4500000011
5000000086,2026,4500000011,00040,101,2026-06-19,651,PHX1,0001,B39215,RFSCAN,4500000011
5000000087,2026,4500000011,00040,101,2026-07-02,1218,PHX1,0001,B41643,WHUSER1,4500000011
5000000088,2026,4500000011,00050,101,2026-05-26,415,AUS1,0001,B62195,WHUSER1,4500000011
5000000089,2026,4500000011,00060,101,2026-07-06,2931,AUS1,0001,,WHUSER2,4500000011
5000000090,2026,4500000012,00010,101,2026-05-26,5,PHX1,0001,,WHUSER2,4500000012
5000000091,2026,4500000012,00010,101,2026-06-03,54,PHX1,0001,,WHUSER1,4500000012
5000000092,2026,4500000012,00020,101,2026-05-18,23,MTY1,0001,,WHUSER1,4500000012
5000000093,2026,4500000012,00020,101,2026-05-12,8,MTY1,0001,,WHUSER2,4500000012
5000000094,2026,4500000012,00020,101,2026-05-04,462,MTY1,0001,,WHUSER1,4500000012
5000000095,2026,4500000012,00030,101,2026-05-25,40,KCH1,0001,,SYSTEM,4500000012
5000000096,2026,4500000013,00020,101,2026-05-05,1,PHX1,0001,,WHUSER1,4500000013
5000000097,2026,4500000013,00020,101,2026-05-23,1,PHX1,0001,,SYSTEM,4500000013
5000000098,2026,4500000013,00020,101,2026-05-10,4,PHX1,0001,,WHUSER2,4500000013
5000000099,2026,4500000014,00010,101,2026-05-27,232,AUS1,0001,,SYSTEM,4500000014
5000000100,2026,4500000014,00010,101,2026-05-29,208,AUS1,0001,,RFSCAN,4500000014
5000000101,2026,4500000014,00020,101,2026-05-16,360,DAL1,0001,,WHUSER1,4500000014
5000000102,2026,4500000014,00020,101,2026-05-19,1640,DAL1,0001,,WHUSER2,4500000014
5000000103,2026,4500000014,00030,101,2026-02-23,4,PHX1,0001,,WHUSER2,4500000014
5000000104,2026,4500000014,00030,101,2026-02-26,11,PHX1,0001,,WHUSER2,4500000014
5000000105,2026,4500000014,00040,105,2026-03-09,260,AUS1,0001,,RFSCAN,4500000014
5000000106,2026,4500000014,00050,101,2026-04-03,37,MTY1,0001,,WHUSER1,4500000014
5000000107,2026,4500000014,00050,101,2026-04-01,3,MTY1,0001,,SYSTEM,4500000014
5000000108,2026,4500000014,00050,101,2026-04-14,51,MTY1,0001,,WHUSER1,4500000014
5000000109,2026,4500000014,00060,101,2026-05-19,4,MTY1,0001,,RFSCAN,4500000014
5000000110,2026,4500000014,00060,101,2026-05-17,90,MTY1,0001,,RFSCAN,4500000014
5000000111,2026,4500000015,00020,101,2026-05-19,13,DAL1,0001,B99993,SYSTEM,4500000015
5000000112,2026,4500000016,00010,101,2026-05-31,8,MTY1,REC1,,SYSTEM,4500000016
5000000113,2026,4500000016,00010,101,2026-05-25,31,MTY1,0001,,WHUSER2,4500000016
5000000114,2026,4500000016,00020,122,2026-04-04,6,MTY1,0001,,WHUSER1,4500000016
5000000115,2026,4500000016,00020,105,2026-04-06,8,MTY1,0001,,SYSTEM,4500000016
5000000116,2026,4500000016,00020,101,2026-03-31,44,MTY1,0001,,SYSTEM,4500000016
5000000117,2026,4500000016,00030,122,2026-05-26,13,AUS1,0001,,RFSCAN,4500000016
5000000118,2026,4500000016,00030,101,2026-03-09,17,AUS1,0001,,WHUSER2,4500000016
5000000119,2026,4500000016,00040,101,2026-03-02,24,AUS1,0001,,SYSTEM,4500000016
5000000120,2026,4500000016,00040,101,2026-03-13,56,AUS1,0001,,WHUSER1,4500000016
5000000121,2026,4500000016,00050,101,2026-05-10,1363,DAL1,0001,,SYSTEM,4500000016
5000000122,2026,4500000017,00040,101,2026-05-11,300,PHX1,0001,,WHUSER1,4500000017
5000000123,2026,4500000018,00010,101,2026-02-20,115,AUS1,0001,,SYSTEM,4500000018
5000000124,2026,4500000018,00010,101,2026-03-01,50,AUS1,0001,,WHUSER1,4500000018
5000000125,2026,4500000018,00010,101,2026-02-27,107,AUS1,0001,,WHUSER1,4500000018
5000000126,2026,4500000018,00020,103,2026-04-11,1,AUS1,0001,,WHUSER1,4500000018
5000000127,2026,4500000018,00020,101,2026-04-24,2,AUS1,0001,,SYSTEM,4500000018
5000000128,2026,4500000018,00020,101,2026-04-11,2,AUS1,REC1,,WHUSER1,4500000018
5000000129,2026,4500000018,00030,101,2026-04-27,714,KCH1,0001,,RFSCAN,4500000018
5000000130,2026,4500000018,00040,101,2026-05-25,9,AUS1,0001,,WHUSER2,4500000018
5000000131,2026,4500000018,00040,101,2026-05-18,31,AUS1,0001,,SYSTEM,4500000018
5000000132,2026,4500000018,00050,101,2026-02-16,42,MTY1,REC1,,RFSCAN,4500000018
5000000133,2026,4500000019,00010,101,2026-06-03,8,PHX1,0001,,WHUSER2,4500000019
5000000134,2026,4500000019,00020,101,2026-06-08,55,AUS1,0001,,WHUSER1,4500000019
5000000135,2026,4500000019,00020,101,2026-06-11,134,AUS1,0001,,WHUSER2,4500000019
5000000136,2026,4500000019,00030,101,2026-07-20,12,AUS1,0001,,WHUSER1,4500000019
5000000137,2026,4500000019,00030,101,2026-05-21,22,AUS1,0001,,SYSTEM,4500000019
5000000138,2026,4500000019,00040,101,2026-07-03,1000,AUS1,0001,,WHUSER1,4500000019
5000000139,2026,4500000019,00050,103,2026-05-27,38,KCH1,0001,,RFSCAN,4500000019
5000000140,2026,4500000019,00050,101,2026-05-28,16,KCH1,0001,,WHUSER1,4500000019
5000000141,2026,4500000019,00060,101,2026-08-09,109,AUS1,0001,,WHUSER1,4500000019
5000000142,2026,4500000019,00060,101,2026-08-09,52,AUS1,0001,,RFSCAN,4500000019
5000000143,2026,4500000019,00060,101,2026-08-17,312,AUS1,0001,,RFSCAN,4500000019
5000000144,2026,4500000019,00070,101,2026-05-11,452,AUS1,0001,,RFSCAN,4500000019
5000000145,2026,4500000020,00010,101,2026-05-15,47,KCH1,0001,,SYSTEM,4500000020
5000000146,2026,4500000020,00020,101,2026-03-17,59,MTY1,REC1,,WHUSER1,4500000020
5000000147,2026,4500000020,00020,101,2026-05-16,95,MTY1,0001,,RFSCAN,4500000020
5000000148,2026,4500000020,00030,101,2026-05-12,1000,MTY1,0001,B97534,SYSTEM,4500000020
5000000149,2026,4500000020,00040,101,2026-04-05,236,MTY1,0001,,RFSCAN,4500000020
5000000150,2026,4500000020,00040,122,2026-05-15,1248,MTY1,0001,,SYSTEM,4500000020
5000000151,2026,4500000020,00050,101,2026-03-21,1955,DAL1,0001,,WHUSER2,4500000020
5000000152,2026,4500000020,00060,101,2026-05-12,26,PHX1,0001,,WHUSER2,4500000020
5000000153,2026,4500000020,00060,101,2026-05-11,278,PHX1,0001,,WHUSER2,4500000020
5000000154,2026,4500000021,00010,101,2026-05-07,158,PHX1,0001,,RFSCAN,4500000021
5000000155,2026,4500000021,00010,101,2026-05-28,494,PHX1,0001,,WHUSER1,4500000021
5000000156,2026,4500000021,00010,101,2026-06-03,818,PHX1,0001,,SYSTEM,4500000021
5000000157,2026,4500000021,00020,101,2026-06-02,215,DAL1,0001,B86838,WHUSER2,4500000021
5000000158,2026,4500000021,00020,101,2026-06-10,576,DAL1,0001,B56124,WHUSER1,4500000021
5000000159,2026,4500000021,00030,101,2026-05-11,23,KCH1,REC1,,SYSTEM,4500000021
5000000160,2026,4500000021,00030,101,2026-05-23,15,KCH1,0001,,RFSCAN,4500000021
5000000161,2026,4500000021,00030,101,2026-05-09,26,KCH1,0001,,SYSTEM,4500000021
5000000162,2026,4500000021,00040,101,2026-06-09,4,AUS1,0001,,SYSTEM,4500000021
5000000163,2026,4500000021,00040,101,2026-06-20,11,AUS1,0001,,SYSTEM,4500000021
5000000164,2026,4500000021,00050,101,2026-05-03,73,MTY1,0001,,WHUSER1,4500000021
5000000165,2026,4500000021,00050,101,2026-05-12,575,MTY1,0001,,SYSTEM,4500000021
5000000166,2026,4500000021,00060,101,2026-05-25,324,PHX1,0001,,RFSCAN,4500000021
5000000167,2026,4500000021,00060,101,2026-06-24,293,PHX1,0001,,WHUSER1,4500000021
5000000168,2026,4500000022,00010,105,2026-04-18,15,DAL1,0001,,WHUSER1,4500000022
5000000169,2026,4500000022,00010,101,2026-05-08,2,DAL1,0001,,WHUSER2,4500000022
5000000170,2026,4500000022,00010,101,2026-05-28,13,DAL1,0001,,RFSCAN,4500000022
5000000171,2026,4500000022,00020,101,2026-05-09,47,MTY1,0001,,WHUSER1,4500000022
5000000172,2026,4500000022,00020,103,2026-05-09,92,MTY1,0001,,WHUSER2,4500000022
5000000173,2026,4500000022,00020,101,2026-05-06,337,MTY1,REC1,,SYSTEM,4500000022
5000000174,2026,4500000022,00040,101,2026-05-14,284,AUS1,0001,,WHUSER2,4500000022
5000000175,2026,4500000022,00040,101,2026-05-25,454,AUS1,0001,,SYSTEM,4500000022
5000000176,2026,4500000023,00010,101,2026-06-20,6,AUS1,0001,,WHUSER1,4500000023
5000000177,2026,4500000023,00010,101,2026-06-25,13,AUS1,0001,,RFSCAN,4500000023
5000000178,2026,4500000023,00010,101,2026-07-09,7,AUS1,0001,,RFSCAN,4500000023
5000000179,2026,4500000023,00020,101,2026-07-21,32,AUS1,0001,,SYSTEM,4500000023
5000000180,2026,4500000023,00030,101,2026-07-11,25,KCH1,0001,,SYSTEM,4500000023
5000000181,2026,4500000023,00040,101,2026-07-04,159,MTY1,0001,B60976,RFSCAN,4500000023
5000000182,2026,4500000023,00040,101,2026-06-30,32,MTY1,0001,B84157,SYSTEM,4500000023
5000000183,2026,4500000023,00040,101,2026-05-25,137,MTY1,0001,B77986,WHUSER2,4500000023
5000000184,2026,4500000023,00050,101,2026-05-08,74,DAL1,0001,,WHUSER1,4500000023
5000000185,2026,4500000023,00050,101,2026-05-12,33,DAL1,0001,,SYSTEM,4500000023
5000000186,2026,4500000023,00050,101,2026-05-04,58,DAL1,0001,,RFSCAN,4500000023
5000000187,2026,4500000024,00010,101,2026-05-03,94,PHX1,0001,,WHUSER1,4500000024
5000000188,2026,4500000024,00010,105,2026-05-03,305,PHX1,0001,,WHUSER1,4500000024
5000000189,2026,4500000024,00020,101,2026-02-22,18,DAL1,0001,,SYSTEM,4500000024
5000000190,2026,4500000024,00030,101,2026-02-26,601,KCH1,REC1,,WHUSER1,4500000024
5000000191,2026,4500000024,00040,103,2026-04-23,21,KCH1,0001,,WHUSER2,4500000024
5000000192,2026,4500000024,00040,101,2026-05-07,6,KCH1,REC1,,RFSCAN,4500000024
5000000193,2026,4500000024,00040,101,2026-04-28,32,KCH1,0001,,WHUSER2,4500000024
5000000194,2026,4500000024,00050,101,2026-04-08,1,PHX1,0001,,RFSCAN,4500000024
5000000195,2026,4500000024,00050,101,2026-04-08,2,PHX1,0001,,WHUSER1,4500000024
5000000196,2026,4500000024,00050,101,2026-03-27,5,PHX1,0001,,WHUSER2,4500000024
5000000197,2026,4500000024,00060,105,2026-05-08,19,KCH1,0001,B73723,WHUSER1,4500000024
5000000198,2026,4500000024,00060,101,2026-05-18,20,KCH1,0001,B71474,WHUSER1,4500000024
5000000199,2026,4500000024,00070,101,2026-05-27,261,DAL1,REC1,B78356,WHUSER1,4500000024
5000000200,2026,4500000025,00010,105,2026-03-29,7,KCH1,0001,,WHUSER2,4500000025
5000000201,2026,4500000025,00010,101,2026-04-09,43,KCH1,0001,,SYSTEM,4500000025
5000000202,2026,4500000025,00020,101,2026-03-09,32,PHX1,0001,B32365,SYSTEM,4500000025
5000000203,2026,4500000025,00020,101,2026-03-19,111,PHX1,0001,B98156,SYSTEM,4500000025
5000000204,2026,4500000025,00030,101,2026-05-22,51,MTY1,0001,,SYSTEM,4500000025
5000000205,2026,4500000025,00030,101,2026-05-16,45,MTY1,0001,,WHUSER2,4500000025
5000000206,2026,4500000025,00040,101,2026-03-13,48,KCH1,0001,,SYSTEM,4500000025
5000000207,2026,4500000025,00040,101,2026-03-10,42,KCH1,0001,,SYSTEM,4500000025
5000000208,2026,4500000026,00010,101,2026-05-07,8,KCH1,0001,B35427,WHUSER1,4500000026
5000000209,2026,4500000027,00010,101,2026-05-22,6,DAL1,0001,,SYSTEM,4500000027
5000000210,2026,4500000027,00010,103,2026-05-13,14,DAL1,0001,,WHUSER2,4500000027
5000000211,2026,4500000027,00020,101,2026-05-08,4,DAL1,0001,,SYSTEM,4500000027
5000000212,2026,4500000027,00020,101,2026-05-08,79,DAL1,REC1,,SYSTEM,4500000027
5000000213,2026,4500000027,00030,101,2026-05-27,403,DAL1,0001,,SYSTEM,4500000027
5000000214,2026,4500000027,00030,101,2026-07-08,1395,DAL1,0001,,WHUSER1,4500000027
5000000215,2026,4500000028,00040,101,2026-05-12,14,KCH1,0001,,WHUSER1,4500000028
5000000216,2026,4500000028,00040,101,2026-05-25,86,KCH1,REC1,,SYSTEM,4500000028
5000000217,2026,4500000029,00010,101,2026-05-14,233,DAL1,0001,,RFSCAN,4500000029
5000000218,2026,4500000029,00030,101,2026-05-23,209,PHX1,0001,,SYSTEM,4500000029
5000000219,2026,4500000029,00040,101,2026-05-25,173,KCH1,0001,,SYSTEM,4500000029
5000000220,2026,4500000029,00050,103,2026-05-12,3,AUS1,0001,,SYSTEM,4500000029
5000000221,2026,4500000029,00050,101,2026-04-30,162,AUS1,0001,,SYSTEM,4500000029
5000000222,2026,4500000029,00070,101,2026-05-26,5,AUS1,0001,,WHUSER2,4500000029
5000000223,2026,4500000030,00010,101,2026-05-01,8,PHX1,REC1,,RFSCAN,4500000030
5000000224,2026,4500000030,00010,101,2026-05-10,33,PHX1,0001,,WHUSER1,4500000030
5000000225,2026,4500000030,00010,101,2026-05-10,39,PHX1,0001,,WHUSER1,4500000030
5000000226,2026,4500000030,00020,101,2026-04-05,4,PHX1,0001,,RFSCAN,4500000030
5000000227,2026,4500000030,00020,101,2026-04-12,531,PHX1,0001,,RFSCAN,4500000030
5000000228,2026,4500000030,00020,101,2026-05-09,2228,PHX1,0001,,WHUSER1,4500000030
5000000229,2026,4500000030,00030,101,2026-03-17,2,DAL1,REC1,B45594,WHUSER2,4500000030
5000000230,2026,4500000030,00030,101,2026-03-14,5,DAL1,0001,B29355,RFSCAN,4500000030
5000000231,2026,4500000030,00040,101,2026-05-09,14,MTY1,0001,,SYSTEM,4500000030
5000000232,2026,4500000030,00040,103,2026-04-26,7,MTY1,0001,,SYSTEM,4500000030
5000000233,2026,4500000030,00050,101,2026-03-22,90,KCH1,0001,,SYSTEM,4500000030
5000000234,2026,4500000030,00060,103,2026-04-09,325,DAL1,0001,,WHUSER2,4500000030
5000000235,2026,4500000030,00060,101,2026-04-23,1234,DAL1,REC1,,RFSCAN,4500000030
5000000236,2026,4500000030,00070,101,2026-05-27,47,PHX1,REC1,,RFSCAN,4500000030
5000000237,2026,4500000031,00010,101,2026-04-17,40,MTY1,0001,,RFSCAN,4500000031
5000000238,2026,4500000031,00020,101,2026-04-14,496,KCH1,0001,B79337,WHUSER2,4500000031
5000000239,2026,4500000031,00030,101,2026-05-05,224,PHX1,0001,,WHUSER2,4500000031
5000000240,2026,4500000031,00030,101,2026-05-19,60,PHX1,0001,,SYSTEM,4500000031
5000000241,2026,4500000031,00030,101,2026-04-27,608,PHX1,REC1,,SYSTEM,4500000031
5000000242,2026,4500000031,00040,101,2026-04-30,1103,DAL1,0001,B59011,WHUSER1,4500000031
5000000243,2026,4500000031,00040,101,2026-05-02,1897,DAL1,REC1,B90613,RFSCAN,4500000031
5000000244,2026,4500000031,00050,101,2026-04-21,12,PHX1,0001,,WHUSER1,4500000031
5000000245,2026,4500000031,00050,101,2026-05-02,7,PHX1,REC1,,WHUSER1,4500000031
5000000246,2026,4500000031,00050,101,2026-05-18,6,PHX1,0001,,RFSCAN,4500000031
5000000247,2026,4500000032,00020,101,2026-05-07,138,KCH1,0001,,WHUSER1,4500000032
5000000248,2026,4500000032,00020,101,2026-05-18,164,KCH1,0001,,RFSCAN,4500000032
5000000249,2026,4500000032,00030,101,2026-06-01,3,AUS1,0001,,WHUSER2,4500000032
5000000250,2026,4500000032,00030,101,2026-05-16,15,AUS1,0001,,WHUSER1,4500000032
5000000251,2026,4500000032,00030,101,2026-05-27,36,AUS1,0001,,WHUSER2,4500000032
5000000252,2026,4500000032,00040,101,2026-05-28,27,DAL1,0001,,WHUSER1,4500000032
5000000253,2026,4500000032,00050,101,2026-05-27,22,PHX1,0001,,WHUSER2,4500000032
5000000254,2026,4500000032,00050,101,2026-05-18,228,PHX1,0001,,WHUSER2,4500000032
5000000255,2026,4500000032,00060,101,2026-04-02,179,AUS1,0001,,WHUSER1,4500000032
5000000256,2026,4500000032,00060,101,2026-03-29,35,AUS1,0001,,SYSTEM,4500000032
5000000257,2026,4500000032,00060,101,2026-05-13,332,AUS1,0001,,WHUSER1,4500000032
5000000258,2026,4500000033,00010,101,2026-07-11,6,PHX1,0001,,RFSCAN,4500000033
5000000259,2026,4500000033,00010,101,2026-05-26,337,PHX1,0001,,WHUSER1,4500000033
5000000260,2026,4500000033,00010,122,2026-07-15,443,PHX1,0001,,SYSTEM,4500000033
5000000261,2026,4500000033,00020,101,2026-05-23,1917,PHX1,REC1,,SYSTEM,4500000033
5000000262,2026,4500000033,00030,101,2026-06-26,32,KCH1,0001,B52437,SYSTEM,4500000033
5000000263,2026,4500000033,00030,101,2026-05-28,68,KCH1,0001,B63111,RFSCAN,4500000033
5000000264,2026,4500000033,00040,101,2026-05-24,404,KCH1,0001,,WHUSER2,4500000033
5000000265,2026,4500000033,00040,101,2026-05-20,384,KCH1,0001,,SYSTEM,4500000033
5000000266,2026,4500000033,00040,101,2026-05-30,1058,KCH1,0001,,RFSCAN,4500000033
5000000267,2026,4500000034,00010,103,2026-05-18,44,AUS1,0001,,WHUSER1,4500000034
5000000268,2026,4500000034,00010,101,2026-05-26,1,AUS1,0001,,WHUSER1,4500000034
5000000269,2026,4500000034,00010,101,2026-04-16,48,AUS1,0001,,WHUSER1,4500000034
5000000270,2026,4500000034,00020,101,2026-05-06,500,KCH1,0001,,RFSCAN,4500000034
5000000271,2026,4500000034,00030,101,2026-05-08,107,DAL1,REC1,,SYSTEM,4500000034
5000000272,2026,4500000034,00030,101,2026-05-19,144,DAL1,0001,,WHUSER1,4500000034
5000000273,2026,4500000034,00030,101,2026-05-14,197,DAL1,0001,,WHUSER2,4500000034
5000000274,2026,4500000034,00040,101,2026-04-22,672,KCH1,0001,,WHUSER1,4500000034
5000000275,2026,4500000034,00040,101,2026-04-18,465,KCH1,0001,,RFSCAN,4500000034
5000000276,2026,4500000034,00050,101,2026-04-17,87,MTY1,0001,B51239,WHUSER1,4500000034
5000000277,2026,4500000034,00050,101,2026-04-29,35,MTY1,0001,B87430,SYSTEM,4500000034
5000000278,2026,4500000034,00050,101,2026-05-20,69,MTY1,0001,B18398,WHUSER1,4500000034
5000000279,2026,4500000034,00060,101,2026-04-03,710,MTY1,0001,,RFSCAN,4500000034
5000000280,2026,4500000035,00010,101,2026-06-28,4,DAL1,0001,B46054,WHUSER1,4500000035
5000000281,2026,4500000035,00010,101,2026-05-26,75,DAL1,REC1,B35926,SYSTEM,4500000035
5000000282,2026,4500000035,00020,101,2026-05-22,19,KCH1,0001,,RFSCAN,4500000035
5000000283,2026,4500000035,00030,101,2026-05-13,77,KCH1,0001,,WHUSER2,4500000035
5000000284,2026,4500000035,00040,101,2026-07-12,18,MTY1,0001,,RFSCAN,4500000035
5000000285,2026,4500000035,00040,101,2026-05-25,10,MTY1,REC1,,SYSTEM,4500000035
