asn_number,po_number,item_number,schedule_line,supplier_id,shipped_qty,ship_date,expected_delivery_date,carrier,tracking_number,status,last_status_update
ASN00000019,4500000003,00040,0002,S100022,101,2026-05-27,2026-05-26,DHL,DC4CAEF8-BF4,DELIVERED,2026-05-26
ASN00000020,4500000003,00050,0001,S100022,31,2026-05-23,2026-06-07,DHL,A5D9BD20-ACF,IN_TRANSIT,2026-05-27
ASN00000021,4500000003,00050,0002,S100022,5,2026-05-21,2026-06-10,UPS,B0EC08B5-C41,DELIVERED,2026-05-27
ASN00000022,4500000003,00050,0003,S100022,23,2026-05-21,2026-06-17,Maersk,1FC41C9D-63A,IN_TRANSIT,2026-05-24
ASN00000023,4500000004,00020,0002,S100008,31,2026-05-23,2026-06-11,UPS,6504BC10-7D3,IN_TRANSIT,2026-05-24
ASN00000024,4500000004,00030,0001,S100008,4,2026-05-27,2026-05-29,UPS,EA02FC9F-9D4,DELIVERED,2026-05-27
ASN00000025,4500000004,00040,0002,S100008,4,2026-05-27,2026-06-16,Maersk,99EC6542-0DC,IN_TRANSIT,2026-05-27
ASN00000026,4500000004,00040,0003,S100008,13,2026-05-18,2026-06-12,Maersk,B927A66C-3ED,IN_TRANSIT,2026-05-23
ASN00000027,4500000004,00060,0001,S100008,37,,2026-06-09,Maersk,58FFE02E-059,PENDING_PICKUP,2026-05-26
ASN00000028,4500000004,00060,0002,S100008,17,2026-05-23,2026-05-26,UPS,95F0C113-F87,IN_TRANSIT,2026-05-25
ASN00000029,4500000005,00020,0003,S100031,275,2026-05-26,2026-06-15,FedEx,591E3405-B3C,DELAYED,2026-05-24
ASN00000030,4500000005,00030,0002,S100031,6,2026-05-22,2026-06-20,Supplier Truck,000ED0B1-D30,DELAYED,2026-05-26
ASN00000031,4500000006,00010,0001,S100033,22,2026-05-21,2026-06-04,DHL,136B60EF-CF5,IN_TRANSIT,2026-05-24
ASN00000032,4500000007,00010,0001,S100019,1,2026-05-28,2026-06-26,FedEx,9156228F-336,DELAYED,2026-05-27
ASN00000033,4500000008,00010,0001,S100023,3571,2026-05-28,2026-06-07,Local Carrier,D54BF0FE-60B,IN_TRANSIT,2026-05-25
ASN00000034,4500000008,00030,0001,S100023,2,2026-05-21,2026-05-28,FedEx,5D7B0FDB-19A,IN_TRANSIT,2026-05-24
ASN00000035,4500000008,00030,0002,S100023,2,2026-05-26,2026-06-08,Local Carrier,9737F8F3-E65,DELIVERED,2026-05-26
ASN00000036,4500000008,00040,0002,S100023,9,2026-05-20,2026-06-02,Maersk,C7E5A1CE-BC3,IN_TRANSIT,2026-05-23
ASN00000037,4500000008,00060,0001,S100023,215,2026-05-18,2026-06-09,Supplier Truck,4899C54A-D18,IN_TRANSIT,2026-05-27
ASN00000038,4500000008,00060,0002,S100023,94,2026-05-24,2026-06-12,Supplier Truck,76D22DF3-1DF,DELAYED,2026-05-28
ASN00000039,4500000009,00010,0001,S100034,383,2026-05-24,2026-06-05,Supplier Truck,19AFAFB3-5F9,IN_TRANSIT,2026-05-27
ASN00000040,4500000009,00010,0002,S100034,148,2026-05-25,2026-06-05,Maersk,820A3B41-AD7,DELAYED,2026-05-24
ASN00000041,4500000009,00010,0003,S100034,90,2026-05-18,2026-06-09,Maersk,8F50553F-620,IN_TRANSIT,2026-05-28
ASN00000042,4500000009,00030,0002,S100034,74,2026-05-21,2026-06-03,Maersk,95CC3D28-C17,DELIVERED,2026-05-24
ASN00000043,4500000009,00030,0003,S100034,54,2026-05-25,2026-06-02,Supplier Truck,A79A3FFF-25D,IN_TRANSIT,2026-05-27
ASN00000044,4500000009,00040,0001,S100034,25,2026-05-25,2026-05-26,Maersk,CB6E6CC7-C2F,IN_TRANSIT,2026-05-26
ASN00000045,4500000009,00040,0002,S100034,29,2026-05-22,2026-06-07,FedEx,E54FAABC-111,IN_TRANSIT,2026-05-27
ASN00000046,4500000009,00040,0003,S100034,24,2026-05-25,2026-05-30,UPS,CD12398C-365,IN_TRANSIT,2026-05-23
ASN00000047,4500000009,00060,0001,S100034,23,2026-05-21,2026-06-12,Maersk,74024A7A-DD0,IN_TRANSIT,2026-05-23
ASN00000048,4500000009,00070,0001,S100034,22,2026-05-26,2026-06-03,Supplier Truck,154BBAF7-2F5,DELAYED,2026-05-23
ASN00000049,4500000009,00070,0003,S100034,149,2026-05-25,2026-05-29,Maersk,DFDF72FE-44D,DELIVERED,2026-05-23
ASN00000050,4500000010,00010,0001,S100025,2,2026-05-28,2026-06-16,Maersk,939C4E56-250,IN_TRANSIT,2026-05-28
ASN00000051,4500000011,00010,0001,S100006,3,2026-05-21,2026-06-14,Supplier Truck,F46A2C37-552,DELAYED,2026-05-28
ASN00000052,4500000011,00010,0002,S100006,14,2026-05-23,2026-06-08,UPS,E927399A-29C,IN_TRANSIT,2026-05-25
ASN00000053,4500000011,00020,0001,S100006,11,2026-05-20,2026-06-06,DHL,DD7336CE-C3F,DELAYED,2026-05-23
ASN00000054,4500000011,00030,0001,S100006,28,,2026-06-13,FedEx,535A0A63-91A,CANCELLED,2026-05-23
ASN00000055,4500000011,00050,0001,S100006,351,2026-05-19,2026-06-07,Maersk,F98D66D6-764,DELAYED,2026-05-23
ASN00000056,4500000011,00060,0001,S100006,608,2026-05-26,2026-05-30,DHL,44407923-40E,DELIVERED,2026-05-27
ASN00000057,4500000012,00010,0001,S100011,1,2026-05-20,2026-06-07,Supplier Truck,306F0EA4-670,IN_TRANSIT,2026-05-24
ASN00000058,4500000012,00020,0001,S100011,1,,2026-06-08,UPS,345B7176-25C,NOT_SHIPPED,2026-05-23
ASN00000059,4500000012,00020,0002,S100011,3,,2026-06-08,Local Carrier,B10188C0-A15,NOT_SHIPPED,2026-05-26
ASN00000060,4500000013,00010,0001,S100020,246,2026-05-20,2026-06-17,Local Carrier,2591014B-03F,DELAYED,2026-05-27
ASN00000061,4500000013,00010,0002,S100020,164,,2026-06-06,DHL,5F4A8B29-206,CANCELLED,2026-05-26
ASN00000062,4500000013,00020,0001,S100020,1,2026-05-21,2026-06-22,DHL,F833F28E-818,DELAYED,2026-05-25
ASN00000063,4500000014,00010,0002,S100038,47,2026-05-21,2026-05-24,UPS,24C4731D-D9B,IN_TRANSIT,2026-05-26
ASN00000064,4500000014,00030,0001,S100038,2,2026-05-21,2026-05-25,UPS,AA6AA93A-4ED,IN_TRANSIT,2026-05-25
ASN00000065,4500000014,00030,0002,S100038,1,2026-05-20,2026-06-07,DHL,B5358F97-2B6,DELAYED,2026-05-28
ASN00000066,4500000015,00010,0001,S100036,778,2026-05-22,2026-06-12,Supplier Truck,E70C1DED-F5A,IN_TRANSIT,2026-05-27
ASN00000067,4500000015,00020,0001,S100036,1,,2026-05-25,Local Carrier,BB6437F1-837,PENDING_PICKUP,2026-05-28
ASN00000068,4500000015,00020,0002,S100036,17,2026-05-25,2026-05-25,DHL,34109698-4A2,IN_TRANSIT,2026-05-28
ASN00000069,4500000016,00010,0001,S100007,1,,2026-05-26,DHL,219871C1-BBE,NOT_SHIPPED,2026-05-27
ASN00000070,4500000016,00020,0001,S100007,3,2026-05-23,2026-06-08,Maersk,4604928B-8BB,DELAYED,2026-05-24
ASN00000071,4500000016,00020,0002,S100007,1,2026-05-18,2026-06-09,UPS,1971F69C-9FB,IN_TRANSIT,2026-05-24
ASN00000072,4500000016,00020,0003,S100007,12,2026-05-21,2026-06-05,FedEx,25087894-B88,IN_TRANSIT,2026-05-24
ASN00000073,4500000017,00010,0001,S100028,34,2026-05-28,2026-06-01,UPS,E69BF789-C35,IN_TRANSIT,2026-05-25
ASN00000074,4500000017,00020,0001,S100028,2,2026-05-20,2026-06-05,UPS,DC9228A6-7FC,IN_TRANSIT,2026-05-28
ASN00000075,4500000017,00030,0001,S100028,1,2026-05-20,2026-05-27,DHL,F4AB19B3-480,IN_TRANSIT,2026-05-25
ASN00000076,4500000018,00020,0001,S100046,2,2026-05-27,2026-06-24,Local Carrier,A075D3C9-892,DELAYED,2026-05-25
ASN00000077,4500000018,00020,0003,S100046,1,2026-05-20,2026-06-07,Supplier Truck,CCEABB0E-B9F,IN_TRANSIT,2026-05-24
ASN00000078,4500000018,00040,0001,S100046,23,2026-05-25,2026-05-24,DHL,87EA61A9-C1E,IN_TRANSIT,2026-05-26
ASN00000079,4500000018,00040,0002,S100046,3,,2026-06-10,DHL,EFF98EBD-AC2,PENDING_PICKUP,2026-05-24
ASN00000080,4500000018,00040,0003,S100046,25,,2026-06-04,Local Carrier,B6FA6747-4BE,PENDING_PICKUP,2026-05-26
ASN00000081,4500000018,00050,0001,S100046,53,2026-05-28,2026-06-01,UPS,5F2E6189-69D,IN_TRANSIT,2026-05-28
ASN00000082,4500000019,00010,0001,S100035,10,2026-05-27,2026-05-28,Local Carrier,9D11CB08-3C4,IN_TRANSIT,2026-05-28
ASN00000083,4500000019,00020,0001,S100035,22,2026-05-22,2026-06-17,Supplier Truck,710F8F15-BD6,IN_TRANSIT,2026-05-28
ASN00000084,4500000019,00020,0002,S100035,40,2026-05-26,2026-06-02,DHL,DAF7A17F-8BD,CUSTOMS_HOLD,2026-05-26
ASN00000085,4500000019,00030,0002,S100035,44,2026-05-18,2026-06-13,Maersk,BAE954B3-ABA,IN_TRANSIT,2026-05-27
ASN00000086,4500000019,00050,0001,S100035,9,,2026-06-06,UPS,A18487D1-96A,PENDING_PICKUP,2026-05-24
ASN00000087,4500000019,00050,0002,S100035,23,2026-05-24,2026-05-25,Supplier Truck,360701DA-3E4,DELIVERED,2026-05-24
ASN00000088,4500000019,00070,0001,S100035,155,2026-05-22,2026-06-07,FedEx,1D0D966F-75C,DELIVERED,2026-05-24
ASN00000089,4500000020,00010,0001,S100003,14,2026-05-23,2026-06-08,Local Carrier,E1ACD554-D9E,IN_TRANSIT,2026-05-28
ASN00000090,4500000020,00020,0001,S100003,24,2026-05-23,2026-06-12,Supplier Truck,2655621C-778,CUSTOMS_HOLD,2026-05-27
ASN00000091,4500000020,00060,0001,S100003,5,2026-05-28,2026-06-06,Supplier Truck,6727E6CD-50D,IN_TRANSIT,2026-05-28
ASN00000092,4500000020,00060,0002,S100003,94,2026-05-19,2026-06-08,DHL,117E4539-040,IN_TRANSIT,2026-05-27
ASN00000093,4500000021,00010,0001,S100028,58,2026-05-25,2026-06-15,DHL,D37B58EF-295,DELIVERED,2026-05-27
ASN00000094,4500000021,00010,0002,S100028,33,2026-05-20,2026-06-09,Maersk,A8BA3C0A-1F4,IN_TRANSIT,2026-05-23
ASN00000095,4500000021,00010,0003,S100028,364,2026-05-24,2026-06-15,FedEx,0BD41EED-BEF,IN_TRANSIT,2026-05-27
ASN00000096,4500000021,00030,0001,S100028,15,,2026-05-24,DHL,AF244E0B-930,PENDING_PICKUP,2026-05-27
ASN00000097,4500000021,00030,0003,S100028,41,2026-05-26,2026-06-16,Supplier Truck,1FB6F7C5-095,IN_TRANSIT,2026-05-24
ASN00000098,4500000021,00040,0001,S100028,1,2026-05-18,2026-06-07,Supplier Truck,9D59605C-148,CUSTOMS_HOLD,2026-05-27
ASN00000099,4500000021,00040,0002,S100028,1,2026-05-20,2026-06-03,Maersk,EF0A74F4-05B,IN_TRANSIT,2026-05-28
ASN00000100,4500000021,00050,0001,S100028,330,2026-05-24,2026-05-24,DHL,61135D54-173,IN_TRANSIT,2026-05-27
ASN00000101,4500000022,00010,0001,S100003,3,2026-05-20,2026-06-10,DHL,AF80928E-183,CUSTOMS_HOLD,2026-05-27
ASN00000102,4500000022,00010,0002,S100003,1,2026-05-22,2026-06-09,Local Carrier,500EBF5C-E15,IN_TRANSIT,2026-05-23
ASN00000103,4500000022,00020,0002,S100003,23,2026-05-27,2026-06-13,DHL,C40CFAEB-022,DELIVERED,2026-05-26
ASN00000104,4500000022,00030,0001,S100003,268,2026-05-19,2026-06-02,Maersk,92CBC6D7-454,DELAYED,2026-05-23
ASN00000105,4500000022,00040,0002,S100003,12,2026-05-24,2026-06-13,Maersk,5F7DE788-254,IN_TRANSIT,2026-05-26
ASN00000106,4500000023,00010,0001,S100009,5,,2026-06-03,UPS,3DF08AEF-9F5,NOT_SHIPPED,2026-05-25
ASN00000107,4500000023,00010,0002,S100009,5,2026-05-25,2026-06-13,FedEx,7700BC99-D7A,DELAYED,2026-05-24
ASN00000108,4500000023,00010,0003,S100009,33,,2026-06-04,Maersk,B03B96FD-023,PENDING_PICKUP,2026-05-24
ASN00000109,4500000023,00020,0001,S100009,5,2026-05-21,2026-06-26,FedEx,4166410C-571,DELAYED,2026-05-23
ASN00000110,4500000023,00030,0001,S100009,13,2026-05-20,2026-06-09,Maersk,5DCDED75-761,IN_TRANSIT,2026-05-27
ASN00000111,4500000023,00040,0001,S100009,67,,2026-06-03,FedEx,D184C070-07E,PENDING_PICKUP,2026-05-27
ASN00000112,4500000023,00040,0002,S100009,8,2026-05-20,2026-06-14,Maersk,B9E4BA01-8D9,IN_TRANSIT,2026-05-28
ASN00000113,4500000023,00040,0003,S100009,76,,2026-06-11,Supplier Truck,30EE6D7B-36B,PENDING_PICKUP,2026-05-25
ASN00000114,4500000024,00040,0001,S100022,14,,2026-06-05,Maersk,A3BCCE6E-04D,NOT_SHIPPED,2026-05-27
ASN00000115,4500000024,00040,0002,S100022,5,2026-05-19,2026-06-11,Maersk,15740843-2E2,DELAYED,2026-05-26
ASN00000116,4500000024,00050,0002,S100022,1,,2026-06-04,Local Carrier,288266D4-889,NOT_SHIPPED,2026-05-24
ASN00000117,4500000024,00060,0002,S100022,7,2026-05-24,2026-06-03,UPS,9E553944-3F1,IN_TRANSIT,2026-05-26
ASN00000118,4500000024,00070,0001,S100022,38,2026-05-28,2026-05-28,Maersk,431E58E2-3D2,IN_TRANSIT,2026-05-28
ASN00000119,4500000025,00020,0002,S100009,54,2026-05-27,2026-06-11,Local Carrier,A5752BCE-62A,IN_TRANSIT,2026-05-28
ASN00000120,4500000025,00030,0003,S100009,97,2026-05-23,2026-06-12,Local Carrier,525A9EA3-1DC,IN_TRANSIT,2026-05-27
ASN00000121,4500000025,00040,0002,S100009,5,,2026-06-14,FedEx,BDFC969A-8E2,NOT_SHIPPED,2026-05-25
ASN00000122,4500000026,00020,0001,S100049,4,2026-05-20,2026-06-09,Supplier Truck,50E70D6F-100,IN_TRANSIT,2026-05-26
ASN00000123,4500000027,00020,0002,S100014,14,2026-05-25,2026-06-07,FedEx,1E42ABED-DD7,IN_TRANSIT,2026-05-24
ASN00000124,4500000028,00010,0001,S100050,499,2026-05-22,2026-06-20,DHL,6E60F6D5-AB3,CUSTOMS_HOLD,2026-05-25
ASN00000125,4500000028,00020,0001,S100050,491,2026-05-20,2026-06-08,UPS,79A3D1FC-3CC,CUSTOMS_HOLD,2026-05-24
ASN00000126,4500000028,00020,0002,S100050,1445,,2026-06-01,FedEx,85F1C1F8-03C,PENDING_PICKUP,2026-05-26
ASN00000127,4500000028,00030,0001,S100050,296,2026-05-18,2026-05-29,Local Carrier,23E05B4B-DBA,IN_TRANSIT,2026-05-28
ASN00000128,4500000028,00030,0002,S100050,257,2026-05-27,2026-06-12,Maersk,C0EAC90C-6E3,DELIVERED,2026-05-28
ASN00000129,4500000028,00030,0003,S100050,178,,2026-05-26,Local Carrier,3D685AE9-31F,PENDING_PICKUP,2026-05-26
ASN00000130,4500000028,00050,0001,S100050,619,2026-05-23,2026-06-01,DHL,B2A61305-B24,IN_TRANSIT,2026-05-25
ASN00000131,4500000028,00050,0002,S100050,153,,2026-06-09,Supplier Truck,3F9B94A6-C9D,PENDING_PICKUP,2026-05-26
ASN00000132,4500000028,00050,0003,S100050,673,2026-05-18,2026-05-27,UPS,0FCA0515-ED9,DELIVERED,2026-05-24
ASN00000133,4500000029,00010,0001,S100011,12,2026-05-28,2026-05-25,UPS,A927131B-1ED,IN_TRANSIT,2026-05-25
ASN00000134,4500000029,00020,0001,S100011,164,2026-05-22,2026-06-08,Local Carrier,5CD2633E-F97,IN_TRANSIT,2026-05-23
ASN00000135,4500000029,00030,0001,S100011,90,,2026-06-14,Maersk,53428FDF-E60,PENDING_PICKUP,2026-05-26
ASN00000136,4500000029,00030,0002,S100011,482,,2026-06-17,Maersk,06424A1A-4DB,NOT_SHIPPED,2026-05-27
ASN00000137,4500000029,00040,0001,S100011,28,2026-05-19,2026-05-27,Maersk,C4D62E06-18E,IN_TRANSIT,2026-05-28
ASN00000138,4500000029,00050,0001,S100011,1,2026-05-22,2026-06-04,Maersk,51408AB1-900,CUSTOMS_HOLD,2026-05-25
ASN00000139,4500000029,00050,0002,S100011,34,2026-05-27,2026-05-31,FedEx,CDDD4693-814,DELIVERED,2026-05-27
ASN00000140,4500000029,00060,0001,S100011,217,,2026-06-13,FedEx,32025B61-3F1,PENDING_PICKUP,2026-05-28
ASN00000141,4500000029,00070,0001,S100011,5,,2026-05-29,FedEx,CAEF7BF9-535,NOT_SHIPPED,2026-05-28
ASN00000142,4500000030,00020,0001,S100047,1,2026-05-27,2026-06-09,UPS,1E4B8D06-4BA,IN_TRANSIT,2026-05-28
ASN00000143,4500000030,00020,0002,S100047,196,,2026-06-05,Supplier Truck,C402F326-9C4,PENDING_PICKUP,2026-05-23
ASN00000144,4500000030,00040,0002,S100047,1,2026-05-28,2026-06-07,UPS,F61E95C0-AA9,DELIVERED,2026-05-25
ASN00000145,4500000030,00040,0003,S100047,8,2026-05-19,2026-06-10,Supplier Truck,7F2D1065-167,IN_TRANSIT,2026-05-27
ASN00000146,4500000030,00050,0001,S100047,5,,2026-06-17,Maersk,14A3306F-483,PENDING_PICKUP,2026-05-25
ASN00000147,4500000030,00060,0001,S100047,115,,2026-05-29,DHL,0FA7C68B-7E1,NOT_SHIPPED,2026-05-28
ASN00000148,4500000031,00020,0001,S100023,1,2026-05-26,2026-06-08,UPS,C6B59058-8CA,DELAYED,2026-05-24
ASN00000149,4500000031,00050,0002,S100023,1,2026-05-24,2026-06-08,UPS,EDA1455F-F34,DELAYED,2026-05-25
ASN00000150,4500000031,00050,0003,S100023,2,2026-05-27,2026-06-15,FedEx,D67B4DAF-AAA,CUSTOMS_HOLD,2026-05-28
ASN00000151,4500000032,00010,0001,S100016,2,2026-05-23,2026-06-05,Local Carrier,D7364AA4-8F2,DELAYED,2026-05-25
ASN00000152,4500000032,00010,0002,S100016,59,2026-05-19,2026-06-07,Supplier Truck,7F7BB368-DA2,DELIVERED,2026-05-26
ASN00000153,4500000032,00020,0001,S100016,12,2026-05-20,2026-06-02,Local Carrier,8D7BF0F6-DCF,IN_TRANSIT,2026-05-23
ASN00000154,4500000032,00020,0002,S100016,83,2026-05-26,2026-06-13,Local Carrier,DDA730CB-D86,DELAYED,2026-05-24
ASN00000155,4500000032,00030,0001,S100016,1,2026-05-20,2026-06-15,DHL,3AA87DA9-E4A,IN_TRANSIT,2026-05-27
ASN00000156,4500000032,00030,0003,S100016,4,2026-05-24,2026-06-21,Maersk,94085CA1-FC2,DELAYED,2026-05-26
ASN00000157,4500000033,00010,0003,S100039,184,2026-05-23,2026-06-20,Maersk,8CB307BE-D79,DELAYED,2026-05-23
ASN00000158,4500000033,00020,0001,S100039,1569,2026-05-18,2026-05-26,UPS,978DD7A1-AB2,IN_TRANSIT,2026-05-27
ASN00000159,4500000033,00030,0001,S100039,11,2026-05-22,2026-06-17,Local Carrier,A049CCD3-745,DELIVERED,2026-05-25
ASN00000160,4500000033,00030,0002,S100039,53,2026-05-19,2026-06-09,Local Carrier,E33974DF-718,IN_TRANSIT,2026-05-26
ASN00000161,4500000033,00040,0002,S100039,138,,2026-05-27,Maersk,14FF5C65-007,NOT_SHIPPED,2026-05-25
ASN00000162,4500000034,00010,0003,S100024,5,,2026-05-25,FedEx,B8E82373-6DD,NOT_SHIPPED,2026-05-25
ASN00000163,4500000034,00030,0002,S100024,5,2026-05-23,2026-05-27,Supplier Truck,9D2B4946-791,DELIVERED,2026-05-27
ASN00000164,4500000034,00040,0002,S100024,369,2026-05-20,2026-06-01,Local Carrier,959B6F66-49A,DELIVERED,2026-05-24
ASN00000165,4500000034,00060,0001,S100024,174,2026-05-26,2026-05-29,DHL,984E4D87-314,DELIVERED,2026-05-27
ASN00000166,4500000035,00010,0001,S100034,14,2026-05-19,2026-05-25,FedEx,72D0CB74-141,IN_TRANSIT,2026-05-25
ASN00000167,4500000035,00020,0001,S100034,10,2026-05-28,2026-06-05,Supplier Truck,8DAB12C2-5EF,IN_TRANSIT,2026-05-28
ASN00000168,4500000035,00040,0002,S100034,4,2026-05-22,2026-06-14,Maersk,9A14433A-170,DELIVERED,2026-05-23
ASN00000169,4500000035,00040,0003,S100034,16,2026-05-18,2026-06-25,FedEx,CD945712-126,DELAYED,2026-05-23
ASN00000170,4500000035,00050,0001,S100034,1,,2026-06-15,Maersk,CFE2C569-8A5,PENDING_PICKUP,2026-05-26
ASN00000171,4500000035,00050,0002,S100034,1,2026-05-24,2026-06-27,Local Carrier,65F5BD40-DF2,DELAYED,2026-05-28
ASN00000172,4500000035,00050,0003,S100034,1,2026-05-22,2026-06-01,UPS,7F631FCC-2E1,DELIVERED,2026-05-25
ASN00000173,4500000036,00010,0002,S100050,2,,2026-06-01,FedEx,FFAA1DCB-731,NOT_SHIPPED,2026-05-28
ASN00000174,4500000036,00040,0002,S100050,47,,2026-06-15,UPS,BF346354-683,NOT_SHIPPED,2026-05-24
ASN00000175,4500000036,00070,0001,S100050,3,2026-05-23,2026-06-11,DHL,6ED35BC7-1F4,DELAYED,2026-05-24
ASN00000176,4500000037,00010,0001,S100048,943,2026-05-21,2026-06-04,Maersk,BF65CA03-C76,IN_TRANSIT,2026-05-26
ASN00000177,4500000037,00020,0001,S100048,42,2026-05-23,2026-06-08,Local Carrier,2EFB1EB6-DA9,IN_TRANSIT,2026-05-26
ASN00000178,4500000038,00020,0001,S100034,85,2026-05-26,2026-06-15,Supplier Truck,EF17DFAE-E45,IN_TRANSIT,2026-05-26
ASN00000179,4500000038,00030,0001,S100034,1648,,2026-05-27,UPS,52F2D715-3E9,NOT_SHIPPED,2026-05-24
ASN00000180,4500000038,00040,0001,S100034,13,,2026-06-03,Local Carrier,C60C2519-62F,CANCELLED,2026-05-24
ASN00000181,4500000039,00010,0002,S100039,4,2026-05-24,2026-06-05,Maersk,5AFE546A-13E,IN_TRANSIT,2026-05-23
ASN00000182,4500000039,00030,0001,S100039,67,2026-05-24,2026-06-13,FedEx,B546E429-813,IN_TRANSIT,2026-05-23
ASN00000183,4500000039,00030,0003,S100039,208,2026-05-28,2026-06-19,Maersk,962FB9D1-03C,DELAYED,2026-05-25
ASN00000184,4500000039,00040,0001,S100039,561,2026-05-26,2026-06-01,Local Carrier,9C505AB5-706,IN_TRANSIT,2026-05-26
ASN00000185,4500000039,00040,0003,S100039,1210,2026-05-24,2026-06-07,UPS,B6D737A9-FD9,DELAYED,2026-05-25
ASN00000186,4500000039,00050,0002,S100039,65,2026-05-26,2026-06-04,FedEx,77513291-BE8,DELAYED,2026-05-26
ASN00000187,4500000039,00060,0001,S100039,101,2026-05-24,2026-06-17,Maersk,74024829-121,IN_TRANSIT,2026-05-27
ASN00000188,4500000039,00060,0002,S100039,695,2026-05-27,2026-06-13,Local Carrier,3AD6D10E-812,DELAYED,2026-05-27
ASN00000189,4500000039,00070,0001,S100039,175,2026-05-23,2026-06-03,FedEx,D75DE93F-259,IN_TRANSIT,2026-05-26
ASN00000190,4500000039,00070,0002,S100039,745,,2026-06-02,Maersk,57063779-883,PENDING_PICKUP,2026-05-26
ASN00000191,4500000040,00010,0001,S100002,54,,2026-06-06,FedEx,D1CA401A-728,PENDING_PICKUP,2026-05-24
ASN00000192,4500000041,00020,0001,S100014,11,2026-05-21,2026-06-08,Supplier Truck,B64DC444-6A5,DELAYED,2026-05-28
ASN00000193,4500000042,00010,0001,S100038,1843,2026-05-23,2026-06-06,UPS,445DE75E-A89,DELIVERED,2026-05-23
ASN00000194,4500000042,00020,0001,S100038,4,2026-05-19,2026-06-13,DHL,63717E37-BB9,DELAYED,2026-05-23
ASN00000195,4500000042,00030,0001,S100038,2216,2026-05-20,2026-06-12,FedEx,8639931D-B29,DELAYED,2026-05-24
ASN00000196,4500000043,00010,0001,S100008,2,2026-05-27,2026-06-16,Supplier Truck,CFF5F637-48E,DELIVERED,2026-05-27
ASN00000197,4500000043,00020,0001,S100008,43,2026-05-22,2026-06-15,Local Carrier,B3520A1E-8A7,IN_TRANSIT,2026-05-28
ASN00000198,4500000043,00020,0002,S100008,434,,2026-06-13,FedEx,1ACBD713-B4D,CANCELLED,2026-05-27
ASN00000199,4500000043,00030,0002,S100008,1,,2026-06-04,Local Carrier,FB521E3E-302,NOT_SHIPPED,2026-05-24
ASN00000200,4500000043,00030,0003,S100008,3,,2026-06-02,Local Carrier,D0DD3D6B-DA3,PENDING_PICKUP,2026-05-25
ASN00000201,4500000043,00040,0001,S100008,1,,2026-05-27,UPS,767B49F0-39A,NOT_SHIPPED,2026-05-25
ASN00000202,4500000044,00010,0001,S100025,2,,2026-06-07,FedEx,3490209C-0EA,PENDING_PICKUP,2026-05-27
ASN00000203,4500000046,00010,0001,S100006,53,2026-05-18,2026-06-04,Maersk,80F5A432-933,DELIVERED,2026-05-24
